,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000015014,TYRCELG,TF338356,EOG72ZCG1,NOG41344,HOG000113123,HBG081812,NA,Q8IYV9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8IYV9,IZUM1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q6AY06,IZUM1_RAT,7.0,,1,1,1,1,1,1,,,1
Q6AY06,IZUM1_RAT,7.0,,1,1,1,1,1,1,,,1
Q9D9J7,IZUM1_MOUSE,7.0,,1,1,1,1,1,1,,,1
H0UTJ7,H0UTJ7_CAVPO,4.0,,1,1,1,1,,,,,
F6YE25,F6YE25_HORSE,4.0,,1,1,1,1,,,,,
G1P6T7,G1P6T7_MYOLU,4.0,,1,1,1,1,,,,,
G1QXF7,G1QXF7_NOMLE,4.0,,1,1,1,1,,,,,
G1TVX5,G1TVX5_RABIT,4.0,,1,1,1,1,,,,,
G3QFY5,G3QFY5_GORGO,4.0,,1,1,1,1,,,,,
G3TPD8,G3TPD8_LOXAF,4.0,,1,1,1,1,,,,,
H0WN21,H0WN21_OTOGA,4.0,,1,1,1,1,,,,,
H2QGS4,H2QGS4_PANTR,4.0,,1,1,1,1,,,,,
G1M882,G1M882_AILME,4.0,,1,1,1,1,,,,,
F7H859,F7H859_CALJA,4.0,,1,1,1,1,,,,,
I3N2L9,I3N2L9_SPETR,4.0,,1,1,1,1,,,,,
F6XH82,F6XH82_MACMU,4.0,,1,1,1,1,,,,,
F1RIQ7,F1RIQ7_PIG,4.0,,1,1,1,1,,,,,
E1BDA8,E1BDA8_BOVIN,4.0,,1,1,1,1,,,,,
H9H653,H9H653_MONDO,3.0,,1,,1,1,,,,,
K7DZS4,K7DZS4_MONDO,3.0,,1,,1,1,,,,,
G3VSG5,G3VSG5_SARHA,3.0,,1,,1,1,,,,,
F6UM65,F6UM65_CANFA,3.0,,1,1,1,,,,,,
M3W7L6,M3W7L6_FELCA,3.0,,1,1,,1,,,,,
F6Y5G2,F6Y5G2_ORNAN,2.0,,1,,,1,,,,,
W5PRD0,W5PRD0_SHEEP,2.0,,1,1,,,,,,,
M3W7L5,M3W7L5_FELCA,2.0,,1,,,1,,,,,
M3X1R5,M3X1R5_FELCA,2.0,,1,,,1,,,,,
M3XLJ0,M3XLJ0_LATCH,2.0,,1,,,1,,,,,
H3DD44,H3DD44_TETNG,1.0,,,,,1,,,,,
I3MLV0,I3MLV0_SPETR,1.0,,1,,,,,,,,
M0R0B8,M0R0B8_HUMAN,1.0,,1,,,,,,,,
D2H7Y8,D2H7Y8_AILME,1.0,,,,,,,1,,,
B4DX00,B4DX00_HUMAN,1.0,,,,,,,,1,,
A0A0A0MU86,A0A0A0MU86_PAPAN,1.0,,1,,,,,,,,
