,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00440000039958,EFDHNRF,TF332719,NA,NOG71881,HOG000063705,HBG103277,NA,Q86Z20
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q86Z20,CC125_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q86Z20,CC125_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q5U465,CC125_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q5U465,CC125_MOUSE,7.0,,1,1,1,,1,1,1,,1
A2BGP7,CC125_DANRE,4.0,,,,1,,1,1,1,,
D2H2U1,D2H2U1_AILME,4.0,,1,1,1,,,1,,,
I3LEG5,I3LEG5_PIG,3.0,,1,1,1,,,,,,
F1LRT4,F1LRT4_RAT,3.0,,1,1,1,,,,,,
G3T8R5,G3T8R5_LOXAF,3.0,,1,1,1,,,,,,
F7IC57,F7IC57_CALJA,3.0,,1,1,1,,,,,,
G3WXI1,G3WXI1_SARHA,3.0,,1,1,1,,,,,,
H0VWY8,H0VWY8_CAVPO,3.0,,1,1,1,,,,,,
H2PFR5,H2PFR5_PONAB,3.0,,1,1,1,,,,,,
H2QR09,H2QR09_PANTR,3.0,,1,1,1,,,,,,
F7BWZ4,F7BWZ4_HORSE,3.0,,1,1,1,,,,,,
F1NC52,F1NC52_CHICK,3.0,,1,1,1,,,,,,
G1NZ32,G1NZ32_MYOLU,3.0,,1,1,1,,,,,,
G1QVG4,G1QVG4_NOMLE,3.0,,1,1,1,,,,,,
I3N8Q8,I3N8Q8_SPETR,3.0,,1,1,1,,,,,,
E1BLC4,E1BLC4_BOVIN,3.0,,1,1,1,,,,,,
B3DLB6,B3DLB6_XENTR,3.0,,,,,,1,1,1,,
B3DJ72,B3DJ72_DANRE,3.0,,1,,,,,,1,,1
B2RYD1,B2RYD1_RAT,3.0,,,,,,1,1,1,,
E2R7X6,E2R7X6_CANFA,2.0,,1,1,,,,,,,
F6SG99,F6SG99_MONDO,2.0,,1,,1,,,,,,
B7QL51,B7QL51_IXOSC,2.0,,,,,,1,,,,1
F7CG79,F7CG79_XENTR,2.0,,1,,1,,,,,,
B4DSR1,B4DSR1_HUMAN,2.0,,,,,,,1,1,,
F7ESU3,F7ESU3_ORNAN,2.0,,1,,1,,,,,,
G1KK09,G1KK09_ANOCA,2.0,,1,,1,,,,,,
G1N2W4,G1N2W4_MELGA,2.0,,1,,1,,,,,,
W5P6Q0,W5P6Q0_SHEEP,2.0,,1,1,,,,,,,
G3R2V5,G3R2V5_GORGO,2.0,,1,,1,,,,,,
G1ST89,G1ST89_RABIT,2.0,,1,,1,,,,,,
H3ANS3,H3ANS3_LATCH,2.0,,1,,1,,,,,,
U3KEF8,U3KEF8_FICAL,2.0,,1,1,,,,,,,
M3YT27,M3YT27_MUSPF,2.0,,1,1,,,,,,,
M3VYL1,M3VYL1_FELCA,2.0,,1,1,,,,,,,
K7G9I7,K7G9I7_PELSI,2.0,,1,,1,,,,,,
J9NUB6,J9NUB6_CANFA,2.0,,1,,1,,,,,,
I3LN47,I3LN47_PIG,2.0,,1,,1,,,,,,
H3C647,H3C647_TETNG,2.0,,1,,1,,,,,,
H2RXI5,H2RXI5_TAKRU,2.0,,1,,1,,,,,,
H1A4J5,H1A4J5_TAEGU,2.0,,1,,1,,,,,,
F6V9A3,F6V9A3_XENTR,1.0,,1,,,,,,,,
G3UWA1,G3UWA1_MOUSE,1.0,,1,,,,,,,,
W5KBU8,W5KBU8_ASTMX,1.0,,1,,,,,,,,
W5M9H6,W5M9H6_LEPOC,1.0,,1,,,,,,,,
U3IF83,U3IF83_ANAPL,1.0,,1,,,,,,,,
F8W912,F8W912_HUMAN,1.0,,1,,,,,,,,
B3S379,B3S379_TRIAD,1.0,,,,,,1,,,,
J9P4R0,J9P4R0_CANFA,1.0,,1,,,,,,,,
G3WXI2,G3WXI2_SARHA,1.0,,1,,,,,,,,
F1SK33,F1SK33_PIG,1.0,,1,,,,,,,,
I3K8T2,I3K8T2_ORENI,1.0,,,,1,,,,,,
G3NMX2,G3NMX2_GASAC,1.0,,1,,,,,,,,
F1R4V0,F1R4V0_DANRE,1.0,,1,,,,,,,,
F1SK32,F1SK32_PIG,1.0,,1,,,,,,,,
A0A096NCY5,A0A096NCY5_PAPAN,1.0,,1,,,,,,,,
