,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063191,PCQYGPR,TF338531,EOG7SFHVW,NOG45889,HOG000015250,HBG107892,NA,Q5VYP0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5VYP0,S31A3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q5TZJ5,S31A1_HUMAN,6.0,,1,,1,1,1,1,1,,
Q8IWB4,S31A7_HUMAN,6.0,,1,,1,1,1,1,1,,
Q5VVP1,S31A6_HUMAN,5.0,,1,,1,1,,1,1,,
Q5VU36,S31A5_HUMAN,5.0,,1,,1,1,,1,1,,
Q5RGS2,S31A2_HUMAN,5.0,,,,1,1,1,1,1,,
B6VQA5,SPT31_RAT,4.0,,1,,1,1,1,,,,
F1MRG4,F1MRG4_BOVIN,4.0,,1,1,1,1,,,,,
G1SYJ0,G1SYJ0_RABIT,3.0,,1,,1,1,,,,,
H0VD97,H0VD97_CAVPO,3.0,,1,,1,1,,,,,
F1RN03,F1RN03_PIG,3.0,,1,,1,1,,,,,
G1TXE1,G1TXE1_RABIT,3.0,,1,,1,1,,,,,
H9KWH5,H9KWH5_CALJA,3.0,,1,,1,1,,,,,
G3SPP4,G3SPP4_LOXAF,3.0,,1,,1,1,,,,,
H2RET2,H2RET2_PANTR,3.0,,1,,1,1,,,,,
H2R766,H2R766_PANTR,3.0,,1,,1,1,,,,,
G3QD55,G3QD55_GORGO,3.0,,1,,1,1,,,,,
G3RZI6,G3RZI6_GORGO,3.0,,1,,1,1,,,,,
H2PRN7,H2PRN7_PONAB,3.0,,1,,1,1,,,,,
G3S7M2,G3S7M2_GORGO,3.0,,1,,1,1,,,,,
F1SP88,F1SP88_PIG,3.0,,1,,1,1,,,,,
F1SP91,F1SP91_PIG,3.0,,1,,1,1,,,,,
J9P9Y4,J9P9Y4_CANFA,3.0,,1,,1,1,,,,,
H0XR02,H0XR02_OTOGA,3.0,,1,,1,1,,,,,
F6RWE5,F6RWE5_CALJA,3.0,,1,,1,1,,,,,
G3TT44,G3TT44_LOXAF,3.0,,1,,1,1,,,,,
G3UF34,G3UF34_LOXAF,3.0,,1,,1,1,,,,,
G3UH50,G3UH50_LOXAF,3.0,,1,,1,1,,,,,
H0W0W5,H0W0W5_CAVPO,3.0,,1,,1,1,,,,,
H0VZU7,H0VZU7_CAVPO,3.0,,1,,1,1,,,,,
F6W784,F6W784_CALJA,3.0,,1,,1,1,,,,,
H0V207,H0V207_CAVPO,3.0,,1,,1,1,,,,,
F1MH99,F1MH99_BOVIN,3.0,,1,,1,1,,,,,
F1PSE0,F1PSE0_CANFA,3.0,,1,,1,1,,,,,
H0V6I3,H0V6I3_CAVPO,3.0,,1,,1,1,,,,,
M3XST5,M3XST5_MUSPF,3.0,,1,1,,1,,,,,
G1SJY5,G1SJY5_RABIT,3.0,,1,,1,1,,,,,
G1QWL8,G1QWL8_NOMLE,3.0,,1,,1,1,,,,,
E9QAF0,SPT31_MOUSE,3.0,,1,,1,1,,,,,
G1P4Q4,G1P4Q4_MYOLU,3.0,,1,,1,1,,,,,
G1NUY3,G1NUY3_MYOLU,3.0,,1,,1,1,,,,,
G1MG41,G1MG41_AILME,3.0,,1,,1,1,,,,,
G3SZH8,G3SZH8_LOXAF,2.0,,1,,,1,,,,,
F7B9M6,F7B9M6_HORSE,2.0,,1,,1,,,,,,
G1Q271,G1Q271_MYOLU,2.0,,1,,1,,,,,,
G3SZJ5,G3SZJ5_LOXAF,2.0,,1,,1,,,,,,
G3TNC6,G3TNC6_LOXAF,2.0,,1,,1,,,,,,
F6WPH5,F6WPH5_MACMU,2.0,,1,,,1,,,,,
G1Q5P7,G1Q5P7_MYOLU,2.0,,1,,1,,,,,,
G1LTL9,G1LTL9_AILME,2.0,,1,,1,,,,,,
G1LE90,G1LE90_AILME,2.0,,1,,1,,,,,,
G3X6J2,G3X6J2_BOVIN,2.0,,1,,1,,,,,,
H0UTH6,H0UTH6_CAVPO,2.0,,1,,1,,,,,,
F7ISH2,F7ISH2_CALJA,2.0,,1,,,1,,,,,
F7I813,F7I813_CALJA,2.0,,1,,1,,,,,,
F7HBH3,F7HBH3_CALJA,2.0,,1,,1,,,,,,
F7FTC0,F7FTC0_MACMU,2.0,,1,,,1,,,,,
G3SR65,G3SR65_LOXAF,2.0,,1,,,1,,,,,
G1SUT6,G1SUT6_RABIT,2.0,,1,,1,,,,,,
G1Q843,G1Q843_MYOLU,2.0,,1,,1,,,,,,
F7AH13,F7AH13_HORSE,2.0,,1,,1,,,,,,
F6YQJ3,F6YQJ3_MACMU,2.0,,1,,1,,,,,,
G1QSK0,G1QSK0_NOMLE,2.0,,1,,1,,,,,,
G1T0S5,G1T0S5_RABIT,2.0,,1,,1,,,,,,
G1T3L0,G1T3L0_RABIT,2.0,,1,,1,,,,,,
G1T3Z3,G1T3Z3_RABIT,2.0,,1,,1,,,,,,
G1TD64,G1TD64_RABIT,2.0,,1,,1,,,,,,
G1THC6,G1THC6_RABIT,2.0,,1,,1,,,,,,
G1TVB3,G1TVB3_RABIT,2.0,,1,,1,,,,,,
G1TVL8,G1TVL8_RABIT,2.0,,1,,1,,,,,,
F6ZCY2,F6ZCY2_HORSE,2.0,,1,,1,,,,,,
F6WX96,F6WX96_HORSE,2.0,,1,,1,,,,,,
G3N090,G3N090_BOVIN,2.0,,1,,1,,,,,,
G1QEN1,G1QEN1_MYOLU,2.0,,1,,1,,,,,,
G1QDX3,G1QDX3_MYOLU,2.0,,1,,1,,,,,,
G1QDG4,G1QDG4_MYOLU,2.0,,1,,1,,,,,,
F7A6X3,F7A6X3_HORSE,2.0,,1,,1,,,,,,
G3RJA7,G3RJA7_GORGO,2.0,,1,,1,,,,,,
G3RUS1,G3RUS1_GORGO,2.0,,1,,1,,,,,,
H0WCM7,H0WCM7_CAVPO,2.0,,1,,1,,,,,,
