,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11669,ENSGT00390000011918,MPPHTIL,TF326931,NA,NOG84096,HOG000047138,HBG063770,NA,Q8NBZ0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6AYH2,IN80E_RAT,8.0,1,1,1,1,,1,1,1,,1
Q8NBZ0,IN80E_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q8R359,Q8R359_MOUSE,6.0,1,1,,1,,,1,1,,1
Q6P110,Q6P110_DANRE,6.0,1,1,,1,,1,1,1,,
E2QRR3,E2QRR3_CANFA,4.0,1,1,1,1,,,,,,
F6S1N0,F6S1N0_CALJA,4.0,1,1,1,1,,,,,,
G3W9A0,G3W9A0_SARHA,4.0,1,1,1,1,,,,,,
F6UCY8,F6UCY8_MACMU,4.0,1,1,1,1,,,,,,
Q29RS4,IN80E_BOVIN,4.0,1,,,,,1,1,1,,
F7C4U8,F7C4U8_HORSE,4.0,1,1,1,1,,,,,,
F6S5S9,F6S5S9_XENTR,3.0,,1,1,1,,,,,,
I3LYS3,I3LYS3_SPETR,3.0,,1,1,1,,,,,,
I3LRH8,I3LRH8_PIG,3.0,,1,1,1,,,,,,
F7DGG3,F7DGG3_MONDO,3.0,,1,1,1,,,,,,
F1MQE7,F1MQE7_BOVIN,3.0,,1,1,1,,,,,,
G1M9C7,G1M9C7_AILME,3.0,,1,1,1,,,,,,
G1PCD9,G1PCD9_MYOLU,3.0,,1,1,1,,,,,,
H9GG40,H9GG40_ANOCA,3.0,,1,1,1,,,,,,
G1SQR8,G1SQR8_RABIT,3.0,,1,1,1,,,,,,
G3SUL7,G3SUL7_LOXAF,3.0,,1,1,1,,,,,,
H0VKE7,H0VKE7_CAVPO,3.0,,1,1,1,,,,,,
F6QYI0,F6QYI0_CIOIN,3.0,1,1,,1,,,,,,
H0X585,H0X585_OTOGA,3.0,,1,1,1,,,,,,
H2MCM2,H2MCM2_ORYLA,3.0,1,1,,1,,,,,,
B0X063,B0X063_CULQU,3.0,1,,,,,1,1,,,
M3WK71,M3WK71_FELCA,3.0,1,1,1,,,,,,,
A1Z8D4,A1Z8D4_DROME,3.0,1,1,,,,1,,,,
Q17J42,Q17J42_AEDAE,3.0,1,,,,,1,1,,,
D3Z3H0,D3Z3H0_MOUSE,3.0,,1,1,,,,1,,,
A1Z8D5,A1Z8D5_DROME,2.0,1,1,,,,,,,,
A6QM14,A6QM14_BOVIN,2.0,,,,,,,1,1,,
G3R8K1,G3R8K1_GORGO,2.0,1,1,,,,,,,,
G3P519,G3P519_GASAC,2.0,,1,,1,,,,,,
A7US23,A7US23_ANOGA,2.0,1,,,,,1,,,,
G1R7T6,G1R7T6_NOMLE,2.0,,1,,1,,,,,,
B4J8B1,B4J8B1_DROGR,2.0,1,,,,,1,,,,
B3S6H9,B3S6H9_TRIAD,2.0,1,,,,,1,,,,
B4LNF8,B4LNF8_DROVI,2.0,1,,,,,1,,,,
B4MKB7,B4MKB7_DROWI,2.0,1,,,,,1,,,,
B7P290,B7P290_IXOSC,2.0,1,,,,,1,,,,
F6WA91,F6WA91_ORNAN,2.0,,1,,1,,,,,,
C4WVL3,C4WVL3_ACYPI,2.0,1,,,,,,1,,,
D2HX44,D2HX44_AILME,2.0,1,,,,,,1,,,
W5P2T6,W5P2T6_SHEEP,2.0,,1,1,,,,,,,
G3SCM4,G3SCM4_GORGO,2.0,,1,,1,,,,,,
H2NQK6,H2NQK6_PONAB,2.0,,1,,1,,,,,,
R4GDI7,R4GDI7_ANOCA,2.0,1,1,,,,,,,,
Q7TMJ7,Q7TMJ7_MOUSE,2.0,,,,,,1,,1,,
Q8TEI7,Q8TEI7_HUMAN,2.0,,,,,,,1,1,,
H3CRF0,H3CRF0_TETNG,2.0,,1,,1,,,,,,
J3KNE2,J3KNE2_HUMAN,2.0,1,1,,,,,,,,
M3YM75,M3YM75_MUSPF,2.0,,1,1,,,,,,,
