,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K05446,ENSGT00510000049242,WIKQFLE,TF333253,EOG757CZT,NOG86390,HOG000113042,NA,NA,Q9NPH9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NPH9,IL26_HUMAN,8.0,1,1,1,1,1,1,1,,,1
D2H945,D2H945_AILME,6.0,1,1,1,1,1,,1,,,
G3R6F4,G3R6F4_GORGO,5.0,1,1,1,1,1,,,,,
F1SH69,F1SH69_PIG,5.0,1,1,1,1,1,,,,,
H2Q6F4,H2Q6F4_PANTR,5.0,1,1,1,1,1,,,,,
F7FUZ0,F7FUZ0_MACMU,5.0,1,1,1,1,1,,,,,
G1QTG6,G1QTG6_NOMLE,4.0,,1,1,1,1,,,,,
K7GEX7,K7GEX7_PELSI,4.0,,1,1,1,1,,,,,
I3LZ75,I3LZ75_SPETR,4.0,,1,1,1,1,,,,,
H2NHZ6,H2NHZ6_PONAB,4.0,,1,1,1,1,,,,,
H0Z8K8,H0Z8K8_TAEGU,4.0,,1,1,1,1,,,,,
H0XVQ9,H0XVQ9_OTOGA,4.0,,1,1,1,1,,,,,
M3WDI9,M3WDI9_FELCA,4.0,1,1,1,,1,,,,,
G1SDF0,G1SDF0_RABIT,4.0,,1,1,1,1,,,,,
G1NYG4,G1NYG4_MYOLU,4.0,,1,1,1,1,,,,,
G1NDA5,G1NDA5_MELGA,4.0,,1,1,1,1,,,,,
F7B070,F7B070_CALJA,4.0,,1,1,1,1,,,,,
F6PQV8,F6PQV8_ORNAN,4.0,,1,1,1,1,,,,,
B6RCW0,B6RCW0_XENTR,3.0,1,1,,,1,,,,,
W5NUV9,W5NUV9_SHEEP,3.0,1,1,1,,,,,,,
U3K658,U3K658_FICAL,2.0,,1,1,,,,,,,
M3Z1D8,M3Z1D8_MUSPF,2.0,,1,,,1,,,,,
I3LUS7,I3LUS7_PIG,2.0,,1,,,1,,,,,
A0FH90,A0FH90_PIG,2.0,,,,,,1,1,,,
R0L4A3,R0L4A3_ANAPL,2.0,,1,1,,,,,,,
P51496,IL10_MACMU,1.0,,,,1,,,,,,
G1MGI2,G1MGI2_AILME,1.0,,,,1,,,,,,
Q9JI24,IL24_RAT,1.0,,,,1,,,,,,
G1NDB2,G1NDB2_MELGA,1.0,,,,1,,,,,,
Q9JJY8,IL22B_MOUSE,1.0,,,,1,,,,,,
G1MXI5,G1MXI5_MELGA,1.0,,,,1,,,,,,
G1MXH5,G1MXH5_MELGA,1.0,,,,1,,,,,,
G1MGJ4,G1MGJ4_AILME,1.0,,,,1,,,,,,
G1MGI7,G1MGI7_AILME,1.0,,,,1,,,,,,
G1MGH7,G1MGH7_AILME,1.0,,,,1,,,,,,
G1PXI6,G1PXI6_MYOLU,1.0,,,,1,,,,,,
G1LQ37,G1LQ37_AILME,1.0,,,,1,,,,,,
F7HZ89,F7HZ89_CALJA,1.0,,,,1,,,,,,
F7HHY3,F7HHY3_MACMU,1.0,,,,1,,,,,,
F7HHX8,F7HHX8_MACMU,1.0,,,,1,,,,,,
F7HHV8,F7HHV8_MACMU,1.0,,,,1,,,,,,
Q9JJY9,IL22_MOUSE,1.0,,,,1,,,,,,
G1NYG9,G1NYG9_MYOLU,1.0,,,,1,,,,,,
G1PXI8,G1PXI8_MYOLU,1.0,,,,1,,,,,,
F7CQQ3,F7CQQ3_XENTR,1.0,,,,1,,,,,,
G1PXI9,G1PXI9_MYOLU,1.0,,,,1,,,,,,
G3R0Q5,G3R0Q5_GORGO,1.0,,,,1,,,,,,
G3QNU7,G3QNU7_GORGO,1.0,,,,1,,,,,,
G3N5D6,G3N5D6_GASAC,1.0,,,,1,,,,,,
G3N113,G3N113_BOVIN,1.0,,,,1,,,,,,
G1T734,G1T734_RABIT,1.0,,,,1,,,,,,
G1T727,G1T727_RABIT,1.0,,,,1,,,,,,
G1SFV3,G1SFV3_RABIT,1.0,,,,1,,,,,,
Q925S4,IL24_MOUSE,1.0,,,,1,,,,,,
G1QTK0,G1QTK0_NOMLE,1.0,,,,1,,,,,,
Q9GZX6,IL22_HUMAN,1.0,,,,1,,,,,,
G1QJB7,G1QJB7_NOMLE,1.0,,,,1,,,,,,
G1QJ75,G1QJ75_NOMLE,1.0,,,,1,,,,,,
G1QJ45,G1QJ45_NOMLE,1.0,,,,1,,,,,,
