,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K04506,ENSGT00390000005434,FDTNIAQ,TF312976,EOG7JT6XC,NOG264215,HOG000231487,HBG055701,NA,Q8IUQ4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q920M9,SIAH1_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q8IUQ4,SIAH1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q920M9,SIAH1_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q8IUQ4,SIAH1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
P61092,SIA1A_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q5FVA4,Q5FVA4_XENTR,7.0,1,1,,1,1,1,1,1,,
Q7ZVG6,SIAH1_DANRE,6.0,1,1,,1,1,1,,1,,
O43255,SIAH2_HUMAN,6.0,,1,,1,1,1,1,1,,
A4IIN1,A4IIN1_XENTR,6.0,,1,,1,1,1,1,1,,
A7UU20,A7UU20_ANOGA,6.0,1,,1,,1,1,1,,,1
F6T3K3,F6T3K3_MACMU,5.0,1,1,1,1,1,,,,,
Q06985,SIA1B_MOUSE,5.0,1,,,,,1,1,1,,1
Q8R4T2,SIAH2_RAT,5.0,,1,,,1,1,1,1,,
A2AHZ2,A2AHZ2_MOUSE,5.0,1,1,,1,1,,,1,,
Q06985,SIA1B_MOUSE,5.0,1,,,,,1,1,1,,1
Q06986,SIAH2_MOUSE,5.0,,,,1,1,1,1,1,,
F6WSH9,F6WSH9_HORSE,5.0,1,1,1,1,1,,,,,
H3B3E5,H3B3E5_LATCH,5.0,1,1,1,1,1,,,,,
B0WR23,B0WR23_CULQU,5.0,1,,1,,1,1,1,,,
G3WTP1,G3WTP1_SARHA,5.0,1,1,1,1,1,,,,,
K7FX27,K7FX27_PELSI,5.0,1,1,1,1,1,,,,,
H2NQU3,H2NQU3_PONAB,5.0,1,1,1,1,1,,,,,
G3S6X6,G3S6X6_GORGO,5.0,1,1,1,1,1,,,,,
P21461,SINA_DROME,5.0,1,,1,,1,1,,,,1
F1PEG8,F1PEG8_CANFA,5.0,1,1,1,1,1,,,,,
F1P2G0,F1P2G0_CHICK,5.0,1,1,1,1,1,,,,,
G1LUQ5,G1LUQ5_AILME,5.0,1,1,1,1,1,,,,,
F1N5G3,F1N5G3_BOVIN,5.0,1,1,1,1,1,,,,,
P21461,SINA_DROME,5.0,1,,1,,1,1,,,,1
A7RU12,A7RU12_NEMVE,5.0,1,,,,1,1,1,,,1
G1QIL5,G1QIL5_NOMLE,5.0,1,1,1,1,1,,,,,
H2XYF8,H2XYF8_CIOIN,5.0,1,1,1,1,1,,,,,
F6SK11,F6SK11_CALJA,5.0,1,1,1,1,1,,,,,
P93748,SINA1_ARATH,4.0,1,,,,,1,1,,,1
H3ADB1,H3ADB1_LATCH,4.0,1,1,,1,1,,,,,
H9GL05,H9GL05_ANOCA,4.0,,1,1,1,1,,,,,
G1NRC3,G1NRC3_MELGA,4.0,,1,1,1,1,,,,,
