,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K14544,ENSGT00390000018619,MQMEELL,NA,EOG7VHSWC,NOG331671,NA,HBG052644,NA,Q9H6R4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9H6R4,NOL6_HUMAN,7.0,1,1,1,,1,1,,1,,1
Q9H6R4,NOL6_HUMAN,7.0,1,1,1,,1,1,,1,,1
Q8R5K4,NOL6_MOUSE,7.0,1,1,1,,1,1,,1,,1
Q8IH00,NOL6_DROME,6.0,1,1,1,,1,1,,,,1
A7S7H5,A7S7H5_NEMVE,5.0,1,,1,,1,1,,,,1
A5PJU0,A5PJU0_BOVIN,5.0,1,1,,,1,1,,1,,
Q95XY4,Q95XY4_CAEEL,5.0,1,1,,,1,1,,,,1
M4AYB0,M4AYB0_XIPMA,4.0,1,1,1,,1,,,,,
A7F082,A7F082_SCLS1,4.0,1,,1,,,1,,,,1
Q17D12,Q17D12_AEDAE,4.0,1,,1,,1,1,,,,
Q0WVM5,Q0WVM5_ARATH,4.0,1,,1,,,1,,,,1
Q7S1X8,Q7S1X8_NEUCR,4.0,1,,1,,,1,,,,1
F6ZJX2,F6ZJX2_MONDO,4.0,1,1,1,,1,,,,,
P53254,UTP22_YEAST,4.0,1,1,,,,1,,,,1
A9UX35,A9UX35_MONBE,4.0,1,,1,,,1,,,,1
B0WP83,B0WP83_CULQU,4.0,1,,1,,1,1,,,,
Q54EN2,Q54EN2_DICDI,4.0,1,,1,,,1,,,,1
M3W6B5,M3W6B5_FELCA,4.0,1,1,1,,1,,,,,
C3Z9X5,C3Z9X5_BRAFL,4.0,1,,1,,,1,,,,1
B3SA13,B3SA13_TRIAD,4.0,1,,1,,1,1,,,,
F1SE91,F1SE91_PIG,4.0,1,1,1,,1,,,,,
F1Q4S6,F1Q4S6_DANRE,4.0,1,1,1,,1,,,,,
B4JHB6,B4JHB6_DROGR,4.0,1,,1,,1,1,,,,
F6TYH9,F6TYH9_HORSE,4.0,1,1,1,,1,,,,,
B4LWT7,NOL6_DROVI,4.0,1,,1,,1,1,,,,
B4NIM9,NOL6_DROWI,4.0,1,,1,,1,1,,,,
Q5TPK2,Q5TPK2_ANOGA,4.0,1,,,,1,1,,,,1
B7QAN8,B7QAN8_IXOSC,4.0,1,,,,1,1,,,,1
H2QX54,H2QX54_PANTR,4.0,1,1,1,,1,,,,,
H9JCB7,H9JCB7_BOMMO,3.0,1,,1,,1,,,,,
H9GJA7,H9GJA7_ANOCA,3.0,1,1,,,1,,,,,
B3M2H6,B3M2H6_DROAN,3.0,1,,,,1,1,,,,
B0BNB6,B0BNB6_RAT,3.0,,1,,,1,1,,,,
Q295U7,NOL6_DROPS,3.0,1,,,,1,1,,,,
Q5ALK9,Q5ALK9_CANAL,3.0,1,,,,,1,,,,1
O94676,UTP22_SCHPO,3.0,1,,,,,1,,,,1
M3XXU0,M3XXU0_MUSPF,3.0,,1,1,,1,,,,,
I3MQH5,I3MQH5_SPETR,3.0,,1,1,,1,,,,,
B8CGG5,B8CGG5_THAPS,3.0,1,,,,,1,,,,1
B4K5S6,NOL6_DROMO,3.0,1,,1,,1,,,,,
B4PR18,NOL6_DROYA,3.0,1,,,,1,1,,,,
E0VHG7,E0VHG7_PEDHC,3.0,1,,1,,1,,,,,
Q0TXJ2,Q0TXJ2_PHANO,3.0,1,,1,,,,,,,1
H3CDV3,H3CDV3_TETNG,3.0,,1,1,,1,,,,,
K7G936,K7G936_PELSI,3.0,,1,1,,1,,,,,
G3SVB9,G3SVB9_LOXAF,3.0,,1,1,,1,,,,,
G1U998,G1U998_RABIT,3.0,,1,1,,1,,,,,
