,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00760000119090,CPTCMKG,TF329705,EOG79PJNF,NOG255440,HOG000033961,HBG103143,NA,Q9BQI6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BQI6,ANR32_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9BQI6,ANR32_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8R3P9,ANR32_MOUSE,7.0,,1,1,1,1,1,,1,,1
D3ZVR6,D3ZVR6_RAT,5.0,,1,1,1,1,,,,,1
I3MM70,I3MM70_SPETR,4.0,,1,1,1,1,,,,,
G1LMR0,G1LMR0_AILME,4.0,,1,1,1,1,,,,,
H2QR85,H2QR85_PANTR,4.0,,1,1,1,1,,,,,
F6QF72,F6QF72_CALJA,4.0,,1,1,1,1,,,,,
G1RUP8,G1RUP8_NOMLE,4.0,,1,1,1,1,,,,,
H0V4G9,H0V4G9_CAVPO,4.0,,1,1,1,1,,,,,
F6UKP1,F6UKP1_HORSE,4.0,,1,1,1,1,,,,,
F7DQV8,F7DQV8_MONDO,4.0,,1,1,1,1,,,,,
G3RE69,G3RE69_GORGO,4.0,,1,1,1,1,,,,,
F1Q0W4,F1Q0W4_CANFA,4.0,,1,1,1,1,,,,,
F6V0Z8,F6V0Z8_XENTR,4.0,,1,1,1,1,,,,,
H3B6Q0,H3B6Q0_LATCH,4.0,,1,1,1,1,,,,,
F1RNW0,F1RNW0_PIG,4.0,,1,1,1,1,,,,,
F1MM85,F1MM85_BOVIN,4.0,,1,1,1,1,,,,,
H0WP61,H0WP61_OTOGA,4.0,,1,1,1,1,,,,,
G1PD74,G1PD74_MYOLU,4.0,,1,1,1,1,,,,,
K7G028,K7G028_PELSI,4.0,,1,1,1,1,,,,,
H2PG36,H2PG36_PONAB,4.0,,1,1,1,1,,,,,
A6QR20,ANR32_BOVIN,3.0,,,,,,1,1,1,,
F7FKL7,F7FKL7_ORNAN,3.0,,1,,1,1,,,,,
G1SLI1,G1SLI1_RABIT,3.0,,1,,1,1,,,,,
F7CZP2,F7CZP2_MACMU,3.0,,1,,1,1,,,,,
G1KNG3,G1KNG3_ANOCA,3.0,,1,,1,1,,,,,
M3XBF4,M3XBF4_FELCA,3.0,,1,1,,1,,,,,
G3W710,G3W710_SARHA,3.0,,1,,1,1,,,,,
G3TFP4,G3TFP4_LOXAF,3.0,,1,,1,1,,,,,
M3XYM8,M3XYM8_MUSPF,3.0,,1,1,,1,,,,,
A7S2Z2,A7S2Z2_NEMVE,2.0,,,,,1,1,,,,
B3RJD3,B3RJD3_TRIAD,2.0,,,,,1,1,,,,
H2M336,H2M336_ORYLA,2.0,,1,,,1,,,,,
A7S2Z1,A7S2Z1_NEMVE,2.0,,,,,1,1,,,,
H0YR28,H0YR28_TAEGU,2.0,,1,,,1,,,,,
H0YR31,H0YR31_TAEGU,2.0,,1,,,1,,,,,
B3RJC9,B3RJC9_TRIAD,2.0,,,,,1,1,,,,
H2SC06,H2SC06_TAKRU,2.0,,1,,,1,,,,,
U3K363,U3K363_FICAL,2.0,,1,1,,,,,,,
