,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000017228,WETMSST,TF316230,NA,NOG327664,HOG000090231,HBG096074,NA,Q9UFD9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UFD9,RIM3A_HUMAN,7.0,,1,1,1,,1,1,1,,1
A6NNM3,RIM3B_HUMAN,5.0,,1,,1,,1,1,1,,
A6NJZ7,RIM3C_HUMAN,5.0,,1,,1,,1,1,1,,
Q3V0F0,RIMB3_MOUSE,4.0,,,,,,1,1,1,,1
G3MZJ5,G3MZJ5_BOVIN,3.0,,1,1,1,,,,,,
Q7TNF8,RIMB1_MOUSE,3.0,,1,,1,,1,,,,
Q7SZY5,Q7SZY5_DANRE,3.0,,1,,1,,1,,,,
O95153,RIMB1_HUMAN,3.0,,1,,1,,1,,,,
G3TW03,G3TW03_LOXAF,3.0,,1,1,1,,,,,,
F7IRF9,F7IRF9_CALJA,3.0,,1,1,1,,,,,,
H0VNQ7,H0VNQ7_CAVPO,3.0,,1,1,1,,,,,,
H0XIM5,H0XIM5_OTOGA,3.0,,1,1,1,,,,,,
E9PZY2,E9PZY2_MOUSE,3.0,,1,1,1,,,,,,
H2P500,H2P500_PONAB,3.0,,1,1,1,,,,,,
I3MYU1,I3MYU1_SPETR,3.0,,1,1,1,,,,,,
F6PVL4,F6PVL4_HORSE,3.0,,1,1,1,,,,,,
F1RKY6,F1RKY6_PIG,3.0,,1,1,1,,,,,,
D4A7Z1,D4A7Z1_RAT,3.0,,1,1,1,,,,,,
O15034,RIMB2_HUMAN,3.0,,1,,1,,1,,,,
F7GQ39,F7GQ39_MACMU,3.0,,1,1,1,,,,,,
Q9N415,Q9N415_CAEEL,3.0,,1,,,,1,,,,1
G1PZK2,G1PZK2_MYOLU,3.0,,1,1,1,,,,,,
G1SRN7,G1SRN7_RABIT,3.0,,1,1,1,,,,,,
G1R7Y0,G1R7Y0_NOMLE,3.0,,1,1,1,,,,,,
G1MPL4,G1MPL4_AILME,3.0,,1,1,1,,,,,,
H2R113,H2R113_PANTR,2.0,,1,,1,,,,,,
H0Z2W6,H0Z2W6_TAEGU,2.0,,1,,1,,,,,,
H2M550,H2M550_ORYLA,2.0,,1,,1,,,,,,
H2M609,H2M609_ORYLA,2.0,,1,,1,,,,,,
H2MF41,H2MF41_ORYLA,2.0,,1,,1,,,,,,
H2NJ52,H2NJ52_PONAB,2.0,,1,,1,,,,,,
G1MSY6,G1MSY6_MELGA,2.0,,1,,1,,,,,,
H2NTI2,H2NTI2_PONAB,2.0,,1,,1,,,,,,
