,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17579,ENSGT00730000111169,NA,TF329227,NA,NOG241809,HOG000068029,HBG061602,NA,Q7Z4L9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8R1Z4,PPR42_MOUSE,7.0,1,1,,1,,1,1,1,,1
Q7Z4L9,PPR42_HUMAN,7.0,1,1,,1,,1,1,1,,1
Q28IG9,Q28IG9_XENTR,6.0,1,1,,1,,1,1,1,,
Q6GQN5,PPR42_DANRE,6.0,1,1,,1,,,1,1,,1
Q3SZY4,Q3SZY4_BOVIN,4.0,1,,,,,1,1,1,,
B1WBU1,B1WBU1_RAT,4.0,1,,,,,1,1,1,,
A7RLZ8,A7RLZ8_NEMVE,3.0,1,,,,,,1,,,1
F7ET62,F7ET62_MONDO,3.0,1,1,,1,,,,,,
F7EJP3,F7EJP3_MACMU,3.0,1,1,,1,,,,,,
G1T6P9,G1T6P9_RABIT,3.0,1,1,,1,,,,,,
F6ZS54,F6ZS54_ORNAN,3.0,1,1,,1,,,,,,
G1RJ26,G1RJ26_NOMLE,3.0,1,1,,1,,,,,,
H2QW95,H2QW95_PANTR,2.0,,1,,1,,,,,,
H2PQH8,H2PQH8_PONAB,2.0,,1,,1,,,,,,
H2LWQ9,H2LWQ9_ORYLA,2.0,,1,,1,,,,,,
H0ZM58,H0ZM58_TAEGU,2.0,,1,,1,,,,,,
G3UBF5,G3UBF5_LOXAF,2.0,,1,,1,,,,,,
H2TFY5,H2TFY5_TAKRU,2.0,,1,,1,,,,,,
H0X6S2,H0X6S2_OTOGA,2.0,,1,,1,,,,,,
H0V4Q8,H0V4Q8_CAVPO,2.0,,1,,1,,,,,,
E9PUJ7,E9PUJ7_MOUSE,2.0,1,1,,,,,,,,
G3VXI0,G3VXI0_SARHA,2.0,,1,,1,,,,,,
W5NPS9,W5NPS9_SHEEP,2.0,1,1,,,,,,,,
G3QNI2,G3QNI2_GORGO,2.0,,1,,1,,,,,,
G3NEQ5,G3NEQ5_GASAC,2.0,,1,,1,,,,,,
H3A8Q8,H3A8Q8_LATCH,2.0,,1,,1,,,,,,
G1P944,G1P944_MYOLU,2.0,,1,,1,,,,,,
G1NFI7,G1NFI7_MELGA,2.0,,1,,1,,,,,,
G1M1I7,G1M1I7_AILME,2.0,,1,,1,,,,,,
G1KSL2,G1KSL2_ANOCA,2.0,,1,,1,,,,,,
F7IS93,F7IS93_CALJA,2.0,,1,,1,,,,,,
F1RU00,F1RU00_PIG,2.0,,1,,1,,,,,,
F6RCG2,F6RCG2_HORSE,2.0,,1,,1,,,,,,
H2YB45,H2YB45_CIOSA,2.0,,1,,1,,,,,,
H3CXM0,H3CXM0_TETNG,2.0,,1,,1,,,,,,
E9PTW7,E9PTW7_RAT,2.0,,1,,1,,,,,,
C3YQ29,C3YQ29_BRAFL,2.0,1,,,,,,,,,1
A2F1T6,A2F1T6_TRIVA,2.0,1,,,,,1,,,,
U3JS99,U3JS99_FICAL,2.0,1,1,,,,,,,,
Q5TS48,Q5TS48_ANOGA,2.0,1,,,,,,,,,1
Q5PPX0,PPR42_XENLA,2.0,1,,,,,,,1,,
