,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000008993,VVITLRK,TF338619,NA,NOG44263,HOG000111338,HBG094890,NA,Q6UX34
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6UX34,CB082_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q6UX34,CB082_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q9CXL7,CB082_MOUSE,6.0,,1,1,1,,1,1,1,,
H0W4A7,H0W4A7_CAVPO,3.0,,1,1,1,,,,,,
E1BLR5,E1BLR5_BOVIN,3.0,,1,1,1,,,,,,
F1SM49,F1SM49_PIG,3.0,,1,1,1,,,,,,
F6VMY6,F6VMY6_MACMU,3.0,,1,1,1,,,,,,
G1MSG6,G1MSG6_MELGA,3.0,,1,1,1,,,,,,
G1PWR7,G1PWR7_MYOLU,3.0,,1,1,1,,,,,,
G1RW81,G1RW81_NOMLE,3.0,,1,1,1,,,,,,
G3QXU0,G3QXU0_GORGO,3.0,,1,1,1,,,,,,
G3W3R0,G3W3R0_SARHA,3.0,,1,1,1,,,,,,
H0XV85,H0XV85_OTOGA,3.0,,1,1,1,,,,,,
H0ZAB8,H0ZAB8_TAEGU,3.0,,1,1,1,,,,,,
H2P8Y5,H2P8Y5_PONAB,3.0,,1,1,1,,,,,,
H2QJM3,H2QJM3_PANTR,3.0,,1,1,1,,,,,,
I3MZ52,I3MZ52_SPETR,3.0,,1,1,1,,,,,,
K7GH86,K7GH86_PELSI,3.0,,1,1,1,,,,,,
E1BTJ4,E1BTJ4_CHICK,3.0,,1,1,1,,,,,,
U3KGD6,U3KGD6_FICAL,2.0,,1,1,,,,,,,
J9NV25,J9NV25_CANFA,2.0,,1,,1,,,,,,
G1KF77,G1KF77_ANOCA,2.0,,1,,1,,,,,,
F7GKE0,F7GKE0_CALJA,2.0,,1,,1,,,,,,
F7BXM2,F7BXM2_CALJA,2.0,,1,1,,,,,,,
R0KLW0,R0KLW0_ANAPL,2.0,,1,1,,,,,,,
C9K0N5,C9K0N5_HUMAN,1.0,,1,,,,,,,,
W5QDJ1,W5QDJ1_SHEEP,1.0,,1,,,,,,,,
H7C356,H7C356_HUMAN,1.0,,1,,,,,,,,
A0A096MLE3,A0A096MLE3_PAPAN,1.0,,1,,,,,,,,
