,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000016881,SMENGTF,TF338260,EOG7Z0K0M,NOG44160,HOG000111806,HBG102343,NA,A2A2V5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A2A2V5,SRTM1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8CD78,SRTM1_MOUSE,7.0,,1,1,1,1,1,1,1,,
D2I0X6,D2I0X6_AILME,5.0,,1,1,1,1,,1,,,
D3ZR22,D3ZR22_RAT,5.0,,1,1,1,1,,,,,1
D3ZR22,D3ZR22_RAT,5.0,,1,1,1,1,,,,,1
G3N1H4,G3N1H4_BOVIN,4.0,,1,1,1,1,,,,,
G1KCT4,G1KCT4_ANOCA,4.0,,1,1,1,1,,,,,
G3QBB3,G3QBB3_GASAC,4.0,,1,1,1,1,,,,,
G1T2N3,G1T2N3_RABIT,4.0,,1,1,1,1,,,,,
G1QLV0,G1QLV0_NOMLE,4.0,,1,1,1,1,,,,,
G1NQ94,G1NQ94_MELGA,4.0,,1,1,1,1,,,,,
F7B8D8,F7B8D8_ORNAN,4.0,,1,1,1,1,,,,,
F7BBX9,F7BBX9_CALJA,4.0,,1,1,1,1,,,,,
G3TD80,G3TD80_LOXAF,4.0,,1,1,1,1,,,,,
F6YG57,F6YG57_MACMU,4.0,,1,1,1,1,,,,,
F6TPB8,F6TPB8_MONDO,4.0,,1,1,1,1,,,,,
E2R304,E2R304_CANFA,4.0,,1,1,1,1,,,,,
G3RI00,G3RI00_GORGO,4.0,,1,1,1,1,,,,,
H0Y115,H0Y115_OTOGA,4.0,,1,1,1,1,,,,,
G3W4P4,G3W4P4_SARHA,4.0,,1,1,1,1,,,,,
F6PS63,F6PS63_HORSE,4.0,,1,1,1,1,,,,,
H0ZNS5,H0ZNS5_TAEGU,4.0,,1,1,1,1,,,,,
H2LFT3,H2LFT3_ORYLA,4.0,,1,1,1,1,,,,,
H2NJM6,H2NJM6_PONAB,4.0,,1,1,1,1,,,,,
H2Q7F4,H2Q7F4_PANTR,4.0,,1,1,1,1,,,,,
H2SC84,H2SC84_TAKRU,4.0,,1,1,1,1,,,,,
H3AVX7,H3AVX7_LATCH,4.0,,1,1,1,1,,,,,
I3NFU1,I3NFU1_SPETR,4.0,,1,1,1,1,,,,,
K7EXC0,K7EXC0_PELSI,4.0,,1,1,1,1,,,,,
F1RSQ9,F1RSQ9_PIG,4.0,,1,1,1,1,,,,,
I3KYH3,I3KYH3_ORENI,3.0,,,1,1,1,,,,,
M3X5P8,M3X5P8_FELCA,3.0,,1,1,,1,,,,,
W5P7S1,W5P7S1_SHEEP,2.0,,1,1,,,,,,,
W5NND3,W5NND3_LEPOC,2.0,,1,1,,,,,,,
M4A281,M4A281_XIPMA,2.0,,1,,,1,,,,,
U3KK32,U3KK32_FICAL,2.0,,1,1,,,,,,,
W5L9U4,W5L9U4_ASTMX,2.0,,1,1,,,,,,,
F6SF22,F6SF22_CIOIN,1.0,,,,1,,,,,,
F6TFP3,F6TFP3_CALJA,1.0,,1,,,,,,,,
B4DFS3,B4DFS3_HUMAN,1.0,,,,,,,,1,,
A0A096N1B7,A0A096N1B7_PAPAN,1.0,,1,,,,,,,,
A0A087YPQ2,A0A087YPQ2_POEFO,1.0,,1,,,,,,,,
