,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11546,ENSGT00390000006469,SAVCRNR,TF333180,EOG76DTV7,NOG76524,HOG000012991,HBG058607,NA,Q6P1K2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6P1K2,PMF1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q6P1K2,PMF1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9CPV5,PMF1_MOUSE,8.0,1,1,,1,1,1,1,1,,1
Q9CPV5,PMF1_MOUSE,8.0,1,1,,1,1,1,1,1,,1
B2CPJ7,B2CPJ7_PIG,6.0,1,1,,1,1,,1,1,,
Q2T9N4,PMF1_BOVIN,6.0,1,1,,1,1,,1,1,,
D3ZEH8,D3ZEH8_RAT,5.0,1,1,,1,1,,,,,1
F7H7D7,F7H7D7_MACMU,4.0,,1,1,1,1,,,,,
F7B1M1,F7B1M1_HORSE,4.0,1,1,,1,1,,,,,
G1T487,G1T487_RABIT,4.0,1,1,,1,1,,,,,
H3B2W4,H3B2W4_LATCH,4.0,1,1,,1,1,,,,,
F6ZUU9,F6ZUU9_MONDO,4.0,1,1,,1,1,,,,,
G1M770,G1M770_AILME,4.0,1,1,,1,1,,,,,
K7G8N5,K7G8N5_PELSI,4.0,1,1,,1,1,,,,,
H2R8K5,H2R8K5_PANTR,4.0,1,1,,1,1,,,,,
G3RSF3,G3RSF3_GORGO,4.0,1,1,,1,1,,,,,
H2LEV3,H2LEV3_ORYLA,4.0,1,1,,1,1,,,,,
H2N5E4,H2N5E4_PONAB,3.0,,1,,1,1,,,,,
G3UEH9,G3UEH9_LOXAF,3.0,,1,,1,1,,,,,
G3WLZ2,G3WLZ2_SARHA,3.0,,1,,1,1,,,,,
H3D6H0,H3D6H0_TETNG,3.0,,1,,1,1,,,,,
G1RPB2,G1RPB2_NOMLE,3.0,,1,,1,1,,,,,
G1PBJ7,G1PBJ7_MYOLU,3.0,,1,,1,1,,,,,
I3LZ61,I3LZ61_SPETR,3.0,,1,,1,1,,,,,
