,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10350,ENSGT00530000063187,HVCSKNA,TF313007,EOG72ZCD9,NOG255988,HOG000004816,HBG108780,NA,Q9C0D3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5TYQ1,ZYG11_DANRE,9.0,1,1,1,1,1,1,1,1,,1
Q9C0D3,ZY11B_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
A7MB67,A7MB67_BOVIN,8.0,1,1,1,1,1,1,1,1,,
Q3UFS0,ZY11B_MOUSE,8.0,1,1,1,1,1,1,,1,,1
Q6WRX3,ZY11A_HUMAN,6.0,1,1,,1,1,,1,1,,
F1PFQ1,F1PFQ1_CANFA,5.0,1,1,1,1,1,,,,,
B7PEI1,B7PEI1_IXOSC,5.0,1,,1,,1,1,,,,1
F1NUU7,F1NUU7_CHICK,5.0,1,1,1,1,1,,,,,
H2PZ15,H2PZ15_PANTR,5.0,1,1,1,1,1,,,,,
G1SJ71,G1SJ71_RABIT,5.0,1,1,1,1,1,,,,,
F6X4C7,F6X4C7_MONDO,4.0,,1,1,1,1,,,,,
Q80ZJ6,ZER1_MOUSE,4.0,1,1,,1,,1,,,,
F6SN93,F6SN93_XENTR,4.0,,1,1,1,1,,,,,
G1TV80,G1TV80_RABIT,4.0,1,1,,1,1,,,,,
G3PNQ5,G3PNQ5_GASAC,4.0,,1,1,1,1,,,,,
G3SSY4,G3SSY4_LOXAF,4.0,,1,1,1,1,,,,,
G3VEC9,G3VEC9_SARHA,4.0,,1,1,1,1,,,,,
F1S6I1,F1S6I1_PIG,4.0,,1,1,1,1,,,,,
H0VMI1,H0VMI1_CAVPO,4.0,,1,1,1,1,,,,,
H0XA44,H0XA44_OTOGA,4.0,,1,1,1,1,,,,,
H0ZFK0,H0ZFK0_TAEGU,4.0,,1,1,1,1,,,,,
P21541,ZYG11_CAEEL,4.0,1,1,,,1,1,,,,
H2N7D4,H2N7D4_PONAB,4.0,1,1,,1,1,,,,,
H2N7D5,H2N7D5_PONAB,4.0,1,1,,1,1,,,,,
H2R931,H2R931_PANTR,4.0,1,1,,1,1,,,,,
H2VDE6,H2VDE6_TAKRU,4.0,,1,1,1,1,,,,,
H3A2E0,H3A2E0_LATCH,4.0,,1,1,1,1,,,,,
Q7Z7L7,ZER1_HUMAN,4.0,1,1,,1,,1,,,,
G3R0Y7,G3R0Y7_GORGO,4.0,1,1,,1,1,,,,,
A2BFL2,ZY11A_MOUSE,4.0,,1,,,1,,1,1,,
F1MVD5,F1MVD5_BOVIN,4.0,1,1,,1,1,,,,,
F1M8P2,F1M8P2_RAT,4.0,,1,1,1,1,,,,,
G1NFD1,G1NFD1_MELGA,4.0,,1,1,1,1,,,,,
G1LS53,G1LS53_AILME,4.0,,1,1,1,1,,,,,
G1KHR7,G1KHR7_ANOCA,4.0,1,1,,1,1,,,,,
A7RTB8,A7RTB8_NEMVE,4.0,1,,,,1,1,,,,1
F7BAX0,F7BAX0_HORSE,4.0,,1,1,1,1,,,,,
F7BS01,F7BS01_MACMU,3.0,,1,,1,1,,,,,
H2MIA3,H2MIA3_ORYLA,3.0,,1,1,1,,,,,,
F7BSW2,F7BSW2_ORNAN,3.0,,1,,1,1,,,,,
F1RR66,F1RR66_PIG,3.0,1,1,,1,,,,,,
H2QXZ8,H2QXZ8_PANTR,3.0,1,1,,1,,,,,,
F6ZS14,F6ZS14_CALJA,3.0,,1,,1,1,,,,,
H2RMT3,H2RMT3_TAKRU,3.0,,1,,1,1,,,,,
H2M2V1,H2M2V1_ORYLA,3.0,,1,,1,1,,,,,
H3C247,H3C247_TETNG,3.0,,1,1,1,,,,,,
