,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00400000024366,FQLECCI,NA,EOG7DJSQ9,NOG129910,HOG000112164,HBG079896,NA,Q4QY38
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q4QY38,DB134_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q30KJ5,DB134_PANTR,6.0,,1,1,,1,1,1,1,,
Q30KS1,Q30KS1_CANFA,3.0,,,,,,1,1,1,,
H2PRK4,H2PRK4_PONAB,3.0,,1,1,,1,,,,,
G3QZ11,G3QZ11_GORGO,3.0,,1,1,,1,,,,,
G1RYL5,G1RYL5_NOMLE,3.0,,1,1,,1,,,,,
G1NUT9,G1NUT9_MYOLU,3.0,,1,1,,1,,,,,
G1LI51,G1LI51_AILME,3.0,,1,1,,1,,,,,
F6RBE1,F6RBE1_CALJA,3.0,,1,1,,1,,,,,
F6Q3A8,F6Q3A8_MACMU,3.0,,1,1,,1,,,,,
F1RJ19,F1RJ19_PIG,3.0,,1,1,,1,,,,,
W5PH59,W5PH59_SHEEP,2.0,,1,1,,,,,,,
G3W2A3,G3W2A3_SARHA,1.0,,,,,1,,,,,
A0A096MX85,A0A096MX85_PAPAN,1.0,,1,,,,,,,,
