,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K09871,ENSGT00530000063816,LEHIIVY,TF320251,NA,NOG46671,HOG000034023,HBG050557,NA,A6NM10
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NM10,AQ12B_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q8CHJ2,AQP12_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q0IIQ6,Q0IIQ6_DANRE,7.0,1,1,1,1,,1,1,1,,
Q8IXF9,AQ12A_HUMAN,6.0,1,1,,1,,1,1,1,,
D4A9T6,D4A9T6_RAT,5.0,1,1,1,1,,,,,,1
E1BS80,E1BS80_CHICK,5.0,1,1,1,1,,,,,,1
G3S3X2,G3S3X2_GORGO,4.0,1,1,1,1,,,,,,
H2P9A0,H2P9A0_PONAB,4.0,1,1,1,1,,,,,,
G3WEC0,G3WEC0_SARHA,3.0,,1,1,1,,,,,,
C3ZHQ5,C3ZHQ5_BRAFL,3.0,1,,,,,1,,,,1
K7FKD1,K7FKD1_PELSI,3.0,,1,1,1,,,,,,
I3MV04,I3MV04_SPETR,3.0,,1,1,1,,,,,,
E1BDW5,E1BDW5_BOVIN,3.0,,1,1,1,,,,,,
F6SCI3,F6SCI3_XENTR,3.0,,1,1,1,,,,,,
H2UX73,H2UX73_TAKRU,3.0,,1,1,1,,,,,,
H2L7Y2,H2L7Y2_ORYLA,3.0,,1,1,1,,,,,,
H0XB37,H0XB37_OTOGA,3.0,,1,1,1,,,,,,
H0V849,H0V849_CAVPO,3.0,,1,1,1,,,,,,
G3SPN4,G3SPN4_LOXAF,3.0,,1,1,1,,,,,,
G3PAN7,G3PAN7_GASAC,3.0,,1,1,1,,,,,,
G1RTL3,G1RTL3_NOMLE,3.0,,1,1,1,,,,,,
G1P264,G1P264_MYOLU,3.0,,1,1,1,,,,,,
G1KSC9,G1KSC9_ANOCA,3.0,,1,1,1,,,,,,
F7EJL1,F7EJL1_CALJA,3.0,,1,1,1,,,,,,
F7AR04,F7AR04_HORSE,3.0,,1,1,1,,,,,,
M4AA52,M4AA52_XIPMA,3.0,1,1,1,,,,,,,
H3DJS7,H3DJS7_TETNG,3.0,,1,1,1,,,,,,
U3J817,U3J817_ANAPL,3.0,1,1,1,,,,,,,
Q7KY01,Q7KY01_DROME,3.0,,,1,,,1,,,,1
Q7QGS8,Q7QGS8_ANOGA,3.0,,,1,,,1,,,,1
B2RXL4,B2RXL4_HUMAN,2.0,,,,,,,1,1,,
F1NLJ9,F1NLJ9_CHICK,2.0,,1,,1,,,,,,
G3S296,G3S296_GORGO,2.0,,1,,1,,,,,,
U3JKB2,U3JKB2_FICAL,2.0,,1,1,,,,,,,
G3SRW1,G3SRW1_LOXAF,2.0,,1,,1,,,,,,
G3WAI1,G3WAI1_SARHA,2.0,,1,,1,,,,,,
G3R8H6,G3R8H6_GORGO,2.0,,1,,1,,,,,,
F1N1C3,F1N1C3_BOVIN,2.0,,1,,1,,,,,,
G3WEC1,G3WEC1_SARHA,2.0,1,1,,,,,,,,
H0V512,H0V512_CAVPO,2.0,,1,,1,,,,,,
H0X014,H0X014_OTOGA,2.0,,1,,1,,,,,,
H0ZS25,H0ZS25_TAEGU,2.0,,1,,1,,,,,,
H2MJL7,H2MJL7_ORYLA,2.0,,1,,1,,,,,,
F1QDS6,F1QDS6_DANRE,2.0,,1,,1,,,,,,
G3QCG6,G3QCG6_GASAC,2.0,,1,,1,,,,,,
Q8NBQ7,AQP11_HUMAN,2.0,,1,,1,,,,,,
F6Q9F0,F6Q9F0_MACMU,2.0,,1,,1,,,,,,
F6Z1F2,F6Z1F2_XENTR,2.0,,1,,1,,,,,,
F6ZRR2,F6ZRR2_ORNAN,2.0,,1,,1,,,,,,
F6S3G9,F6S3G9_HORSE,2.0,,1,,1,,,,,,
F7E9A8,F7E9A8_MONDO,2.0,,1,,1,,,,,,
W5MEI3,W5MEI3_LEPOC,2.0,,1,1,,,,,,,
F7ELM9,F7ELM9_CALJA,2.0,,1,,1,,,,,,
W5L7I4,W5L7I4_ASTMX,2.0,,1,1,,,,,,,
F1STZ0,F1STZ0_PIG,2.0,,1,,1,,,,,,
G1LGC0,G1LGC0_AILME,2.0,,1,,1,,,,,,
G1MEH4,G1MEH4_AILME,2.0,,1,,1,,,,,,
G1NQT0,G1NQT0_MELGA,2.0,,1,,1,,,,,,
G1PED1,G1PED1_MYOLU,2.0,,1,,1,,,,,,
G1S435,G1S435_NOMLE,2.0,,1,,1,,,,,,
G1SJA6,G1SJA6_RABIT,2.0,,1,,1,,,,,,
H2NER5,H2NER5_PONAB,2.0,,1,,1,,,,,,
H0Z5Z3,H0Z5Z3_TAEGU,2.0,,1,,1,,,,,,
H2Q4G4,H2Q4G4_PANTR,2.0,,1,,1,,,,,,
M3XM38,M3XM38_MUSPF,2.0,,1,1,,,,,,,
B0WBF8,B0WBF8_CULQU,2.0,,,1,,,1,,,,
H2SZ41,H2SZ41_TAKRU,2.0,,1,,1,,,,,,
C9J6F6,C9J6F6_HUMAN,2.0,,1,,,,,1,,,
Q63ZK8,Q63ZK8_XENLA,2.0,1,,,,,,,1,,
M3WD92,M3WD92_FELCA,2.0,,1,1,,,,,,,
B4P4L3,B4P4L3_DROYA,2.0,,,1,,,1,,,,
B4N5N9,B4N5N9_DROWI,2.0,,,1,,,1,,,,
I3NEZ0,I3NEZ0_SPETR,2.0,,1,,1,,,,,,
B4LIX2,B4LIX2_DROVI,2.0,,,1,,,1,,,,
Q502T6,Q502T6_DANRE,2.0,,,,,,,1,1,,
Q4RL01,Q4RL01_TETNG,2.0,,,,,,1,,1,,
Q16GU8,Q16GU8_AEDAE,2.0,,,1,,,1,,,,
B4K0G6,B4K0G6_DROGR,2.0,,,1,,,1,,,,
Q3V2I1,Q3V2I1_MOUSE,2.0,1,,,,,,,1,,
K7FAJ5,K7FAJ5_PELSI,2.0,,1,,1,,,,,,
F6YKH5,F6YKH5_MACMU,2.0,,1,,1,,,,,,
Q7JL16,Q7JL16_CAEEL,2.0,,,,,,1,,,,1
Q8BHH1,AQP11_MOUSE,2.0,,1,,1,,,,,,
H2TKG1,H2TKG1_TAKRU,2.0,,1,,1,,,,,,
E2RFE7,E2RFE7_CANFA,2.0,,1,,1,,,,,,
H3ACF7,H3ACF7_LATCH,2.0,,1,,1,,,,,,
Q8CHM1,AQP11_RAT,2.0,,1,,1,,,,,,
I3J3X0,I3J3X0_ORENI,2.0,,,1,1,,,,,,
I3M3E7,I3M3E7_SPETR,2.0,,1,,1,,,,,,
F2Z3N0,F2Z3N0_HUMAN,1.0,,1,,,,,,,,
E9QJ28,E9QJ28_DANRE,1.0,,1,,,,,,,,
B3RR23,B3RR23_TRIAD,1.0,,,,,,1,,,,
A8WWJ2,A8WWJ2_CAEBR,1.0,,,,,,1,,,,
A0A087YDV3,A0A087YDV3_POEFO,1.0,,1,,,,,,,,
B3MDR4,B3MDR4_DROAN,1.0,,,,,,1,,,,
A7T0G8,A7T0G8_NEMVE,1.0,,,,,,,,,,1
B4KUE6,B4KUE6_DROMO,1.0,,,1,,,,,,,
A7SKN0,A7SKN0_NEMVE,1.0,,,,,,1,,,,
F1PXE0,F1PXE0_CANFA,1.0,,1,,,,,,,,
A9RDU1,A9RDU1_PHYPA,1.0,,,,,,,,,,1
D2HLD8,D2HLD8_AILME,1.0,,,,,,,1,,,
F1QWC9,F1QWC9_DANRE,1.0,,1,,,,,,,,
A0A087YHF4,A0A087YHF4_POEFO,1.0,,1,,,,,,,,
B7QNS5,B7QNS5_IXOSC,1.0,,,,,,1,,,,
A0A096MXY9,A0A096MXY9_PAPAN,1.0,,1,,,,,,,,
F6Q4J3,F6Q4J3_XENTR,1.0,,1,,,,,,,,
A0A096N2Z7,A0A096N2Z7_PAPAN,1.0,,1,,,,,,,,
W5PB81,W5PB81_SHEEP,1.0,,1,,,,,,,,
F7CU36,F7CU36_MONDO,1.0,,1,,,,,,,,
Q8IUS6,Q8IUS6_HUMAN,1.0,1,,,,,,,,,
M3ZEK3,M3ZEK3_XIPMA,1.0,,1,,,,,,,,
O46024,O46024_CAEEL,1.0,,,,,,1,,,,
Q290M0,Q290M0_DROPS,1.0,,,1,,,,,,,
Q41951,TIP21_ARATH,1.0,,,,,,,,,,1
Q4Q2F7,Q4Q2F7_LEIMA,1.0,,,,,,,,,,1
Q4Q537,Q4Q537_LEIMA,1.0,,,,,,,,,,1
Q6DGW2,Q6DGW2_DANRE,1.0,1,,,,,,,,,
S7NXR9,S7NXR9_MYOBR,1.0,1,,,,,,,,,
F7GFK9,F7GFK9_CALJA,1.0,,1,,,,,,,,
S9XC49,S9XC49_9CETA,1.0,1,,,,,,,,,
U3IGJ5,U3IGJ5_ANAPL,1.0,,1,,,,,,,,
U3JYS5,U3JYS5_FICAL,1.0,,1,,,,,,,,
W4XQ97,W4XQ97_STRPU,1.0,1,,,,,,,,,
W5KHK0,W5KHK0_ASTMX,1.0,,1,,,,,,,,
W5L2W3,W5L2W3_ASTMX,1.0,,1,,,,,,,,
W5MHP0,W5MHP0_LEPOC,1.0,,1,,,,,,,,
M3YWY2,M3YWY2_MUSPF,1.0,,1,,,,,,,,
M3XLJ2,M3XLJ2_LATCH,1.0,,1,,,,,,,,
M3XLI8,M3XLI8_LATCH,1.0,,1,,,,,,,,
M3W7R2,M3W7R2_FELCA,1.0,,1,,,,,,,,
G1RTL4,G1RTL4_NOMLE,1.0,,1,,,,,,,,
G1U8Y0,G1U8Y0_RABIT,1.0,,1,,,,,,,,
G3H4U0,G3H4U0_CRIGR,1.0,1,,,,,,,,,
G3RCA3,G3RCA3_GORGO,1.0,,1,,,,,,,,
G3RUR7,G3RUR7_GORGO,1.0,,1,,,,,,,,
G3TRH9,G3TRH9_LOXAF,1.0,,1,,,,,,,,
G3U6Y8,G3U6Y8_LOXAF,1.0,,1,,,,,,,,
W5PB79,W5PB79_SHEEP,1.0,,1,,,,,,,,
H2TKG2,H2TKG2_TAKRU,1.0,,1,,,,,,,,
H2UX74,H2UX74_TAKRU,1.0,,1,,,,,,,,
H2UX75,H2UX75_TAKRU,1.0,,1,,,,,,,,
H9GSN1,H9GSN1_ANOCA,1.0,,1,,,,,,,,
I3IYX6,I3IYX6_ORENI,1.0,,,,1,,,,,,
I3JT38,I3JT38_ORENI,1.0,,,,1,,,,,,
L5M4L9,L5M4L9_MYODS,1.0,1,,,,,,,,,
A0A087Y434,A0A087Y434_POEFO,1.0,,1,,,,,,,,
