,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000016256,CACSCHE,TF343327,EOG771263,NOG83563,NA,HBG081563,NA,Q3T8J9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3T8J9,GON4L_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q3T8J9,GON4L_HUMAN,7.0,,1,1,1,1,1,,1,,1
H9L0N1,H9L0N1_CHICK,4.0,,1,1,1,1,,,,,
F1MP31,F1MP31_BOVIN,4.0,,1,1,1,1,,,,,
K7FJ22,K7FJ22_PELSI,4.0,,1,1,1,1,,,,,
F7GXE8,F7GXE8_CALJA,4.0,,1,1,1,1,,,,,
H9G779,H9G779_ANOCA,4.0,,1,1,1,1,,,,,
F1QI87,F1QI87_DANRE,4.0,,1,1,1,1,,,,,
H2ZYA2,H2ZYA2_LATCH,4.0,,1,1,1,1,,,,,
G1KZJ4,G1KZJ4_AILME,4.0,,1,1,1,1,,,,,
F6QF38,F6QF38_MONDO,4.0,,1,1,1,1,,,,,
G1MQA2,G1MQA2_MELGA,4.0,,1,1,1,1,,,,,
G1PES6,G1PES6_MYOLU,4.0,,1,1,1,1,,,,,
G1SYT8,G1SYT8_RABIT,4.0,,1,1,1,1,,,,,
H2R3N1,H2R3N1_PANTR,4.0,,1,1,1,1,,,,,
H1A477,H1A477_TAEGU,4.0,,1,1,1,1,,,,,
H0WHB8,H0WHB8_OTOGA,4.0,,1,1,1,1,,,,,
H0V441,H0V441_CAVPO,4.0,,1,1,1,1,,,,,
F7DHH2,F7DHH2_HORSE,4.0,,1,1,1,1,,,,,
G3RV47,G3RV47_GORGO,4.0,,1,1,1,1,,,,,
F6QUE3,F6QUE3_MACMU,4.0,,1,1,1,1,,,,,
F6SYN8,F6SYN8_XENTR,4.0,,1,1,1,1,,,,,
G1RNL1,G1RNL1_NOMLE,3.0,,1,,1,1,,,,,
G3WEB8,G3WEB8_SARHA,3.0,,1,,1,1,,,,,
D3ZMG1,D3ZMG1_RAT,3.0,,1,1,,1,,,,,
H2N5G1,H2N5G1_PONAB,3.0,,1,,1,1,,,,,
H2N5G6,H2N5G6_PONAB,3.0,,1,,1,1,,,,,
G3RQ57,G3RQ57_GORGO,3.0,,1,,1,1,,,,,
Q535K8,GON4L_RAT,3.0,,,,,,1,,1,,1
I3L7L0,I3L7L0_PIG,3.0,,1,,1,1,,,,,
H2R4G1,H2R4G1_PANTR,3.0,,1,,1,1,,,,,
E2RT89,E2RT89_CANFA,3.0,,1,1,,1,,,,,
I3M4Q8,I3M4Q8_SPETR,3.0,,1,,1,1,,,,,
Q9H869,YYAP1_HUMAN,3.0,,1,,1,1,,,,,
G3WCU2,G3WCU2_SARHA,3.0,,1,,1,1,,,,,
F6RZS3,F6RZS3_CIOIN,3.0,,1,,1,1,,,,,
F1RLM0,F1RLM0_PIG,3.0,,1,,1,1,,,,,
K4DI71,K4DI71_MOUSE,3.0,,1,1,1,,,,,,
M3WGD9,M3WGD9_FELCA,3.0,,1,1,,1,,,,,
M3Y1N5,M3Y1N5_MUSPF,3.0,,1,1,,1,,,,,
G1TGJ1,G1TGJ1_RABIT,3.0,,1,,1,1,,,,,
G3RVP1,G3RVP1_GORGO,3.0,,1,,1,1,,,,,
G3N045,G3N045_BOVIN,3.0,,1,,1,1,,,,,
Q32NZ8,Q32NZ8_MOUSE,2.0,,,,,,1,,1,,
G3P7T1,G3P7T1_GASAC,2.0,,1,,1,,,,,,
W5LGH8,W5LGH8_ASTMX,2.0,,1,1,,,,,,,
