,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000005565,FLLHRMF,TF329731,EOG78WKSM,NOG42639,HOG000111601,HBG095689,NA,Q8TBZ9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A0JPP5,CG062_RAT,8.0,,1,1,1,1,1,1,1,,1
Q8TBZ9,CG062_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9D5W8,CG062_MOUSE,7.0,,1,1,1,1,1,1,1,,
D2I1M8,D2I1M8_AILME,5.0,,1,1,1,1,,1,,,
G1TVZ3,G1TVZ3_RABIT,4.0,,1,1,1,1,,,,,
F1MDK7,F1MDK7_BOVIN,4.0,,1,1,1,1,,,,,
H0WS31,H0WS31_OTOGA,4.0,,1,1,1,1,,,,,
H0VJS7,H0VJS7_CAVPO,4.0,,1,1,1,1,,,,,
G3WJT0,G3WJT0_SARHA,4.0,,1,1,1,1,,,,,
G3UAC6,G3UAC6_LOXAF,4.0,,1,1,1,1,,,,,
G3RY79,G3RY79_GORGO,4.0,,1,1,1,1,,,,,
G1P7S8,G1P7S8_MYOLU,4.0,,1,1,1,1,,,,,
G1RYP0,G1RYP0_NOMLE,4.0,,1,1,1,1,,,,,
H2QUW2,H2QUW2_PANTR,4.0,,1,1,1,1,,,,,
G1KU88,G1KU88_ANOCA,4.0,,1,1,1,1,,,,,
F7ITA4,F7ITA4_CALJA,4.0,,1,1,1,1,,,,,
F7CU28,F7CU28_HORSE,4.0,,1,1,1,1,,,,,
F7AV76,F7AV76_MONDO,4.0,,1,1,1,1,,,,,
F6SFT9,F6SFT9_CIOIN,4.0,,1,1,1,1,,,,,
F6PTB2,F6PTB2_ORNAN,4.0,,1,1,1,1,,,,,
H2PMZ2,H2PMZ2_PONAB,4.0,,1,1,1,1,,,,,
H2YYH2,H2YYH2_CIOSA,4.0,,1,1,1,1,,,,,
E2RHZ6,E2RHZ6_CANFA,4.0,,1,1,1,1,,,,,
I3MEW4,I3MEW4_SPETR,4.0,,1,1,1,1,,,,,
I3LQQ3,I3LQQ3_PIG,4.0,,1,1,1,1,,,,,
F6QX00,F6QX00_MACMU,4.0,,1,1,1,1,,,,,
E7F593,E7F593_DANRE,3.0,,1,,1,1,,,,,
H0W1N5,H0W1N5_CAVPO,3.0,,1,,1,1,,,,,
G3NJ57,G3NJ57_GASAC,3.0,,1,,1,1,,,,,
C3YWN6,C3YWN6_BRAFL,3.0,,,1,,,1,,,,1
M3WXA9,M3WXA9_FELCA,3.0,,1,1,,1,,,,,
H3B4T7,H3B4T7_LATCH,3.0,,1,,1,1,,,,,
G1N3K2,G1N3K2_MELGA,3.0,,1,,1,1,,,,,
M3Z3W6,M3Z3W6_MUSPF,3.0,,1,1,,1,,,,,
F1NC21,F1NC21_CHICK,3.0,,1,,1,1,,,,,
Q0II67,Q0II67_BOVIN,3.0,,,,,,1,1,1,,
F6XLG2,F6XLG2_XENTR,3.0,,1,,1,1,,,,,
F6T3J0,F6T3J0_XENTR,3.0,,1,,1,1,,,,,
M3XKE3,M3XKE3_LATCH,3.0,,1,1,,1,,,,,
B3RN51,B3RN51_TRIAD,2.0,,,,,1,1,,,,
B3RN50,B3RN50_TRIAD,2.0,,,,,1,1,,,,
A7SE97,A7SE97_NEMVE,2.0,,,,,1,1,,,,
W5PFA6,W5PFA6_SHEEP,2.0,,1,1,,,,,,,
H9GTD0,H9GTD0_ANOCA,2.0,,1,,,1,,,,,
I3KP64,I3KP64_ORENI,2.0,,,,1,1,,,,,
M4AK61,M4AK61_XIPMA,2.0,,1,,,1,,,,,
F4P3K8,F4P3K8_BATDJ,1.0,,,1,,,,,,,
F7EVA6,F7EVA6_XENTR,1.0,,1,,,,,,,,
W5N6J0,W5N6J0_LEPOC,1.0,,1,,,,,,,,
H9GLH0,H9GLH0_ANOCA,1.0,,,,,1,,,,,
K7F036,K7F036_PELSI,1.0,,,,,1,,,,,
V4B9B4,V4B9B4_LOTGI,1.0,,,1,,,,,,,
W4Z9E3,W4Z9E3_STRPU,1.0,,,1,,,,,,,
A2DZ28,A2DZ28_TRIVA,1.0,,,,,,,,,,1
W5N6I6,W5N6I6_LEPOC,1.0,,1,,,,,,,,
A0A096N369,A0A096N369_PAPAN,1.0,,1,,,,,,,,
A0A096MIK6,A0A096MIK6_POEFO,1.0,,1,,,,,,,,
A0A096M7C0,A0A096M7C0_POEFO,1.0,,1,,,,,,,,
A0A096LWH7,A0A096LWH7_POEFO,1.0,,1,,,,,,,,
