,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000011766,NTTQRSY,TF323560,EOG7VTDPG,NOG261106,HOG000145514,HBG093689,NA,Q9H6X4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9H6X4,TM134_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9H6X4,TM134_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q7T382,Q7T382_DANRE,7.0,,1,1,1,1,,1,1,,1
Q05B54,TM134_BOVIN,7.0,,1,1,1,1,1,1,1,,
G1L263,G1L263_AILME,4.0,,1,1,1,1,,,,,
H0XK66,H0XK66_OTOGA,4.0,,1,1,1,1,,,,,
I3MQ86,I3MQ86_SPETR,4.0,,1,1,1,1,,,,,
D3ZF56,D3ZF56_RAT,4.0,,1,1,1,1,,,,,
H2SCB0,H2SCB0_TAKRU,4.0,,1,1,1,1,,,,,
H2Q489,H2Q489_PANTR,4.0,,1,1,1,1,,,,,
H2NFZ3,H2NFZ3_PONAB,4.0,,1,1,1,1,,,,,
H2LN01,H2LN01_ORYLA,4.0,,1,1,1,1,,,,,
H0WA41,H0WA41_CAVPO,4.0,,1,1,1,1,,,,,
F6WJI3,F6WJI3_MONDO,4.0,,1,1,1,1,,,,,
F6XGX3,F6XGX3_HORSE,4.0,,1,1,1,1,,,,,
Q8R0J4,TM134_MOUSE,4.0,,,,,,1,1,1,,1
Q8R0J4,TM134_MOUSE,4.0,,,,,,1,1,1,,1
F6YEZ0,F6YEZ0_CALJA,4.0,,1,1,1,1,,,,,
F1RUZ5,F1RUZ5_PIG,4.0,,1,1,1,1,,,,,
H3DQV6,H3DQV6_TETNG,3.0,,1,,1,1,,,,,
H3A1I4,H3A1I4_LATCH,3.0,,1,,1,1,,,,,
F7FYP9,F7FYP9_MACMU,3.0,,1,,1,1,,,,,
B8JIT2,B8JIT2_DANRE,3.0,,1,,,,1,,1,,
E2R1M8,E2R1M8_CANFA,3.0,,1,,1,1,,,,,
G1P427,G1P427_MYOLU,3.0,,1,,1,1,,,,,
M3XXW0,M3XXW0_MUSPF,3.0,,1,1,,1,,,,,
Q9W073,Q9W073_DROME,3.0,,1,,,1,1,,,,
D4A3S9,D4A3S9_RAT,2.0,,1,,,,,,,,1
B7PJZ4,B7PJZ4_IXOSC,2.0,,,,,1,1,,,,
B4PDV7,B4PDV7_DROYA,2.0,,,,,1,1,,,,
B4N4H3,B4N4H3_DROWI,2.0,,,,,1,1,,,,
B4LDE6,B4LDE6_DROVI,2.0,,,,,1,1,,,,
B4IZY1,B4IZY1_DROGR,2.0,,,,,1,1,,,,
B4DLG6,B4DLG6_HUMAN,2.0,,,,,,,1,1,,
B3M789,B3M789_DROAN,2.0,,,,,1,1,,,,
B0WLV3,B0WLV3_CULQU,2.0,,,,,1,1,,,,
W5PS06,W5PS06_SHEEP,2.0,,1,1,,,,,,,
G1R3Q2,G1R3Q2_NOMLE,2.0,,1,,,1,,,,,
Q16NS2,Q16NS2_AEDAE,2.0,,,,,1,1,,,,
I3KBB4,I3KBB4_ORENI,2.0,,,,1,1,,,,,
G3Q1V5,G3Q1V5_GASAC,2.0,,1,,,1,,,,,
M4A647,M4A647_XIPMA,2.0,,1,,,1,,,,,
M3X9L8,M3X9L8_FELCA,2.0,,1,,,1,,,,,
Q7JNC1,Q7JNC1_CAEEL,2.0,,,,,1,1,,,,
Q7QIK9,Q7QIK9_ANOGA,2.0,,,,,1,1,,,,
G3UJT1,G3UJT1_LOXAF,2.0,,1,,,1,,,,,
G3Q1V7,G3Q1V7_GASAC,2.0,,1,,1,,,,,,
A8XXX7,A8XXX7_CAEBR,1.0,,,,,1,,,,,
S4RFH0,S4RFH0_PETMA,1.0,,1,,,,,,,,
A0A096MM70,A0A096MM70_PAPAN,1.0,,1,,,,,,,,
B4L9P0,B4L9P0_DROMO,1.0,,,,,1,,,,,
B3NEX0,B3NEX0_DROER,1.0,,,,,1,,,,,
B4E0E3,B4E0E3_HUMAN,1.0,,1,,,,,,,,
A0A087XPF7,A0A087XPF7_POEFO,1.0,,1,,,,,,,,
B4GS31,B4GS31_DROPE,1.0,,,,,1,,,,,
A0A087X042,A0A087X042_HUMAN,1.0,,1,,,,,,,,
B4HW20,B4HW20_DROSE,1.0,,,,,1,,,,,
Q6ZQL6,Q6ZQL6_MOUSE,1.0,,,,,,,,1,,
W5MIZ7,W5MIZ7_LEPOC,1.0,,1,,,,,,,,
Q4RBC2,Q4RBC2_TETNG,1.0,,,,,,1,,,,
Q2M060,Q2M060_DROPS,1.0,,,,,1,,,,,
B4QMZ8,B4QMZ8_DROSI,1.0,,,,,1,,,,,
C3XVW7,C3XVW7_BRAFL,1.0,,,,,,1,,,,
D2A630,D2A630_TRICA,1.0,,,,,1,,,,,
D2HGQ6,D2HGQ6_AILME,1.0,,,,,,,1,,,
J9K1Z2,J9K1Z2_ACYPI,1.0,,,,,1,,,,,
H9JU70,H9JU70_BOMMO,1.0,,,,,1,,,,,
H3A1I5,H3A1I5_LATCH,1.0,,1,,,,,,,,
G3V1M5,G3V1M5_HUMAN,1.0,,1,,,,,,,,
F6YF44,F6YF44_CALJA,1.0,,1,,,,,,,,
F7CKI5,F7CKI5_MACMU,1.0,,1,,,,,,,,
A0A087WY65,A0A087WY65_HUMAN,1.0,,1,,,,,,,,
