,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,TF354205,NA,COG5064,HOG000167616,HBG001846,NA,O15131
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
O15131,IMA6_HUMAN,5.0,,,,1,,1,1,1,,1
Q56R16,IMA6_RAT,5.0,,,,1,,1,1,1,,1
O15131,IMA6_HUMAN,5.0,,,,1,,1,1,1,,1
A2VE08,IMA5_BOVIN,4.0,,,,1,,1,1,1,,
Q503E9,IMA6_DANRE,4.0,,,,1,,1,1,,,1
O35345,IMA7_MOUSE,4.0,,,,1,,1,1,1,,
Q5ZJZ0,Q5ZJZ0_CHICK,4.0,,,,1,,1,1,1,,
Q60960,IMA5_MOUSE,4.0,,,,1,,1,1,1,,
P52294,IMA5_HUMAN,4.0,,,,1,,1,1,1,,
Q5ZML1,IMA5_CHICK,4.0,,,,1,,1,1,1,,
O35344,IMA4_MOUSE,3.0,,,,,,1,1,1,,
Q6P6T9,Q6P6T9_RAT,3.0,,,,,,1,1,1,,
Q6TNT4,Q6TNT4_DANRE,3.0,,,,,,1,1,1,,
O04294,IMPA3_ARATH,3.0,,,,,,1,1,,,1
Q7Q7B4,Q7Q7B4_ANOGA,3.0,,,,,,1,1,,,1
O00629,IMA3_HUMAN,3.0,,,,,,1,1,1,,
O00505,IMA4_HUMAN,3.0,,,,,,1,1,1,,
O60684,IMA7_HUMAN,3.0,,,,1,,1,,1,,
Q6P4X0,Q6P4X0_XENTR,3.0,,,,,,1,1,1,,
Q6PUQ6,Q6PUQ6_DANRE,3.0,,,,,,1,1,1,,
Q642T8,Q642T8_XENTR,3.0,,,,,,1,1,1,,
Q5ZLF7,Q5ZLF7_CHICK,3.0,,,,,,1,1,1,,
Q5ZMA9,Q5ZMA9_CHICK,3.0,,,,,,1,1,1,,
O94374,IMA2_SCHPO,3.0,,,,,,1,1,,,1
P52292,IMA1_HUMAN,3.0,,,,,,1,1,1,,
P52293,IMA1_MOUSE,3.0,,,,,,1,1,1,,
