,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063398,WAPPEGE,NA,EOG7GN2R1,NOG236987,HOG000234513,HBG054361,NA,Q9P298
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9P298,HIG1B_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q9P298,HIG1B_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q99JY6,HIG1B_MOUSE,7.0,,1,1,,1,1,1,1,,1
Q99JY6,HIG1B_MOUSE,7.0,,1,1,,1,1,1,1,,1
A0JNP7,A0JNP7_BOVIN,6.0,,1,1,,1,1,1,1,,
Q5M8D7,Q5M8D7_XENTR,4.0,,1,,,1,,1,1,,
Q8VH49,HIG1A_RAT,4.0,,1,,,1,,1,1,,
Q5XH86,Q5XH86_XENTR,4.0,,1,,,1,,1,1,,
Q5ZJI8,Q5ZJI8_CHICK,4.0,,1,,,1,,1,1,,
Q9JLR9,HIG1A_MOUSE,4.0,,1,,,1,,1,1,,
A8MV81,HIG1C_HUMAN,4.0,,1,,,1,,1,1,,
Q1LZ70,Q1LZ70_BOVIN,4.0,,1,,,1,,1,1,,
D3Z9L2,D3Z9L2_RAT,4.0,,1,1,,1,,,,,1
Q7ZZZ4,Q7ZZZ4_DANRE,4.0,,1,,,1,,1,1,,
D3Z9L2,D3Z9L2_RAT,4.0,,1,1,,1,,,,,1
Q5NVQ1,HIG1A_PONAB,3.0,,1,,,1,,,1,,
H2NTT0,H2NTT0_PONAB,3.0,,1,1,,1,,,,,
F6VHZ9,F6VHZ9_HORSE,3.0,,1,1,,1,,,,,
G1QZE2,G1QZE2_NOMLE,3.0,,1,1,,1,,,,,
E2RMG9,E2RMG9_CANFA,3.0,,1,1,,1,,,,,
G9K4B8,G9K4B8_MUSPF,3.0,,1,1,,1,,,,,
Q7JW46,Q7JW46_DROME,3.0,,1,,,1,,,,,1
Q4W7H2,Q4W7H2_TAKRU,3.0,,1,,,1,,1,,,
Q4VC39,HIG2B_HUMAN,3.0,,,,,1,,1,1,,
H0X800,H0X800_OTOGA,3.0,,1,1,,1,,,,,
G3RB34,G3RB34_GORGO,3.0,,1,1,,1,,,,,
M3W440,M3W440_FELCA,3.0,,1,1,,1,,,,,
H0VZH4,H0VZH4_CAVPO,3.0,,1,1,,1,,,,,
G3TEY1,G3TEY1_LOXAF,3.0,,1,1,,1,,,,,
F1RQZ8,F1RQZ8_PIG,3.0,,1,1,,1,,,,,
Q05AT5,Q05AT5_BOVIN,3.0,,,,,1,,1,1,,
Q76I25,HIG1C_MOUSE,3.0,,1,,,,,1,1,,
