,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000013180,CSMKHKE,TF331644,EOG761BV6,NOG43183,HOG000294171,HBG108108,NA,Q86TE4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8BGY3,LUZP2_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q86TE4,LUZP2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q86TE4,LUZP2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A5D8S1,LUZP2_DANRE,7.0,,1,,1,1,1,1,1,,1
A5D8S1,LUZP2_DANRE,7.0,,1,,1,1,1,1,1,,1
A6QPW2,A6QPW2_BOVIN,6.0,,1,,1,1,1,1,1,,
H0WQF3,H0WQF3_OTOGA,4.0,,1,1,1,1,,,,,
F6TUI1,F6TUI1_MACMU,4.0,,1,1,1,1,,,,,
G1S831,G1S831_NOMLE,4.0,,1,1,1,1,,,,,
G3SKL6,G3SKL6_GORGO,4.0,,1,1,1,1,,,,,
H0VBX2,H0VBX2_CAVPO,4.0,,1,1,1,1,,,,,
H2Q3B4,H2Q3B4_PANTR,4.0,,1,1,1,1,,,,,
I3MLX3,I3MLX3_SPETR,4.0,,1,1,1,1,,,,,
F7GM22,F7GM22_CALJA,4.0,,1,1,1,1,,,,,
K7E259,K7E259_MONDO,3.0,,1,,1,1,,,,,
G1TJL8,G1TJL8_RABIT,3.0,,1,,1,1,,,,,
H2NDV6,H2NDV6_PONAB,3.0,,1,,1,1,,,,,
G3WY98,G3WY98_SARHA,3.0,,1,,1,1,,,,,
G3UUY9,G3UUY9_MELGA,3.0,,1,,1,1,,,,,
F6YMV3,F6YMV3_ORNAN,3.0,,1,,1,1,,,,,
K7F7F8,K7F7F8_PELSI,3.0,,1,,1,1,,,,,
E2RPN1,E2RPN1_CANFA,3.0,,1,,1,1,,,,,
M3WNF8,M3WNF8_FELCA,3.0,,1,1,,1,,,,,
F1SFZ4,F1SFZ4_PIG,3.0,,1,,1,1,,,,,
G1P8H4,G1P8H4_MYOLU,3.0,,1,1,1,,,,,,
F1P144,F1P144_CHICK,3.0,,1,,1,1,,,,,
G1MT18,G1MT18_MELGA,3.0,,1,,1,1,,,,,
G1QDK9,G1QDK9_MYOLU,2.0,,1,,,1,,,,,
G3PYG9,G3PYG9_GASAC,2.0,,1,,,1,,,,,
G3TI52,G3TI52_LOXAF,2.0,,1,,,1,,,,,
F6Z0W5,F6Z0W5_ORNAN,2.0,,1,,,1,,,,,
H0Z2G9,H0Z2G9_TAEGU,2.0,,1,,,1,,,,,
H2NDV7,H2NDV7_PONAB,2.0,,1,1,,,,,,,
Q5R8Y4,LUZP2_PONAB,2.0,,,,,,,1,1,,
H2UY05,H2UY05_TAKRU,2.0,,1,,,1,,,,,
F6UCD2,F6UCD2_HORSE,2.0,,1,,,1,,,,,
F1M2V4,F1M2V4_RAT,2.0,,1,,,1,,,,,
H9GN35,H9GN35_ANOCA,2.0,,1,,,1,,,,,
M4AB98,M4AB98_XIPMA,2.0,,1,,,1,,,,,
E1BVD3,E1BVD3_CHICK,2.0,,1,,,,,,,,1
M3YRP8,M3YRP8_MUSPF,2.0,,1,,,1,,,,,
H3B939,H3B939_LATCH,2.0,,1,,,1,,,,,
M0RBY3,M0RBY3_RAT,2.0,,1,,,1,,,,,
M3YI30,M3YI30_MUSPF,2.0,,1,,,1,,,,,
A0A087XFI5,A0A087XFI5_POEFO,1.0,,1,,,,,,,,
E9PP05,E9PP05_HUMAN,1.0,,1,,,,,,,,
F7IH63,F7IH63_CALJA,1.0,,1,,,,,,,,
A0A096M9C9,A0A096M9C9_POEFO,1.0,,1,,,,,,,,
A7SCZ6,A7SCZ6_NEMVE,1.0,,,,,1,,,,,
A0A096MEE2,A0A096MEE2_POEFO,1.0,,1,,,,,,,,
F6WKJ4,F6WKJ4_CIOIN,1.0,,,,1,,,,,,
A0A096MM36,A0A096MM36_PAPAN,1.0,,1,,,,,,,,
W5PC58,W5PC58_SHEEP,1.0,,1,,,,,,,,
G1MT14,G1MT14_MELGA,1.0,,1,,,,,,,,
Q6CE46,Q6CE46_YARLI,1.0,,,,,,,,,,1
W5LQH6,W5LQH6_ASTMX,1.0,,1,,,,,,,,
W5K675,W5K675_ASTMX,1.0,,1,,,,,,,,
U3JEA2,U3JEA2_FICAL,1.0,,1,,,,,,,,
U3I972,U3I972_ANAPL,1.0,,1,,,,,,,,
U3I971,U3I971_ANAPL,1.0,,1,,,,,,,,
R4G9N9,R4G9N9_ANOCA,1.0,,1,,,,,,,,
Q7UZE1,Q7UZE1_RHOBA,1.0,,,,,,,,,,1
Q7K4K7,Q7K4K7_DROME,1.0,,,,,,,,,,1
Q3URD3,SLMAP_MOUSE,1.0,,,,,,,,,,1
G1MV75,G1MV75_MELGA,1.0,,1,,,,,,,,
Q3URD3,SLMAP_MOUSE,1.0,,,,,,,,,,1
P90901,IFA1_CAEEL,1.0,,,,,,,,,,1
P90901,IFA1_CAEEL,1.0,,,,,,,,,,1
M3ZCR6,M3ZCR6_XIPMA,1.0,,1,,,,,,,,
I3NDS9,I3NDS9_SPETR,1.0,,1,,,,,,,,
H3B940,H3B940_LATCH,1.0,,1,,,,,,,,
W5MHN0,W5MHN0_LEPOC,1.0,,1,,,,,,,,
G3PYH0,G3PYH0_GASAC,1.0,,1,,,,,,,,
A0A087X391,A0A087X391_POEFO,1.0,,1,,,,,,,,
