,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K13180,ENSGT00390000016655,IGRSYCV,TF323386,EOG7ZGX2C,NOG276796,HOG000015308,HBG081468,NA,Q5JSJ4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8BND4,DX26B_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q5JSJ4,DX26B_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9UL03,INT6_HUMAN,6.0,,1,,1,1,1,1,1,,
Q6PCM2,INT6_MOUSE,6.0,,1,,1,1,1,1,1,,
B1WAU4,B1WAU4_XENTR,6.0,,1,,1,1,1,1,1,,
F7IT20,F7IT20_CALJA,5.0,1,1,1,1,1,,,,,
H2PWV8,H2PWV8_PONAB,5.0,1,1,1,1,1,,,,,
F7F5Q2,F7F5Q2_MACMU,5.0,1,1,1,1,1,,,,,
B0UYL7,B0UYL7_DANRE,5.0,,1,,,1,1,1,1,,
H2R4J0,H2R4J0_PANTR,5.0,1,1,1,1,1,,,,,
H9GJ89,H9GJ89_ANOCA,5.0,1,1,1,1,1,,,,,
A7SQG0,A7SQG0_NEMVE,4.0,,,,,1,1,1,,,1
G3REM3,G3REM3_GORGO,4.0,,1,1,1,1,,,,,
H0YXH7,H0YXH7_TAEGU,4.0,,1,1,1,1,,,,,
H0XGB2,H0XGB2_OTOGA,4.0,,1,1,1,1,,,,,
G1P3N9,G1P3N9_MYOLU,4.0,,1,1,1,1,,,,,
H0VQ19,H0VQ19_CAVPO,4.0,,1,1,1,1,,,,,
Q7SYD9,INT6_DANRE,4.0,,,,,,1,1,1,,1
E1BZM3,E1BZM3_CHICK,4.0,,1,1,1,1,,,,,
D2H7G3,D2H7G3_AILME,4.0,,1,,1,1,,1,,,
G1MWI4,G1MWI4_MELGA,4.0,,1,1,1,1,,,,,
H3BBH2,H3BBH2_LATCH,4.0,,1,1,1,1,,,,,
F7CQ38,F7CQ38_HORSE,4.0,,1,1,1,1,,,,,
D2I5T0,D2I5T0_AILME,4.0,1,1,,,1,,1,,,
E1BV07,E1BV07_CHICK,3.0,,1,,1,1,,,,,
B7WN63,B7WN63_CAEEL,3.0,,1,,,1,1,,,,
H0WSV2,H0WSV2_OTOGA,3.0,,1,,1,1,,,,,
H3C3K6,H3C3K6_TETNG,3.0,,1,,1,1,,,,,
H0ZPC6,H0ZPC6_TAEGU,3.0,,1,,1,1,,,,,
H3A3B8,H3A3B8_LATCH,3.0,,1,,1,1,,,,,
H2UAA4,H2UAA4_TAKRU,3.0,,1,,1,1,,,,,
H0ZZG0,H0ZZG0_TAEGU,3.0,,1,,1,1,,,,,
E1BF57,E1BF57_BOVIN,3.0,,1,,1,1,,,,,
E1BG98,E1BG98_BOVIN,3.0,,1,,1,1,,,,,
H2M2A2,H2M2A2_ORYLA,3.0,,1,,1,1,,,,,
H2M2S2,H2M2S2_ORYLA,3.0,,1,,1,1,,,,,
H2NJX9,H2NJX9_PONAB,3.0,,1,,1,1,,,,,
H2PFE6,H2PFE6_PONAB,3.0,,1,,1,1,,,,,
H2QZ59,H2QZ59_PANTR,3.0,,1,,1,1,,,,,
H2Q7L2,H2Q7L2_PANTR,3.0,,1,,1,1,,,,,
H2PWW2,H2PWW2_PONAB,3.0,,1,,1,1,,,,,
H0UT48,H0UT48_CAVPO,3.0,,1,,1,1,,,,,
G3U4J0,G3U4J0_LOXAF,3.0,,1,,1,1,,,,,
G3Q416,G3Q416_GASAC,3.0,,1,,1,1,,,,,
G3WN29,G3WN29_SARHA,3.0,,1,,1,1,,,,,
G3VVI6,G3VVI6_SARHA,3.0,,1,,1,1,,,,,
F7ATY0,F7ATY0_ORNAN,3.0,,1,,1,1,,,,,
F7BN29,F7BN29_HORSE,3.0,,1,,1,1,,,,,
F7CES1,F7CES1_MONDO,3.0,,1,,1,1,,,,,
F7D4H4,F7D4H4_MONDO,3.0,,1,,1,1,,,,,
F7D5W5,F7D5W5_XENTR,3.0,,1,,1,1,,,,,
F6XNW6,F6XNW6_CANFA,3.0,,1,1,1,,,,,,
F6W6J4,F6W6J4_ORNAN,3.0,,1,,1,1,,,,,
F6UQJ9,F6UQJ9_CIOIN,3.0,,1,,1,1,,,,,
F7HJ64,F7HJ64_MACMU,3.0,,1,,1,1,,,,,
F1RTC4,F1RTC4_PIG,3.0,,1,1,1,,,,,,
G1MBI9,G1MBI9_AILME,3.0,,1,1,1,,,,,,
G1NQ69,G1NQ69_MELGA,3.0,,1,,1,1,,,,,
G1NU98,G1NU98_MYOLU,3.0,,1,,1,1,,,,,
G1QP04,G1QP04_NOMLE,3.0,,1,,1,1,,,,,
G1QP87,G1QP87_NOMLE,3.0,,1,,1,1,,,,,
F1RK31,F1RK31_PIG,3.0,,1,,1,1,,,,,
G1QUU6,G1QUU6_NOMLE,3.0,,1,,1,1,,,,,
G1SE93,G1SE93_RABIT,3.0,,1,,1,1,,,,,
G1T6T4,G1T6T4_RABIT,3.0,,1,,1,1,,,,,
G3N4V2,G3N4V2_GASAC,3.0,,1,,1,1,,,,,
G3QFT2,G3QFT2_GORGO,3.0,,1,,1,1,,,,,
G3RSJ3,G3RSJ3_GORGO,3.0,,1,,1,1,,,,,
G3U237,G3U237_LOXAF,3.0,,1,1,1,,,,,,
H3DE41,H3DE41_TETNG,3.0,,1,,1,1,,,,,
H2ZH20,H2ZH20_CIOSA,3.0,,1,,1,1,,,,,
M3YMJ8,M3YMJ8_MUSPF,3.0,,1,1,,1,,,,,
I3M0L1,I3M0L1_SPETR,3.0,,1,,1,1,,,,,
A0NCR3,A0NCR3_ANOGA,3.0,,,,,1,1,,,,1
Q6TXH5,Q6TXH5_RAT,3.0,,1,,,1,1,,,,
M3X605,M3X605_FELCA,3.0,1,1,,,1,,,,,
M3VTY0,M3VTY0_FELCA,3.0,,1,1,,1,,,,,
B3KQH5,B3KQH5_HUMAN,3.0,,1,,,,,1,1,,
K7GS71,K7GS71_PIG,3.0,1,1,,,1,,,,,
B3S5H0,B3S5H0_TRIAD,3.0,,,,,1,1,1,,,
K7FQX3,K7FQX3_PELSI,3.0,,1,,1,1,,,,,
K7F6F6,K7F6F6_PELSI,3.0,,1,,1,1,,,,,
I3MXC2,I3MXC2_SPETR,3.0,,1,,1,1,,,,,
I3MKA1,I3MKA1_SPETR,3.0,,1,,1,1,,,,,
F6XPX4,F6XPX4_MACMU,3.0,,1,,1,1,,,,,
G3STF9,G3STF9_LOXAF,2.0,,1,,,1,,,,,
F1PKG5,F1PKG5_CANFA,2.0,,1,,,1,,,,,
G3N3T0,G3N3T0_BOVIN,2.0,,1,,,1,,,,,
Q3UJ22,Q3UJ22_MOUSE,2.0,,,,,1,1,,,,
Q17MD4,Q17MD4_AEDAE,2.0,,,,,1,1,,,,
F1Q5E4,F1Q5E4_DANRE,2.0,,1,,1,,,,,,
M4ASI9,M4ASI9_XIPMA,2.0,,1,,,1,,,,,
M3ZFP8,M3ZFP8_XIPMA,2.0,,1,,,1,,,,,
F1PKG3,F1PKG3_CANFA,2.0,,1,,1,,,,,,
B0WT00,B0WT00_CULQU,2.0,,,,,1,1,,,,
E9QFC2,E9QFC2_DANRE,2.0,,1,,,1,,,,,
M3Z2T3,M3Z2T3_MUSPF,2.0,,1,,,1,,,,,
W5PQ32,W5PQ32_SHEEP,2.0,1,1,,,,,,,,
E2RLI7,E2RLI7_CANFA,2.0,,1,,,1,,,,,
H9KWU3,H9KWU3_CALJA,2.0,,1,,,1,,,,,
