,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000002170,FVLRLEF,TF323824,EOG7SV0XB,NOG247493,HOG000076881,HBG059533,NA,Q9P0N5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9P0N5,TM216_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9P0N5,TM216_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q2TA01,TM216_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q9CQC4,TM216_MOUSE,6.0,,1,1,,1,1,,1,,1
Q9CQC4,TM216_MOUSE,6.0,,1,1,,1,1,,1,,1
B6ID01,TM216_RAT,5.0,,,,,1,1,1,1,,1
B6ID01,TM216_RAT,5.0,,,,,1,1,1,1,,1
H2M7P7,H2M7P7_ORYLA,4.0,,1,1,1,1,,,,,
B7QIP3,B7QIP3_IXOSC,4.0,,,1,,1,1,,,,1
G3WEV7,G3WEV7_SARHA,4.0,,1,1,1,1,,,,,
K7G9B3,K7G9B3_PELSI,4.0,,1,1,1,1,,,,,
Q7PS73,Q7PS73_ANOGA,4.0,,,1,,1,1,,,,1
G1QQ30,G1QQ30_NOMLE,4.0,,1,1,1,1,,,,,
G1PME9,G1PME9_MYOLU,4.0,,1,1,1,1,,,,,
Q96HE8,TMM80_HUMAN,4.0,,1,,1,1,,,1,,
Q9D3H0,TMM80_MOUSE,4.0,,1,,1,1,,,1,,
F6SKU5,F6SKU5_HORSE,4.0,,1,1,1,1,,,,,
E7EYQ9,TM216_DANRE,4.0,,1,1,1,1,,,,,
A1A4P6,TMM80_BOVIN,4.0,,1,,1,1,,,1,,
F1RKQ7,F1RKQ7_PIG,4.0,,1,1,1,1,,,,,
F1Q0Z3,F1Q0Z3_CANFA,4.0,,1,1,1,1,,,,,
F7CLR6,F7CLR6_XENTR,4.0,,1,1,1,1,,,,,
H2Z014,H2Z014_CIOSA,4.0,,1,1,1,1,,,,,
H2XWL2,H2XWL2_CIOIN,4.0,,1,1,1,1,,,,,
H0XEQ3,H0XEQ3_OTOGA,4.0,,1,1,1,1,,,,,
I3NH65,I3NH65_SPETR,4.0,,1,1,1,1,,,,,
A7SXC1,A7SXC1_NEMVE,4.0,,,1,,1,1,,,,1
H2RCE3,H2RCE3_PANTR,4.0,,1,1,1,1,,,,,
H2NCB4,H2NCB4_PONAB,3.0,,1,,1,1,,,,,
H0ZA15,H0ZA15_TAEGU,3.0,,1,,1,1,,,,,
F1RYY4,F1RYY4_PIG,3.0,,1,,1,1,,,,,
B4LZG3,B4LZG3_DROVI,3.0,,,1,,1,1,,,,
B4NB05,B4NB05_DROWI,3.0,,,1,,1,1,,,,
H3B2E2,H3B2E2_LATCH,3.0,,1,,1,1,,,,,
H0ZZ19,H0ZZ19_TAEGU,3.0,,1,,1,1,,,,,
H2Q2V6,H2Q2V6_PANTR,3.0,,1,,1,1,,,,,
G3PVG0,G3PVG0_GASAC,3.0,,1,1,1,,,,,,
H0XD67,H0XD67_OTOGA,3.0,,1,,1,1,,,,,
H0WAW5,H0WAW5_CAVPO,3.0,,1,,1,1,,,,,
G3U8S2,G3U8S2_LOXAF,3.0,,1,,1,1,,,,,
I3J983,I3J983_ORENI,3.0,,,1,1,1,,,,,
G1N051,G1N051_MELGA,3.0,,1,,1,1,,,,,
G1MXG2,G1MXG2_MELGA,3.0,,1,,1,1,,,,,
G1MDU4,G1MDU4_AILME,3.0,,1,,1,1,,,,,
G1LVY6,G1LVY6_AILME,3.0,,1,,1,1,,,,,
G1KQQ5,G1KQQ5_ANOCA,3.0,,1,,1,1,,,,,
F7FJZ5,F7FJZ5_MONDO,3.0,,1,,1,1,,,,,
F7FJZ3,F7FJZ3_MONDO,3.0,,1,,1,1,,,,,
F7D552,F7D552_MACMU,3.0,,1,,1,1,,,,,
F7AKB6,F7AKB6_HORSE,3.0,,1,,1,1,,,,,
B4JHZ8,B4JHZ8_DROGR,3.0,,,1,,1,1,,,,
G3S966,G3S966_GORGO,3.0,,1,,1,1,,,,,
M4APY3,M4APY3_XIPMA,3.0,,1,1,,1,,,,,
Q17AP6,Q17AP6_AEDAE,3.0,,,1,,1,1,,,,
M3YRV2,M3YRV2_MUSPF,3.0,,1,1,,1,,,,,
M3WGL0,M3WGL0_FELCA,3.0,,1,1,,1,,,,,
