,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17656,ENSGT00390000014824,AMTTLWA,TF330829,NA,NOG45164,HOG000155788,HBG055520,NA,Q4VC12
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9D5Z5,MSS51_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q9D5Z5,MSS51_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q4VC12,MSS51_HUMAN,8.0,1,1,1,1,,1,1,1,,1
D2HEF5,D2HEF5_AILME,5.0,1,1,1,1,,,1,,,
E1C2L7,E1C2L7_CHICK,5.0,1,1,1,1,,,,,,1
D3ZKV9,MSS51_RAT,5.0,1,1,1,1,,,,,,1
F6SLR0,F6SLR0_MACMU,4.0,1,1,1,1,,,,,,
G1S410,G1S410_NOMLE,4.0,1,1,1,1,,,,,,
F1SU58,F1SU58_PIG,4.0,1,1,1,1,,,,,,
H2Q236,H2Q236_PANTR,4.0,1,1,1,1,,,,,,
G3SJQ2,G3SJQ2_GORGO,4.0,1,1,1,1,,,,,,
E1BDH2,E1BDH2_BOVIN,4.0,1,1,1,1,,,,,,
F7IPC6,F7IPC6_CALJA,4.0,1,1,1,1,,,,,,
G3VKT5,G3VKT5_SARHA,4.0,1,1,1,1,,,,,,
H2NAJ7,H2NAJ7_PONAB,4.0,1,1,1,1,,,,,,
H0WK71,H0WK71_OTOGA,3.0,,1,1,1,,,,,,
G3NZX1,G3NZX1_GASAC,3.0,,1,1,1,,,,,,
H0YZR8,H0YZR8_TAEGU,3.0,,1,1,1,,,,,,
F1RC59,F1RC59_DANRE,3.0,,1,1,1,,,,,,
H0W213,H0W213_CAVPO,3.0,,1,1,1,,,,,,
G3TN58,G3TN58_LOXAF,3.0,,1,1,1,,,,,,
H2LS60,H2LS60_ORYLA,3.0,,1,1,1,,,,,,
M3W9B8,M3W9B8_FELCA,3.0,1,1,1,,,,,,,
H3A2V8,H3A2V8_LATCH,3.0,,1,1,1,,,,,,
H3D5H8,H3D5H8_TETNG,3.0,,1,1,1,,,,,,
G1PL60,G1PL60_MYOLU,3.0,,1,1,1,,,,,,
G1NBG6,G1NBG6_MELGA,3.0,,1,1,1,,,,,,
W5PCQ0,W5PCQ0_SHEEP,3.0,1,1,1,,,,,,,
U3JPJ1,U3JPJ1_FICAL,3.0,1,1,1,,,,,,,
G1SPT8,G1SPT8_RABIT,3.0,,1,1,1,,,,,,
I3M8Y8,I3M8Y8_SPETR,3.0,,1,1,1,,,,,,
H2UHN1,H2UHN1_TAKRU,3.0,,1,1,1,,,,,,
F7DH05,F7DH05_HORSE,3.0,,1,1,1,,,,,,
M3XWR6,M3XWR6_MUSPF,2.0,,1,1,,,,,,,
C3YW10,C3YW10_BRAFL,2.0,1,,,,,,,,,1
H3D5H7,H3D5H7_TETNG,2.0,,1,,1,,,,,,
H2UHM3,H2UHM3_TAKRU,2.0,,1,,1,,,,,,
C5E213,C5E213_LACTC,2.0,1,,,,,1,,,,
K7G842,K7G842_PELSI,2.0,,1,,1,,,,,,
C5PB12,C5PB12_COCP7,2.0,1,,,,,1,,,,
J9P2M6,J9P2M6_CANFA,2.0,,1,,1,,,,,,
Q4S4V7,Q4S4V7_TETNG,2.0,,,,,,1,,1,,
H9G8F6,H9G8F6_ANOCA,2.0,,1,,1,,,,,,
B4N6B0,B4N6B0_DROWI,2.0,1,,,,,1,,,,
F7CPQ4,F7CPQ4_XENTR,2.0,,1,,1,,,,,,
A7ENS0,A7ENS0_SCLS1,2.0,1,,,,,1,,,,
U3I4I1,U3I4I1_ANAPL,2.0,,1,1,,,,,,,
Q5ARL5,Q5ARL5_EMENI,2.0,1,,,,,1,,,,
B4J2X4,B4J2X4_DROGR,2.0,1,,,,,1,,,,
Q7RYR5,Q7RYR5_NEUCR,2.0,1,,,,,1,,,,
A7TL09,A7TL09_VANPO,2.0,1,,,,,1,,,,
W5LFM0,W5LFM0_ASTMX,2.0,,1,1,,,,,,,
Q4S4V2,Q4S4V2_TETNG,2.0,,,,,,1,1,,,
W5MRH5,W5MRH5_LEPOC,2.0,,1,1,,,,,,,
B6HKH6,B6HKH6_PENCW,2.0,1,,,,,1,,,,
F6VAV3,F6VAV3_HUMAN,1.0,,1,,,,,,,,
F6TF19,F6TF19_MONDO,1.0,,,,1,,,,,,
F6SZR1,F6SZR1_MONDO,1.0,,,1,,,,,,,
F7VYM9,F7VYM9_SORMK,1.0,1,,,,,,,,,
E6RG73,E6RG73_CRYGW,1.0,1,,,,,,,,,
E2L9J2,E2L9J2_MONPE,1.0,1,,,,,,,,,
F5HB96,F5HB96_CRYNB,1.0,1,,,,,,,,,
F4RLZ1,F4RLZ1_MELLP,1.0,1,,,,,,,,,
E3RVW0,E3RVW0_PYRTT,1.0,1,,,,,,,,,
E9F3N9,E9F3N9_METRA,1.0,1,,,,,,,,,
E9F133,E9F133_METRA,1.0,1,,,,,,,,,
E9EIX6,E9EIX6_METAQ,1.0,1,,,,,,,,,
E3JZT1,E3JZT1_PUCGT,1.0,1,,,,,,,,,
E3RH04,E3RH04_PYRTT,1.0,1,,,,,,,,,
E3RL49,E3RL49_PYRTT,1.0,1,,,,,,,,,
E9EFK1,E9EFK1_METAQ,1.0,1,,,,,,,,,
X1WG43,X1WG43_DANRE,1.0,,1,,,,,,,,
C7YXY5,C7YXY5_NECH7,1.0,1,,,,,,,,,
D8Q1W8,D8Q1W8_SCHCM,1.0,1,,,,,,,,,
A8NGC2,A8NGC2_COPC7,1.0,1,,,,,,,,,
B4GUF1,B4GUF1_DROPE,1.0,1,,,,,,,,,
B3NHM9,B3NHM9_DROER,1.0,1,,,,,,,,,
B3M738,B3M738_DROAN,1.0,1,,,,,,,,,
B2AVR3,B2AVR3_PODAN,1.0,1,,,,,,,,,
B0DNS6,B0DNS6_LACBS,1.0,1,,,,,,,,,
B0D700,B0D700_LACBS,1.0,1,,,,,,,,,
A8QAL0,A8QAL0_MALGO,1.0,1,,,,,,,,,
A8NJU7,A8NJU7_COPC7,1.0,1,,,,,,,,,
A6R429,A6R429_AJECN,1.0,1,,,,,,,,,
B4KXL8,B4KXL8_DROMO,1.0,1,,,,,,,,,
A5E6Q0,A5E6Q0_LODEL,1.0,1,,,,,,,,,
A5DHY3,A5DHY3_PICGU,1.0,1,,,,,,,,,
A3GGW9,A3GGW9_PICST,1.0,1,,,,,,,,,
A2QY63,A2QY63_ASPNC,1.0,1,,,,,,,,,
A1D9C2,A1D9C2_NEOFI,1.0,1,,,,,,,,,
A1CFZ5,A1CFZ5_ASPCL,1.0,1,,,,,,,,,
A0A096P4N5,A0A096P4N5_PAPAN,1.0,,1,,,,,,,,
A0A087YH48,A0A087YH48_POEFO,1.0,,1,,,,,,,,
B4HI47,B4HI47_DROSE,1.0,1,,,,,,,,,
B4LFK8,B4LFK8_DROVI,1.0,1,,,,,,,,,
D8PXV3,D8PXV3_SCHCM,1.0,1,,,,,,,,,
C5MIG3,C5MIG3_CANTT,1.0,1,,,,,,,,,
D8PVV1,D8PVV1_SCHCM,1.0,1,,,,,,,,,
D5GE35,D5GE35_TUBMM,1.0,1,,,,,,,,,
D4D436,D4D436_TRIVH,1.0,1,,,,,,,,,
D4AK35,D4AK35_ARTBC,1.0,1,,,,,,,,,
D0MRD0,D0MRD0_PHYIT,1.0,1,,,,,,,,,
C9SV41,C9SV41_VERA1,1.0,1,,,,,,,,,
F8P4R9,F8P4R9_SERL9,1.0,1,,,,,,,,,
C7YNL1,C7YNL1_NECH7,1.0,1,,,,,,,,,
C5DYB0,C5DYB0_ZYGRC,1.0,1,,,,,,,,,
B4PIL2,B4PIL2_DROYA,1.0,1,,,,,,,,,
C4YCD8,C4YCD8_CLAL4,1.0,1,,,,,,,,,
C4R2H1,C4R2H1_PICPG,1.0,1,,,,,,,,,
C4JZG6,C4JZG6_UNCRE,1.0,1,,,,,,,,,
C1MQ09,C1MQ09_MICPC,1.0,1,,,,,,,,,
B9WN05,B9WN05_CANDC,1.0,1,,,,,,,,,
B8P4P9,B8P4P9_POSPM,1.0,1,,,,,,,,,
B8NJ43,B8NJ43_ASPFN,1.0,1,,,,,,,,,
B4QKK1,B4QKK1_DROSI,1.0,1,,,,,,,,,
F8MJR6,F8MJR6_NEUT8,1.0,1,,,,,,,,,
G3AWU9,G3AWU9_CANTC,1.0,1,,,,,,,,,
