,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000005493,NA,TF342418,NA,NOG121064,HOG000111975,NA,NA,Q13536
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q13536,CROC4_HUMAN,5.0,,1,,1,,1,1,,,1
Q13536,CROC4_HUMAN,5.0,,1,,1,,1,1,,,1
H2Q096,H2Q096_PANTR,2.0,,1,,1,,,,,,
H2N5D5,H2N5D5_PONAB,2.0,,1,,1,,,,,,
G3SKJ3,G3SKJ3_GORGO,2.0,,1,,1,,,,,,
G1RPY7,G1RPY7_NOMLE,2.0,,1,,1,,,,,,
F6WH88,F6WH88_MACMU,2.0,,1,,1,,,,,,
X6R5L4,X6R5L4_HUMAN,1.0,,1,,,,,,,,
Q86W69,Q86W69_HUMAN,1.0,,1,,,,,,,,
H3BLW3,H3BLW3_HUMAN,1.0,,1,,,,,,,,
H0Y3T1,H0Y3T1_HUMAN,1.0,,1,,,,,,,,
F7DTQ4,F7DTQ4_MACMU,1.0,,1,,,,,,,,
F7DTP6,F7DTP6_MACMU,1.0,,1,,,,,,,,
F6WH79,F6WH79_MACMU,1.0,,1,,,,,,,,
