,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000011787,CVPNSVV,NA,NA,NOG328215,HOG000113181,NA,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NE52,K1875_HUMAN,4.0,,1,1,,,1,1,,,
W5PZF7,W5PZF7_SHEEP,2.0,,1,1,,,,,,,
I3N6M3,I3N6M3_SPETR,2.0,,1,1,,,,,,,
G1P818,G1P818_MYOLU,2.0,,1,1,,,,,,,
G1RHT1,G1RHT1_NOMLE,2.0,,1,1,,,,,,,
G3RUK9,G3RUK9_GORGO,2.0,,1,1,,,,,,,
F7DB61,F7DB61_CALJA,2.0,,1,1,,,,,,,
H0WW94,H0WW94_OTOGA,2.0,,1,1,,,,,,,
F1RSM8,F1RSM8_PIG,2.0,,1,1,,,,,,,
F1MRY3,F1MRY3_BOVIN,2.0,,1,1,,,,,,,
H2QWW0,H2QWW0_PANTR,2.0,,1,1,,,,,,,
F1LYQ6,F1LYQ6_RAT,2.0,,1,1,,,,,,,
M3WFA9,M3WFA9_FELCA,2.0,,1,1,,,,,,,
G1LHF0,G1LHF0_AILME,2.0,,1,1,,,,,,,
F1PEJ3,F1PEJ3_CANFA,1.0,,1,,,,,,,,
F7DI00,F7DI00_MACMU,1.0,,1,,,,,,,,
E9PKB8,E9PKB8_HUMAN,1.0,,1,,,,,,,,
D2HIN5,D2HIN5_AILME,1.0,,,,,,,1,,,
F6R1P2,F6R1P2_HORSE,1.0,,1,,,,,,,,
F6SFW7,F6SFW7_HORSE,1.0,,1,,,,,,,,
F6W1K9,F6W1K9_ORNAN,1.0,,1,,,,,,,,
F6X2K2,F6X2K2_MACMU,1.0,,1,,,,,,,,
C3XUG3,C3XUG3_BRAFL,1.0,,,,,,1,,,,
F7DB86,F7DB86_CALJA,1.0,,1,,,,,,,,
F7DHL1,F7DHL1_MACMU,1.0,,1,,,,,,,,
A8I8F4,A8I8F4_CHLRE,1.0,,,,,,1,,,,
A0A096P3K7,A0A096P3K7_PAPAN,1.0,,1,,,,,,,,
G1SKN1,G1SKN1_RABIT,1.0,,1,,,,,,,,
F7E9Q7,F7E9Q7_MONDO,1.0,,1,,,,,,,,
H9GD54,H9GD54_ANOCA,1.0,,1,,,,,,,,
W5LK01,W5LK01_ASTMX,1.0,,1,,,,,,,,
W5LJY7,W5LJY7_ASTMX,1.0,,1,,,,,,,,
M3ZJF3,M3ZJF3_XIPMA,1.0,,1,,,,,,,,
K7G4A6,K7G4A6_PELSI,1.0,,1,,,,,,,,
K7E8B0,K7E8B0_ORNAN,1.0,,1,,,,,,,,
K7E6H3,K7E6H3_ORNAN,1.0,,1,,,,,,,,
J9NSD6,J9NSD6_CANFA,1.0,,1,,,,,,,,
H3ADE2,H3ADE2_LATCH,1.0,,1,,,,,,,,
W5MQR0,W5MQR0_LEPOC,1.0,,1,,,,,,,,
H2PRF9,H2PRF9_PONAB,1.0,,1,,,,,,,,
H0W1V5,H0W1V5_CAVPO,1.0,,1,,,,,,,,
H0VCP6,H0VCP6_CAVPO,1.0,,1,,,,,,,,
G3VXN7,G3VXN7_SARHA,1.0,,1,,,,,,,,
G3VXN6,G3VXN6_SARHA,1.0,,1,,,,,,,,
G3U3E2,G3U3E2_LOXAF,1.0,,1,,,,,,,,
G3QIX0,G3QIX0_GORGO,1.0,,1,,,,,,,,
A0A096M1S9,A0A096M1S9_POEFO,1.0,,1,,,,,,,,
