,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K06748,ENSGT00760000119139,LERGSMK,TF332441,NA,NOG147919,HOG000236324,HBG036161,NA,Q9NYZ4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NYZ4,SIGL8_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q9Y286,SIGL7_HUMAN,5.0,,1,,1,,1,1,1,,
Q91Y57,SIG12_MOUSE,5.0,,1,,1,,1,,1,,1
Q9Y336,SIGL9_HUMAN,4.0,,1,,,,1,1,1,,
O15389,SIGL5_HUMAN,4.0,,1,,1,,,1,1,,
O43699,SIGL6_HUMAN,4.0,,1,,1,,,1,1,,
Q08ET2,SIG14_HUMAN,4.0,,1,,1,,,1,1,,
B7ZMQ6,B7ZMQ6_MOUSE,4.0,,1,,1,,,1,1,,
Q80ZE3,Q80ZE3_MOUSE,4.0,,1,,1,,,1,1,,
Q96RL6,SIG11_HUMAN,4.0,,1,,1,,,1,1,,
Q920G3,SIGL5_MOUSE,4.0,,1,,1,,,1,1,,
Q96LC7,SIG10_HUMAN,4.0,,1,,1,,,1,1,,
Q96PQ1,SIG12_HUMAN,3.0,,1,,,,,1,1,,
B5DEY6,B5DEY6_RAT,3.0,,,,1,,,1,1,,
G1R1V0,G1R1V0_NOMLE,3.0,,1,1,1,,,,,,
F6PZE2,F6PZE2_HORSE,3.0,,1,1,1,,,,,,
A6NMB1,SIG16_HUMAN,3.0,,,,1,,,1,1,,
Q80ZE2,Q80ZE2_MOUSE,3.0,,1,,,,,1,1,,
Q63994,CD33_MOUSE,3.0,,1,,1,,,1,,,
G3QK00,G3QK00_GORGO,3.0,,1,1,1,,,,,,
P20138,CD33_HUMAN,3.0,,1,,1,,,,1,,
B7ZMQ5,B7ZMQ5_MOUSE,3.0,,1,,,,,1,1,,
E1BKZ8,E1BKZ8_BOVIN,3.0,,1,1,1,,,,,,
H2QH05,H2QH05_PANTR,3.0,,1,1,1,,,,,,
H2NZW4,H2NZW4_PONAB,3.0,,1,1,1,,,,,,
G3VCF8,G3VCF8_SARHA,2.0,,1,,1,,,,,,
G3U0V4,G3U0V4_LOXAF,2.0,,1,,1,,,,,,
G3U3F4,G3U3F4_LOXAF,2.0,,1,,1,,,,,,
F6ZU43,F6ZU43_XENTR,2.0,,1,,1,,,,,,
G3UGA9,G3UGA9_LOXAF,2.0,,1,,1,,,,,,
F6ZN86,F6ZN86_MACMU,2.0,,1,,1,,,,,,
G3VBQ6,G3VBQ6_SARHA,2.0,,1,,1,,,,,,
H2NZV4,H2NZV4_PONAB,2.0,,1,,1,,,,,,
H2QGZ6,H2QGZ6_PANTR,2.0,,1,,1,,,,,,
F6ZBI3,F6ZBI3_ORNAN,2.0,,1,,1,,,,,,
G3VGW7,G3VGW7_SARHA,2.0,,1,,1,,,,,,
G3VIS1,G3VIS1_SARHA,2.0,,1,,1,,,,,,
G3VR74,G3VR74_SARHA,2.0,,1,,1,,,,,,
G3VVC9,G3VVC9_SARHA,2.0,,1,,1,,,,,,
H2QH04,H2QH04_PANTR,2.0,,1,,1,,,,,,
H2QGZ8,H2QGZ8_PANTR,2.0,,1,,1,,,,,,
