,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00640000091487,VPTTCNT,TF105915,EOG7CRTNX,NOG311117,NA,HBG108027,NA,Q2LD37
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B8JIA1,B8JIA1_DANRE,7.0,,1,1,1,1,1,,1,,1
Q2LD37,K1109_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q2LD37,K1109_HUMAN,7.0,,1,1,1,1,1,,1,,1
A2AAE1,K1109_MOUSE,7.0,,1,1,1,1,1,,1,,1
H2PE87,H2PE87_PONAB,4.0,,1,1,1,1,,,,,
H2MTF8,H2MTF8_ORYLA,4.0,,1,1,1,1,,,,,
H0YUS4,H0YUS4_TAEGU,4.0,,1,1,1,1,,,,,
H0WYI0,H0WYI0_OTOGA,4.0,,1,1,1,1,,,,,
H0VH78,H0VH78_CAVPO,4.0,,1,1,1,1,,,,,
G3SSX5,G3SSX5_LOXAF,4.0,,1,1,1,1,,,,,
H3AGP3,H3AGP3_LATCH,4.0,,1,1,1,1,,,,,
G3R3H2,G3R3H2_GORGO,4.0,,1,1,1,1,,,,,
G1T861,G1T861_RABIT,4.0,,1,1,1,1,,,,,
G1KLZ4,G1KLZ4_ANOCA,4.0,,1,1,1,1,,,,,
F7E2Y6,F7E2Y6_HORSE,4.0,,1,1,1,1,,,,,
F7C759,F7C759_MONDO,4.0,,1,1,1,1,,,,,
F1RQM9,F1RQM9_PIG,4.0,,1,1,1,1,,,,,
G3NQ28,G3NQ28_GASAC,4.0,,1,1,1,1,,,,,
H2QQ42,H2QQ42_PANTR,4.0,,1,1,1,1,,,,,
D2HN55,D2HN55_AILME,4.0,,1,1,1,1,,,,,
E1BXK4,E1BXK4_CHICK,4.0,,1,1,1,1,,,,,
F7ICH4,F7ICH4_CALJA,3.0,,1,1,1,,,,,,
K7FN37,K7FN37_PELSI,3.0,,1,1,1,,,,,,
B3SBR2,B3SBR2_TRIAD,3.0,,,1,,1,1,,,,
G3VPW2,G3VPW2_SARHA,3.0,,1,1,1,,,,,,
Q8WTL7,Q8WTL7_CAEEL,3.0,,1,,,1,1,,,,
H3CJC1,H3CJC1_TETNG,3.0,,1,,1,1,,,,,
G1RDZ9,G1RDZ9_NOMLE,3.0,,1,,1,1,,,,,
G1PJ14,G1PJ14_MYOLU,3.0,,1,,1,1,,,,,
Q5TQ66,Q5TQ66_ANOGA,3.0,,,,,1,1,,,,1
F1PIE9,F1PIE9_CANFA,3.0,,1,1,1,,,,,,
I3KTT1,I3KTT1_ORENI,3.0,,,1,1,1,,,,,
M3X355,M3X355_FELCA,3.0,,1,1,,1,,,,,
M3Z123,M3Z123_MUSPF,3.0,,1,1,,1,,,,,
M4ALG5,M4ALG5_XIPMA,3.0,,1,1,,1,,,,,
F6XTB1,F6XTB1_ORNAN,2.0,,1,,,1,,,,,
W5M4Y7,W5M4Y7_LEPOC,2.0,,1,1,,,,,,,
A7SGI9,A7SGI9_NEMVE,2.0,,,,,1,1,,,,
A7SVA7,A7SVA7_NEMVE,2.0,,,,,1,1,,,,
A8XL11,A8XL11_CAEBR,2.0,,,,,1,1,,,,
B0W2V8,B0W2V8_CULQU,2.0,,,,,1,1,,,,
E2R1I7,E2R1I7_CANFA,2.0,,1,,,1,,,,,
F6PS50,F6PS50_XENTR,2.0,,1,,,1,,,,,
G3VPW1,G3VPW1_SARHA,2.0,,1,,,1,,,,,
G3UR92,G3UR92_MELGA,2.0,,1,,,1,,,,,
B4MTP1,B4MTP1_DROWI,2.0,,,,,1,1,,,,
F6RWW2,F6RWW2_MACMU,2.0,,1,,,1,,,,,
F6RWZ6,F6RWZ6_MACMU,2.0,,1,,,1,,,,,
D4A1I0,D4A1I0_RAT,2.0,,1,,,1,,,,,
F6RX17,F6RX17_MACMU,2.0,,1,,,1,,,,,
F6ZBN1,F6ZBN1_XENTR,2.0,,1,,,1,,,,,
F6T5E3,F6T5E3_CIOIN,2.0,,1,,,1,,,,,
G1RDY4,G1RDY4_NOMLE,2.0,,1,,,1,,,,,
G1PLG1,G1PLG1_MYOLU,2.0,,1,,,1,,,,,
F6WU04,F6WU04_CIOIN,2.0,,1,,,1,,,,,
