,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K13356,ENSGT00390000006367,SNHLINQ,TF313011,EOG7FFMRM,COG3320,HOG000261667,HBG076152,NA,Q8WVX9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q922J9,FACR1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q8WVX9,FACR1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q922J9,FACR1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
A5PJQ0,A5PJQ0_BOVIN,8.0,1,1,1,1,1,1,1,1,,
Q0P5J1,FACR2_BOVIN,6.0,1,1,,1,1,,1,1,,
Q5ZM72,FACR1_CHICK,6.0,1,,,,1,1,1,1,,1
Q1L8Q4,Q1L8Q4_DANRE,6.0,1,1,,1,1,,1,1,,
Q9TZL9,Q9TZL9_CAEEL,6.0,1,1,,,1,1,1,,,1
Q7TNT2,FACR2_MOUSE,6.0,1,1,,1,1,,1,1,,
Q5R834,FACR1_PONAB,6.0,1,1,1,1,1,,,1,,
Q66H50,FACR1_RAT,6.0,1,1,,,1,1,1,1,,
F6XVM0,F6XVM0_MONDO,5.0,1,1,1,1,1,,,,,
G1S7I6,G1S7I6_NOMLE,5.0,1,1,1,1,1,,,,,
H2SY87,H2SY87_TAKRU,5.0,1,1,1,1,1,,,,,
F7CYP8,F7CYP8_CALJA,5.0,1,1,1,1,1,,,,,
Q96K12,FACR2_HUMAN,5.0,1,1,,1,,,1,1,,
H2R2T3,H2R2T3_PANTR,5.0,1,1,1,1,1,,,,,
G1L6E4,G1L6E4_AILME,5.0,1,1,1,1,1,,,,,
G3QFT4,G3QFT4_GORGO,5.0,1,1,1,1,1,,,,,
A2CET9,A2CET9_DANRE,5.0,,1,,1,1,,1,1,,
G8ENM4,G8ENM4_PIG,5.0,1,1,1,1,1,,,,,
K7FAX0,K7FAX0_PELSI,4.0,,1,1,1,1,,,,,
H2Q5N6,H2Q5N6_PANTR,4.0,1,1,,1,1,,,,,
A1ZAI5,FACR1_DROME,4.0,1,,,,1,1,,,,1
K7FQE7,K7FQE7_PELSI,4.0,1,1,,1,1,,,,,
A4IGR0,A4IGR0_XENTR,4.0,1,,,,,1,1,1,,
H3AHH5,H3AHH5_LATCH,4.0,1,1,,1,1,,,,,
F7BUJ3,F7BUJ3_HORSE,4.0,,1,1,1,1,,,,,
F7C262,F7C262_MONDO,4.0,1,1,,1,1,,,,,
B0XFN3,B0XFN3_CULQU,4.0,1,,,,1,1,1,,,
H2ZX77,H2ZX77_LATCH,4.0,1,1,,1,1,,,,,
F7H220,F7H220_MACMU,4.0,,1,1,1,1,,,,,
E2R495,E2R495_CANFA,4.0,1,1,,1,1,,,,,
Q7PZ52,Q7PZ52_ANOGA,4.0,1,,,,1,1,1,,,
F7FW93,F7FW93_ORNAN,4.0,1,1,,1,1,,,,,
A7SBJ0,A7SBJ0_NEMVE,4.0,1,,,,1,,1,,,1
G1KAM3,G1KAM3_ANOCA,4.0,1,1,,1,1,,,,,
A1ZAI5,FACR1_DROME,4.0,1,,,,1,1,,,,1
