,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K14847,ENSGT00390000007279,ISHDVFG,TF314371,NA,COG5106,HOG000157782,HBG050749,NA,Q9H7B2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B0BN82,B0BN82_RAT,8.0,1,1,1,1,,1,1,1,,1
Q9H7B2,RPF2_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q6P0C5,Q6P0C5_DANRE,7.0,1,1,,1,,1,1,1,,1
Q9JJ80,RPF2_MOUSE,6.0,1,1,,,,1,1,1,,1
P36160,RPF2_YEAST,6.0,1,1,1,,,1,1,,,1
Q9JJ80,RPF2_MOUSE,6.0,1,1,,,,1,1,1,,1
Q9VEB3,RPF2_DROME,5.0,1,1,1,,,1,,,,1
Q9UUG1,RPF2_SCHPO,5.0,1,,1,,,1,1,,,1
E1BZU0,E1BZU0_CHICK,5.0,1,1,1,1,,,,,,1
Q9N3F0,RPF2_CAEEL,5.0,1,1,1,,,1,,,,1
Q9LUG5,RPF2_ARATH,5.0,1,,1,,,1,1,,,1
A7RWQ0,A7RWQ0_NEMVE,5.0,1,,1,,,1,1,,,1
Q7SCN3,Q7SCN3_NEUCR,4.0,1,,,,,1,1,,,1
Q9AWM9,RPF2_ORYSJ,4.0,1,,1,,,1,1,,,
B9IF35,B9IF35_POPTR,4.0,1,,1,,,1,1,,,
B8BXM4,B8BXM4_THAPS,4.0,1,,,,,1,1,,,1
B6HFI7,B6HFI7_PENCW,4.0,1,,1,,,1,1,,,
Q7QDB8,Q7QDB8_ANOGA,4.0,1,,,,,1,1,,,1
K7G941,K7G941_PELSI,4.0,1,1,1,1,,,,,,
B3RWT3,B3RWT3_TRIAD,4.0,1,,1,,,1,1,,,
Q5KIF8,Q5KIF8_CRYNJ,4.0,1,,1,,,,1,,,1
B0X4Q6,B0X4Q6_CULQU,4.0,1,,1,,,1,1,,,
Q17CR8,Q17CR8_AEDAE,4.0,1,,1,,,1,1,,,
Q57U27,Q57U27_TRYB2,4.0,1,,1,,,1,1,,,
Q54DJ0,RPF2_DICDI,4.0,1,,1,,,1,,,,1
Q2YDN6,RPF2_BOVIN,4.0,1,,,,,1,1,1,,
C3ZM40,C3ZM40_BRAFL,4.0,1,,1,,,1,,,,1
G3VH44,G3VH44_SARHA,4.0,1,1,1,1,,,,,,
A9UXI7,A9UXI7_MONBE,4.0,1,,1,,,1,,,,1
H2MK19,H2MK19_ORYLA,4.0,1,1,1,1,,,,,,
G1NL34,G1NL34_MELGA,4.0,1,1,1,1,,,,,,
C5Z0R9,C5Z0R9_SORBI,4.0,1,,1,,,1,1,,,
F7FBB8,F7FBB8_MACMU,4.0,1,1,1,1,,,,,,
A4S990,A4S990_OSTLU,4.0,1,,1,,,1,1,,,
F6WMX3,F6WMX3_HORSE,4.0,1,1,1,1,,,,,,
F7H7H3,F7H7H3_CALJA,4.0,1,1,1,1,,,,,,
H2PK23,H2PK23_PONAB,4.0,1,1,1,1,,,,,,
E2RRK1,E2RRK1_CANFA,4.0,1,1,1,1,,,,,,
H2QTK2,H2QTK2_PANTR,4.0,1,1,1,1,,,,,,
