,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00550000074538,LCHMTNG,TF352014,EOG7RBZ9T,COG5034,HOG000239724,HBG006607,NA,Q9H160
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B5DEF8,B5DEF8_RAT,8.0,,1,1,1,1,1,1,1,,1
Q6DHF1,Q6DHF1_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q9ESK4,ING2_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9H160,ING2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9H160,ING2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A4IGN5,A4IGN5_XENTR,6.0,,1,,1,1,1,1,1,,
Q4VBS0,Q4VBS0_DANRE,6.0,,1,,1,1,1,1,1,,
A5WVS7,A5WVS7_DANRE,6.0,,1,,1,1,1,1,1,,
Q5ZKY4,ING4_CHICK,6.0,,1,,1,1,1,1,1,,
Q8WYH8,ING5_HUMAN,6.0,,1,,1,1,1,1,1,,
Q9UNL4,ING4_HUMAN,6.0,,1,,1,1,1,1,1,,
A1L130,A1L130_RAT,6.0,,1,,1,1,1,1,1,,
Q9QXV3,ING1_MOUSE,6.0,,1,,1,1,1,1,1,,
Q8C0D7,ING4_MOUSE,6.0,,1,,1,1,1,1,1,,
Q9D8Y8,ING5_MOUSE,6.0,,1,,1,1,1,1,1,,
Q9UK53,ING1_HUMAN,6.0,,1,,1,1,1,1,1,,
Q5ZJ84,Q5ZJ84_CHICK,5.0,,1,,1,1,,1,1,,
D2GY56,D2GY56_AILME,5.0,,1,1,1,1,,1,,,
H2MA33,H2MA33_ORYLA,4.0,,1,1,1,1,,,,,
G3MY31,G3MY31_BOVIN,4.0,,1,1,1,1,,,,,
E2QX70,E2QX70_CANFA,4.0,,1,1,1,1,,,,,
F1NSR3,F1NSR3_CHICK,4.0,,1,1,1,1,,,,,
F6V9K8,F6V9K8_CALJA,4.0,,1,1,1,1,,,,,
F6VM00,F6VM00_HORSE,4.0,,1,1,1,1,,,,,
Q8VEK6,ING3_MOUSE,4.0,,1,,,1,1,,1,,
F7BND1,F7BND1_XENTR,4.0,,1,1,1,1,,,,,
F7DTJ3,F7DTJ3_MACMU,4.0,,1,1,1,1,,,,,
F7F3G6,F7F3G6_RAT,4.0,,1,,,1,1,,1,,
