,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11251,ENSGT00760000118934,PKKTEIC,TF300137,EOG7M0NTR,NA,HOG000234652,HBG009342,NA,Q7L7L0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q7L7L0,H2A3_HUMAN,8.0,1,1,1,1,1,,1,1,,1
Q64522,H2A2B_MOUSE,7.0,1,1,1,1,1,,1,1,,
Q8BFU2,H2A3_MOUSE,7.0,1,1,,1,1,,1,1,,1
A4IFU5,A4IFU5_BOVIN,7.0,1,1,1,1,1,,1,1,,
Q4FZT6,H2A3_RAT,6.0,1,1,,1,1,,,1,,1
P22752,H2A1_MOUSE,6.0,1,1,,1,1,,1,1,,
Q8CGP7,H2A1K_MOUSE,6.0,1,1,,1,1,,1,1,,
Q64523,H2A2C_MOUSE,6.0,1,1,,1,1,,1,1,,
Q8IUE6,H2A2B_HUMAN,6.0,1,1,,1,1,,1,1,,
P16104,H2AX_HUMAN,6.0,1,1,,1,1,,1,1,,
Q5XJK2,Q5XJK2_DANRE,6.0,1,1,,1,1,,1,1,,
P20671,H2A1D_HUMAN,6.0,1,1,,1,1,,1,1,,
Q8R1M2,H2AJ_MOUSE,6.0,1,1,,1,1,,1,1,,
A9UMV8,H2AJ_RAT,6.0,1,1,,1,1,,1,1,,
Q8CGP5,H2A1F_MOUSE,6.0,1,1,,1,1,,1,1,,
P27661,H2AX_MOUSE,6.0,1,1,,1,1,,1,1,,
Q96KK5,H2A1H_HUMAN,6.0,1,1,,1,1,,1,1,,
Q96QV6,H2A1A_HUMAN,6.0,1,1,,1,1,,1,1,,
Q99878,H2A1J_HUMAN,6.0,1,1,,1,1,,1,1,,
Q9BTM1,H2AJ_HUMAN,6.0,1,1,,1,1,,1,1,,
Q00728,H2A4_RAT,6.0,1,1,,1,1,,1,1,,
B5FYW5,B5FYW5_TAEGU,6.0,1,1,,1,1,,1,1,,
Q17QG8,Q17QG8_BOVIN,6.0,1,1,,1,1,,1,1,,
B0JZ06,B0JZ06_XENTR,6.0,1,1,,1,1,,1,1,,
Q16777,H2A2C_HUMAN,6.0,1,1,,1,1,,1,1,,
Q8CGP6,H2A1H_MOUSE,6.0,1,1,,1,1,,1,1,,
Q93077,H2A1C_HUMAN,6.0,1,1,,1,1,,1,1,,
Q3ZBX9,H2AJ_BOVIN,6.0,1,1,,1,1,,1,1,,
D2I4T5,D2I4T5_AILME,6.0,1,1,1,1,1,,1,,,
Q6I8Q6,Q6I8Q6_RAT,6.0,1,1,,1,1,,1,1,,
P0C0S9,H2A1_BOVIN,6.0,1,1,,1,1,,1,1,,
P0C0S8,H2A1_HUMAN,6.0,1,1,,1,1,,1,1,,
Q6FI13,H2A2A_HUMAN,6.0,1,1,,1,1,,1,1,,
Q7ZUY3,H2AX_DANRE,6.0,1,1,,1,1,,1,1,,
Q6GSS7,H2A2A_MOUSE,6.0,1,1,,1,1,,1,1,,
G1S9M3,G1S9M3_NOMLE,5.0,1,1,1,1,1,,,,,
Q28HD8,Q28HD8_XENTR,5.0,1,,,1,1,,1,1,,
Q6DK82,Q6DK82_XENTR,5.0,1,1,,1,1,,,1,,
G1TMN0,G1TMN0_RABIT,5.0,1,1,1,1,1,,,,,
