,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000006320,QRYRYAG,TF314077,EOG7FJH14,NOG240615,NA,HBG106388,NA,Q4G0N4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q4G0N4,NAKD2_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q4G0N4,NAKD2_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q08CZ6,NAKD2_XENTR,6.0,,1,1,1,1,1,,1,,
Q8C5H8,NAKD2_MOUSE,6.0,,1,1,1,1,1,,1,,
Q1HCL7,NAKD2_RAT,5.0,,1,1,,1,1,,1,,
F1MV80,F1MV80_BOVIN,4.0,,1,1,1,1,,,,,
Q7JW73,Q7JW73_DROME,4.0,,1,,,1,1,,,,1
H2QQS1,H2QQS1_PANTR,4.0,,1,1,1,1,,,,,
K7FDT8,K7FDT8_PELSI,4.0,,1,1,1,1,,,,,
H0WVW5,H0WVW5_OTOGA,4.0,,1,1,1,1,,,,,
H0VNF4,H0VNF4_CAVPO,4.0,,1,1,1,1,,,,,
G3VIN6,G3VIN6_SARHA,4.0,,1,1,1,1,,,,,
H2UA16,H2UA16_TAKRU,4.0,,1,1,1,1,,,,,
G3RHW6,G3RHW6_GORGO,4.0,,1,1,1,1,,,,,
G3Q3L9,G3Q3L9_GASAC,4.0,,1,1,1,1,,,,,
G1S1U4,G1S1U4_NOMLE,4.0,,1,1,1,1,,,,,
Q7QIB7,Q7QIB7_ANOGA,4.0,,,1,,1,1,,,,1
H2PFC6,H2PFC6_PONAB,4.0,,1,1,1,1,,,,,
G1NYF6,G1NYF6_MYOLU,4.0,,1,1,1,1,,,,,
B7P2M0,B7P2M0_IXOSC,4.0,,,1,,1,1,,,,1
G1M0W0,G1M0W0_AILME,4.0,,1,1,1,1,,,,,
Q9XXI5,Q9XXI5_CAEEL,4.0,,1,1,,,1,,,,1
F7FK96,F7FK96_MONDO,4.0,,1,1,1,1,,,,,
F7DCV0,F7DCV0_HORSE,4.0,,1,1,1,1,,,,,
H3AS85,H3AS85_LATCH,4.0,,1,1,1,1,,,,,
F6Q548,F6Q548_CIOIN,4.0,,1,1,1,1,,,,,
F1SNB7,F1SNB7_PIG,4.0,,1,1,1,1,,,,,
H3C8T4,H3C8T4_TETNG,4.0,,1,1,1,1,,,,,
F1NJV0,F1NJV0_CHICK,4.0,,1,1,1,1,,,,,
H2MHA1,H2MHA1_ORYLA,4.0,,1,1,1,1,,,,,
H2Y9V5,H2Y9V5_CIOSA,3.0,,1,,1,1,,,,,
G3TLF4,G3TLF4_LOXAF,3.0,,1,1,1,,,,,,
H0YUW7,H0YUW7_TAEGU,3.0,,1,,1,1,,,,,
C3YT12,C3YT12_BRAFL,3.0,,,1,,,1,,,,1
H9GEX4,H9GEX4_ANOCA,3.0,,1,,1,1,,,,,
G1MYE8,G1MYE8_MELGA,3.0,,1,,1,1,,,,,
F6WJJ2,F6WJJ2_ORNAN,3.0,,1,,1,1,,,,,
F6RJN5,F6RJN5_CALJA,3.0,,1,1,1,,,,,,
F1R3X7,F1R3X7_DANRE,3.0,,1,1,1,,,,,,
H3CK96,H3CK96_TETNG,3.0,,1,,1,1,,,,,
B4P3W5,B4P3W5_DROYA,3.0,,,1,,1,1,,,,
B4NN31,B4NN31_DROWI,3.0,,,1,,1,1,,,,
M4A8H2,M4A8H2_XIPMA,3.0,,1,1,,1,,,,,
I3JZ54,I3JZ54_ORENI,3.0,,,1,1,1,,,,,
B0WPH7,B0WPH7_CULQU,3.0,,,1,,1,1,,,,
I3M117,I3M117_SPETR,3.0,,1,,1,1,,,,,
B4LM04,B4LM04_DROVI,3.0,,,1,,1,1,,,,
A8XZ66,A8XZ66_CAEBR,3.0,,,1,,1,1,,,,
B4J5B1,B4J5B1_DROGR,3.0,,,1,,1,1,,,,
Q16PA6,Q16PA6_AEDAE,3.0,,,1,,1,1,,,,
Q4TFA2,Q4TFA2_TETNG,3.0,,1,,,1,1,,,,
Q6DBS0,Q6DBS0_DANRE,3.0,,,,,,1,,1,,1
U3JH99,U3JH99_FICAL,2.0,,1,1,,,,,,,
F6RV73,F6RV73_CALJA,2.0,,1,,,1,,,,,
G1SWN7,G1SWN7_RABIT,2.0,,1,,,1,,,,,
U3IJW2,U3IJW2_ANAPL,2.0,,1,1,,,,,,,
Q9N4A9,Q9N4A9_CAEEL,2.0,,1,,,,,,,,1
E0VDZ9,E0VDZ9_PEDHC,2.0,,,1,,1,,,,,
F7H4L7,F7H4L7_MACMU,2.0,,1,,1,,,,,,
F7H4L4,F7H4L4_MACMU,2.0,,1,,,1,,,,,
G3TVV5,G3TVV5_LOXAF,2.0,,1,,,1,,,,,
B3MI79,B3MI79_DROAN,2.0,,,,,1,1,,,,
W5PMJ7,W5PMJ7_SHEEP,2.0,,1,1,,,,,,,
M3YUC9,M3YUC9_MUSPF,2.0,,1,,,1,,,,,
M3X235,M3X235_FELCA,2.0,,1,,,1,,,,,
W5N4W8,W5N4W8_LEPOC,2.0,,1,1,,,,,,,
B7Z8V7,B7Z8V7_HUMAN,2.0,,1,,,,,,1,,
H2Y9V2,H2Y9V2_CIOSA,2.0,,1,,,1,,,,,
B4KLK8,B4KLK8_DROMO,2.0,,,1,,1,,,,,
E5SN38,E5SN38_TRISP,1.0,,,1,,,,,,,
A0A0C4DGV3,A0A0C4DGV3_HUMAN,1.0,,1,,,,,,,,
A0A096MKG5,A0A096MKG5_RAT,1.0,,1,,,,,,,,
A0A096MGP0,A0A096MGP0_POEFO,1.0,,1,,,,,,,,
E9GJF7,E9GJF7_DAPPU,1.0,,,1,,,,,,,
A0A087XNJ4,A0A087XNJ4_POEFO,1.0,,1,,,,,,,,
A0A096NP16,A0A096NP16_PAPAN,1.0,,1,,,,,,,,
D6WSU1,D6WSU1_TRICA,1.0,,,,,1,,,,,
E3LRM9,E3LRM9_CAERE,1.0,,,1,,,,,,,
A0JN34,A0JN34_BOVIN,1.0,,,,,,1,,,,
A6H8J0,A6H8J0_XENLA,1.0,,,,,,,,1,,
A8P7D3,A8P7D3_BRUMA,1.0,,,1,,,,,,,
D6RHI4,D6RHI4_HUMAN,1.0,,1,,,,,,,,
B3N813,B3N813_DROER,1.0,,,,,1,,,,,
B4GHY7,B4GHY7_DROPE,1.0,,,,,1,,,,,
B4HSL5,B4HSL5_DROSE,1.0,,,,,1,,,,,
B4QGR4,B4QGR4_DROSI,1.0,,,,,1,,,,,
E9QC75,E9QC75_DANRE,1.0,,,,,1,,,,,
Z4YK42,Z4YK42_MOUSE,1.0,,1,,,,,,,,
G6DDZ6,G6DDZ6_DANPL,1.0,,,1,,,,,,,
F1PS79,F1PS79_CANFA,1.0,,,1,,,,,,,
F6RJG5,F6RJG5_CALJA,1.0,,1,,,,,,,,
W5N4X2,W5N4X2_LEPOC,1.0,,1,,,,,,,,
W5K781,W5K781_ASTMX,1.0,,1,,,,,,,,
W4WIW2,W4WIW2_ATTCE,1.0,,,1,,,,,,,
S4RCD6,S4RCD6_PETMA,1.0,,1,,,,,,,,
Q9XXI6,Q9XXI6_CAEEL,1.0,,1,,,,,,,,
Q9CUB4,Q9CUB4_MOUSE,1.0,,,,,,,,1,,
Q7RF67,Q7RF67_PLAYO,1.0,,,,,,1,,,,
Q5RBC5,Q5RBC5_PONAB,1.0,,,,,,,,1,,
Q4UIT9,Q4UIT9_THEAN,1.0,,,,,,1,,,,
Q4TJA3,Q4TJA3_TETNG,1.0,,,,,,,,1,,
Q4N6S5,Q4N6S5_THEPA,1.0,,,,,,1,,,,
Q28ZC2,Q28ZC2_DROPS,1.0,,,,,1,,,,,
Q14BL1,Q14BL1_MOUSE,1.0,,,,,,,,1,,
K1QXJ1,K1QXJ1_CRAGI,1.0,,,1,,,,,,,
J9K0Z6,J9K0Z6_ACYPI,1.0,,,,,1,,,,,
I3NF02,I3NF02_SPETR,1.0,,1,,,,,,,,
I1FDE1,I1FDE1_AMPQE,1.0,,,1,,,,,,,
H9JJQ5,H9JJQ5_BOMMO,1.0,,,,,1,,,,,
H3AS86,H3AS86_LATCH,1.0,,1,,,,,,,,
H2Y9V6,H2Y9V6_CIOSA,1.0,,1,,,,,,,,
H2Y9V3,H2Y9V3_CIOSA,1.0,,1,,,,,,,,
H2UA17,H2UA17_TAKRU,1.0,,1,,,,,,,,
H0Y9H7,H0Y9H7_HUMAN,1.0,,1,,,,,,,,
G3VIN7,G3VIN7_SARHA,1.0,,1,,,,,,,,
G3SW41,G3SW41_LOXAF,1.0,,1,,,,,,,,
G0MZ20,G0MZ20_CAEBE,1.0,,,1,,,,,,,
F7FX44,F7FX44_CALJA,1.0,,1,,,,,,,,
A0A087WQI8,A0A087WQI8_MOUSE,1.0,,1,,,,,,,,
