,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10506,ENSGT00530000063338,GAWQEVW,TF350825,EOG7F7W8T,NOG296621,HOG000060112,HBG079944,NA,Q9Y2Y4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9Y2Y4,ZBT32_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9Y2Y4,ZBT32_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9JKD9,ZBT32_MOUSE,6.0,1,1,,,,1,1,1,,1
B2RQ06,B2RQ06_MOUSE,6.0,1,1,1,1,1,,,1,,
D4A2U2,D4A2U2_RAT,5.0,1,1,1,1,1,,,,,
F7ASG1,F7ASG1_HORSE,5.0,1,1,1,1,1,,,,,
H2QG37,H2QG37_PANTR,5.0,1,1,1,1,1,,,,,
E1BHU5,E1BHU5_BOVIN,5.0,1,1,1,1,1,,,,,
G1L158,G1L158_AILME,5.0,1,1,1,1,1,,,,,
F7BU31,F7BU31_MACMU,5.0,1,1,1,1,1,,,,,
G1RKH5,G1RKH5_NOMLE,5.0,1,1,1,1,1,,,,,
H2NYH5,H2NYH5_PONAB,5.0,1,1,1,1,1,,,,,
H0WPA6,H0WPA6_OTOGA,4.0,,1,1,1,1,,,,,
G3RKV1,G3RKV1_GORGO,4.0,,1,1,1,1,,,,,
G1T401,G1T401_RABIT,4.0,,1,1,1,1,,,,,
M3W5T7,M3W5T7_FELCA,4.0,1,1,1,,1,,,,,
G3TLE7,G3TLE7_LOXAF,4.0,,1,1,1,1,,,,,
I3N7X8,I3N7X8_SPETR,4.0,,1,1,1,1,,,,,
F1RLH6,F1RLH6_PIG,4.0,,1,1,1,1,,,,,
H0V1I8,H0V1I8_CAVPO,4.0,,1,1,1,1,,,,,
G1PI64,G1PI64_MYOLU,4.0,,1,1,1,1,,,,,
A2T7E6,ZBT32_PANTR,3.0,,,,,,1,1,1,,
M3Y4D0,M3Y4D0_MUSPF,3.0,,1,1,,1,,,,,
H0XQV2,H0XQV2_OTOGA,2.0,,1,,1,,,,,,
H0V2H9,H0V2H9_CAVPO,2.0,,1,,1,,,,,,
H0VMK2,H0VMK2_CAVPO,2.0,,1,,1,,,,,,
H2RN01,H2RN01_TAKRU,2.0,,1,,1,,,,,,
F6Y0P3,F6Y0P3_CANFA,2.0,,1,,1,,,,,,
H2Q6A0,H2Q6A0_PANTR,2.0,,1,,1,,,,,,
H2Q4T2,H2Q4T2_PANTR,2.0,,1,,1,,,,,,
F6SZM5,F6SZM5_XENTR,2.0,,1,,1,,,,,,
H2LKA9,H2LKA9_ORYLA,2.0,,1,,1,,,,,,
F6XK25,F6XK25_MONDO,2.0,,1,,1,,,,,,
F6XFD8,F6XFD8_HORSE,2.0,,1,,1,,,,,,
H0YPB8,H0YPB8_TAEGU,2.0,,1,,1,,,,,,
H2MPX1,H2MPX1_ORYLA,2.0,,1,,1,,,,,,
H0ZZC3,H0ZZC3_TAEGU,2.0,,1,,1,,,,,,
H2MI73,H2MI73_ORYLA,2.0,,1,,1,,,,,,
H2NFC5,H2NFC5_PONAB,2.0,,1,,1,,,,,,
H0WHV6,H0WHV6_OTOGA,2.0,,1,,1,,,,,,
F6ZA78,F6ZA78_HORSE,2.0,,1,,1,,,,,,
F7BCK8,F7BCK8_CALJA,2.0,,1,,1,,,,,,
F7EEM9,F7EEM9_XENTR,2.0,,1,,1,,,,,,
F7HU71,F7HU71_MACMU,2.0,,1,,1,,,,,,
G1KGG1,G1KGG1_ANOCA,2.0,,1,,1,,,,,,
G1MVG4,G1MVG4_MELGA,2.0,,1,,1,,,,,,
G1NZ33,G1NZ33_MYOLU,2.0,,1,,1,,,,,,
G1Q4I8,G1Q4I8_MYOLU,2.0,,1,,1,,,,,,
G1R6V8,G1R6V8_NOMLE,2.0,,1,,1,,,,,,
G1SC59,G1SC59_NOMLE,2.0,,1,,1,,,,,,
G1ST46,G1ST46_RABIT,2.0,,1,,1,,,,,,
G1TZC7,G1TZC7_RABIT,2.0,,1,,1,,,,,,
G3W7U0,G3W7U0_SARHA,2.0,,1,,1,,,,,,
G3P9C1,G3P9C1_GASAC,2.0,,1,,1,,,,,,
G3PD80,G3PD80_GASAC,2.0,,1,,1,,,,,,
G3QC48,G3QC48_GASAC,2.0,,1,,1,,,,,,
G3QDJ1,G3QDJ1_GORGO,2.0,,1,,1,,,,,,
G3SH86,G3SH86_GORGO,2.0,,1,,1,,,,,,
H2S3C8,H2S3C8_TAKRU,2.0,,1,,1,,,,,,
G3TDK2,G3TDK2_LOXAF,2.0,,1,,1,,,,,,
G3UIF4,G3UIF4_LOXAF,2.0,,1,,1,,,,,,
G3VQ20,G3VQ20_SARHA,2.0,,1,,1,,,,,,
F6QCV3,F6QCV3_CALJA,2.0,,1,,1,,,,,,
F1SL78,F1SL78_PIG,2.0,,1,,1,,,,,,
H2SXC6,H2SXC6_TAKRU,2.0,,1,,1,,,,,,
I3L7G9,I3L7G9_PIG,2.0,,1,,1,,,,,,
I3MIW1,I3MIW1_SPETR,2.0,,1,,1,,,,,,
K7E0Z5,K7E0Z5_MONDO,2.0,,1,,,1,,,,,
E7FGS1,E7FGS1_DANRE,2.0,,1,,1,,,,,,
K7F1V0,K7F1V0_PELSI,2.0,,1,,1,,,,,,
K7FGP1,K7FGP1_PELSI,2.0,,1,,1,,,,,,
D3ZC02,D3ZC02_RAT,2.0,,1,,1,,,,,,
D2HVG4,D2HVG4_AILME,2.0,,1,,1,,,,,,
