,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000012766,NA,TF340411,NA,NOG75886,HOG000112006,HBG099380,NA,Q6PB30
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6PB30,CSAG1_HUMAN,6.0,,1,,1,,1,1,1,,1
Q6PB30,CSAG1_HUMAN,6.0,,1,,1,,1,1,1,,1
Q9Y5P2,CSAG2_HUMAN,3.0,,,,,,1,1,1,,
H2RG96,H2RG96_PANTR,2.0,,1,,1,,,,,,
H2PX39,H2PX39_PONAB,2.0,,1,,1,,,,,,
G3SDM9,G3SDM9_GORGO,2.0,,1,,1,,,,,,
G1RU81,G1RU81_NOMLE,2.0,,1,,1,,,,,,
F7I1E1,F7I1E1_CALJA,2.0,,1,,1,,,,,,
F7HCX1,F7HCX1_MACMU,2.0,,1,,1,,,,,,
H9KV60,H9KV60_HUMAN,1.0,,1,,,,,,,,
F7HCX3,F7HCX3_MACMU,1.0,,1,,,,,,,,
A0A096MMI5,A0A096MMI5_PAPAN,1.0,,1,,,,,,,,
A0A024RC18,A0A024RC18_HUMAN,1.0,,1,,,,,,,,
