,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K05434,NA,NA,TF336380,EOG7M98JN,NOG40525,HOG000113039,HBG052106,NA,Q9HBE4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9HBE4,IL21_HUMAN,7.0,1,,,1,1,1,1,1,,1
Q9ES17,IL21_MOUSE,7.0,1,,,1,1,1,1,1,,1
A3QPB9,IL21_RAT,7.0,1,,,1,1,1,1,1,,1
Q9HBE4,IL21_HUMAN,7.0,1,,,1,1,1,1,1,,1
Q6L7I9,IL21_CANFA,6.0,1,,,1,1,1,1,1,,
Q58IU6,Q58IU6_CHICK,5.0,1,,,1,1,1,,,,1
Q76LU6,IL21_PIG,4.0,1,,,,,1,1,1,,
Q76LU5,IL21_BOVIN,4.0,1,,,,,1,1,1,,
G1RE48,G1RE48_NOMLE,3.0,1,,,1,1,,,,,
F7I3A3,F7I3A3_CALJA,3.0,1,,,1,1,,,,,
F7EGQ8,F7EGQ8_MACMU,3.0,1,,,1,1,,,,,
G3QY93,G3QY93_GORGO,3.0,1,,,1,1,,,,,
F6TDR4,F6TDR4_HORSE,3.0,1,,,1,1,,,,,
H2QQ45,H2QQ45_PANTR,3.0,1,,,1,1,,,,,
H2PE90,H2PE90_PONAB,3.0,1,,,1,1,,,,,
G1T948,G1T948_RABIT,2.0,,,,1,1,,,,,
G1PH22,G1PH22_MYOLU,2.0,,,,1,1,,,,,
F7C7H2,F7C7H2_MONDO,2.0,,,,1,1,,,,,
G1NDN8,G1NDN8_MELGA,2.0,,,,1,1,,,,,
G1LH25,G1LH25_AILME,2.0,,,,1,1,,,,,
G3SXC9,G3SXC9_LOXAF,2.0,,,,1,1,,,,,
F1MZV7,F1MZV7_BOVIN,2.0,,,,1,1,,,,,
B2BLM0,B2BLM0_XENTR,2.0,1,,,,1,,,,,
A5J0L5,A5J0L5_MOUSE,2.0,,,,,,,1,1,,
G3S164,G3S164_GORGO,2.0,,,,1,1,,,,,
A1YYP5,A1YYP5_DANRE,2.0,1,,,,1,,,,,
G3VK15,G3VK15_SARHA,2.0,,,,1,1,,,,,
I3MIK7,I3MIK7_SPETR,2.0,,,,1,1,,,,,
Q5SUE2,Q5SUE2_MOUSE,2.0,1,,,,,,,1,,
Q599U2,Q599U2_TAKRU,2.0,1,,,1,,,,,,
H0VLF2,H0VLF2_CAVPO,2.0,,,,1,1,,,,,
M3W5A3,M3W5A3_FELCA,2.0,1,,,,1,,,,,
H0YUU7,H0YUU7_TAEGU,2.0,1,,,1,,,,,,
H0WYI9,H0WYI9_OTOGA,2.0,,,,1,1,,,,,
H6SGV5,H6SGV5_SHEEP,1.0,1,,,,,,,,,
I3IYT3,I3IYT3_ORENI,1.0,,,,1,,,,,,
H3C6J0,H3C6J0_TETNG,1.0,,,,1,,,,,,
K7GRI1,K7GRI1_PIG,1.0,,,,,1,,,,,
F1RQN2,F1RQN2_PIG,1.0,,,,1,,,,,,
M3Z119,M3Z119_MUSPF,1.0,,,,,1,,,,,
E9PX58,E9PX58_MOUSE,1.0,1,,,,,,,,,
D2HN52,D2HN52_AILME,1.0,,,,,,,1,,,
B8XJJ1,B8XJJ1_ONYLE,1.0,,,,,,,,1,,
H0YUU5,H0YUU5_TAEGU,1.0,,,,,1,,,,,
B2BHG7,B2BHG7_ORYLA,1.0,1,,,,,,,,,
Q80XG2,IL21_PERMA,1.0,,,,,,,,1,,
G7P680,G7P680_MACFA,1.0,1,,,,,,,,,
