,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11650,ENSGT00390000017809,RAAFYHE,TF106486,NA,COG5531,NA,HBG054046,NA,Q6STE5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6P9Z1,SMRD3_MOUSE,7.0,1,1,1,1,,1,,1,,1
Q6STE5,SMRD3_HUMAN,7.0,1,1,1,1,,1,,1,,1
Q6STE5,SMRD3_HUMAN,7.0,1,1,1,1,,1,,1,,1
B2KL77,B2KL77_DANRE,6.0,1,1,,1,,1,,1,,1
Q5U3Y2,Q5U3Y2_RAT,6.0,1,1,1,,,1,,1,,1
Q99JR8,SMRD2_MOUSE,5.0,1,1,,1,,1,,1,,
Q28BL9,Q28BL9_XENTR,5.0,1,1,,1,,1,,1,,
Q61466,SMRD1_MOUSE,5.0,1,1,,1,,1,,1,,
Q92925,SMRD2_HUMAN,5.0,1,1,,1,,1,,1,,
Q96GM5,SMRD1_HUMAN,5.0,1,1,,1,,1,,1,,
O54772,SMRD2_RAT,5.0,1,1,,1,,1,,1,,
Q556Z0,SNF12_DICDI,4.0,1,,1,,,1,,,,1
H2QVN0,H2QVN0_PANTR,4.0,1,1,1,1,,,,,,
Q17QK5,Q17QK5_BOVIN,4.0,,1,1,1,,,,1,,
F1NJN5,F1NJN5_CHICK,4.0,1,1,1,1,,,,,,
E2RKB7,E2RKB7_CANFA,4.0,1,1,1,1,,,,,,
F7H1V4,F7H1V4_MACMU,4.0,1,1,1,1,,,,,,
Q802C8,Q802C8_DANRE,4.0,1,1,,1,,,,1,,
F6R7T1,F6R7T1_MONDO,4.0,1,1,1,1,,,,,,
Q09646,Q09646_CAEEL,4.0,1,1,,,,1,,,,1
H2PP31,H2PP31_PONAB,4.0,1,1,1,1,,,,,,
O02101,O02101_CAEEL,4.0,1,1,,,,1,,,,1
Q556Z0,SNF12_DICDI,4.0,1,,1,,,1,,,,1
G3UHP9,G3UHP9_LOXAF,3.0,,1,1,1,,,,,,
Q9FMT4,SNF12_ARATH,3.0,1,,,,,1,,,,1
A7RQW4,A7RQW4_NEMVE,3.0,1,,,,,1,,,,1
A7T7Q2,A7T7Q2_NEMVE,3.0,1,,,,,1,,,,1
Q7QI39,Q7QI39_ANOGA,3.0,1,,,,,1,,,,1
G3RMF2,G3RMF2_GORGO,3.0,1,1,,1,,,,,,
Q147F4,Q147F4_ARATH,3.0,1,,,,,1,,,,1
Q7RWI8,Q7RWI8_NEUCR,3.0,1,,,,,1,,,,1
A7F7E1,A7F7E1_SCLS1,3.0,1,,,,,1,,,,1
Q9VYG2,BAP60_DROME,3.0,1,1,,,,,,,,1
Q7Q7F6,Q7Q7F6_ANOGA,3.0,1,,,,,1,,,,1
I3MDZ9,I3MDZ9_SPETR,3.0,,1,1,1,,,,,,
G3WBD4,G3WBD4_SARHA,3.0,,1,1,1,,,,,,
G3QFJ9,G3QFJ9_GORGO,3.0,,1,1,1,,,,,,
C3ZR38,C3ZR38_BRAFL,3.0,1,,,,,1,,,,1
