,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K06112,ENSGT00650000092997,PQEPYDV,TF316816,EOG7FV3PH,COG5021,NA,HBG007091,NA,Q5TCQ9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5TCQ9,MAGI3_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q5TCQ9,MAGI3_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q9EQJ9,MAGI3_MOUSE,6.0,1,1,,,1,1,,1,,1
Q5VSD9,Q5VSD9_DANRE,5.0,,1,,1,1,1,,1,,
F1SBQ7,F1SBQ7_PIG,5.0,1,1,1,1,1,,,,,
G1QWH6,G1QWH6_NOMLE,5.0,1,1,1,1,1,,,,,
Q9WVQ1,MAGI2_MOUSE,5.0,,1,,1,1,1,,1,,
E1BM96,E1BM96_BOVIN,5.0,1,1,1,1,1,,,,,
Q6RHR9,MAGI1_MOUSE,5.0,,1,,1,1,1,,1,,
G3QTQ3,G3QTQ3_GORGO,4.0,,1,1,1,1,,,,,
H0WH01,H0WH01_OTOGA,4.0,,1,1,1,1,,,,,
H3B9P2,H3B9P2_LATCH,4.0,1,1,,1,1,,,,,
H1A4I8,H1A4I8_TAEGU,4.0,,1,1,1,1,,,,,
G3PAH7,G3PAH7_GASAC,4.0,,1,1,1,1,,,,,
Q96QZ7,MAGI1_HUMAN,4.0,,1,,1,,1,,1,,
G3W9T2,G3W9T2_SARHA,4.0,,1,1,1,1,,,,,
H2MM99,H2MM99_ORYLA,4.0,,1,1,1,1,,,,,
G5E8T6,G5E8T6_MOUSE,4.0,1,1,1,1,,,,,,
H2PZP4,H2PZP4_PANTR,4.0,,1,1,1,1,,,,,
G1NXN9,G1NXN9_MYOLU,4.0,,1,1,1,1,,,,,
Q9JK71,MAGI3_RAT,4.0,1,,,,,1,,1,,1
F7H7L4,F7H7L4_MACMU,4.0,,1,1,1,1,,,,,
G1L9K5,G1L9K5_AILME,4.0,,1,1,1,1,,,,,
I3M688,I3M688_SPETR,4.0,,1,1,1,1,,,,,
F7AV49,F7AV49_MONDO,4.0,,1,1,1,1,,,,,
F1M7S0,F1M7S0_RAT,4.0,,1,1,1,1,,,,,
F1NFT2,F1NFT2_CHICK,4.0,,1,1,1,1,,,,,
Q5F488,MAGI3_CHICK,4.0,1,,,,,1,,1,,1
J9P535,J9P535_CANFA,4.0,1,1,1,,1,,,,,
Q86UL8,MAGI2_HUMAN,4.0,,1,,1,1,,,1,,
H0V912,H0V912_CAVPO,4.0,,1,1,1,1,,,,,
F7B6N8,F7B6N8_ORNAN,4.0,,1,1,1,1,,,,,
H2U666,H2U666_TAKRU,3.0,,1,,1,1,,,,,
M3Y1M8,M3Y1M8_MUSPF,3.0,,1,1,,1,,,,,
H2LTW6,H2LTW6_ORYLA,3.0,,1,,1,1,,,,,
K7F727,K7F727_PELSI,3.0,,1,,1,1,,,,,
K7F7B0,K7F7B0_PELSI,3.0,,1,,1,1,,,,,
K7GBX4,K7GBX4_PELSI,3.0,,1,,1,1,,,,,
H0ZH11,H0ZH11_TAEGU,3.0,,1,,1,1,,,,,
H0YWU2,H0YWU2_TAEGU,3.0,,1,,1,1,,,,,
H2LVK0,H2LVK0_ORYLA,3.0,,1,,1,1,,,,,
H0WXE4,H0WXE4_OTOGA,3.0,,1,,1,1,,,,,
H2ZDG2,H2ZDG2_CIOSA,3.0,,1,,1,1,,,,,
H3AIC2,H3AIC2_LATCH,3.0,,1,,1,1,,,,,
H0WG42,H0WG42_OTOGA,3.0,,1,,1,1,,,,,
H3D3K3,H3D3K3_TETNG,3.0,,1,,1,1,,,,,
H0VT08,H0VT08_CAVPO,3.0,,1,,1,1,,,,,
H2XS58,H2XS58_CIOIN,3.0,,1,,1,1,,,,,
H2M4B5,H2M4B5_ORYLA,3.0,,1,,1,1,,,,,
H3DLR6,H3DLR6_TETNG,3.0,,1,,1,1,,,,,
H2M4U2,H2M4U2_ORYLA,3.0,,1,,1,1,,,,,
I3NGJ9,I3NGJ9_SPETR,3.0,,1,,1,1,,,,,
H3D0N4,H3D0N4_TETNG,3.0,,1,,1,1,,,,,
H2MMW5,H2MMW5_ORYLA,3.0,,1,,1,1,,,,,
H2N6B8,H2N6B8_PONAB,3.0,,1,,1,1,,,,,
H2PAB7,H2PAB7_PONAB,3.0,,1,,1,1,,,,,
I3LZJ7,I3LZJ7_SPETR,3.0,,1,,1,1,,,,,
H2PN21,H2PN21_PONAB,3.0,,1,,1,1,,,,,
H9G696,H9G696_ANOCA,3.0,,1,,1,1,,,,,
H2UWD2,H2UWD2_TAKRU,3.0,,1,,1,1,,,,,
H2QMW6,H2QMW6_PANTR,3.0,,1,,1,1,,,,,
H2QUU4,H2QUU4_PANTR,3.0,,1,,1,1,,,,,
H2T0I2,H2T0I2_TAKRU,3.0,,1,,1,1,,,,,
H2TQ35,H2TQ35_TAKRU,3.0,,1,,1,1,,,,,
H3D1G1,H3D1G1_TETNG,3.0,,1,,1,1,,,,,
G1M2A1,G1M2A1_AILME,3.0,,1,,1,1,,,,,
H0UXX2,H0UXX2_CAVPO,3.0,,1,,1,1,,,,,
F6SFU0,F6SFU0_ORNAN,3.0,,1,,1,1,,,,,
F7GGD1,F7GGD1_MACMU,3.0,,1,,1,1,,,,,
F7EIF5,F7EIF5_XENTR,3.0,,1,,1,1,,,,,
F7D9X8,F7D9X8_CALJA,3.0,,1,,1,1,,,,,
F7D8N5,F7D8N5_XENTR,3.0,,1,,1,1,,,,,
F7CFB3,F7CFB3_MONDO,3.0,,1,,1,1,,,,,
F7BDV7,F7BDV7_HORSE,3.0,,1,,1,1,,,,,
F7AVA2,F7AVA2_CALJA,3.0,,1,1,,1,,,,,
F6Y537,F6Y537_HORSE,3.0,,1,,1,1,,,,,
F6TM54,F6TM54_MONDO,3.0,,1,,1,1,,,,,
F6RPE4,F6RPE4_HORSE,3.0,,1,,1,1,,,,,
G1K8D3,G1K8D3_ANOCA,3.0,,1,,1,1,,,,,
F6QMY5,F6QMY5_XENTR,3.0,,1,,1,1,,,,,
E1B7V9,E1B7V9_BOVIN,3.0,,1,,1,1,,,,,
F6PQQ3,F6PQQ3_ORNAN,3.0,,1,,1,1,,,,,
F1SFS1,F1SFS1_PIG,3.0,,1,,1,1,,,,,
F1R535,F1R535_DANRE,3.0,,1,,1,1,,,,,
F1PK57,F1PK57_CANFA,3.0,,1,,1,1,,,,,
F1NMZ1,F1NMZ1_CHICK,3.0,,1,,1,1,,,,,
F1NEX7,F1NEX7_CHICK,3.0,,1,,1,1,,,,,
E7FH65,E7FH65_DANRE,3.0,,1,,1,1,,,,,
F7GYU6,F7GYU6_MACMU,3.0,,1,,1,1,,,,,
G1KIH9,G1KIH9_ANOCA,3.0,,1,,1,1,,,,,
G3WYI4,G3WYI4_SARHA,3.0,,1,,1,1,,,,,
G3NEJ3,G3NEJ3_GASAC,3.0,,1,,1,1,,,,,
G3URX0,G3URX0_MELGA,3.0,,1,1,1,,,,,,
G3UDU3,G3UDU3_LOXAF,3.0,,1,,1,1,,,,,
G3TK70,G3TK70_LOXAF,3.0,,1,,1,1,,,,,
G3SCC1,G3SCC1_GORGO,3.0,,1,,1,1,,,,,
G3QG32,G3QG32_GORGO,3.0,,1,,1,1,,,,,
G3Q915,G3Q915_GASAC,3.0,,1,,1,1,,,,,
G3PDZ0,G3PDZ0_GASAC,3.0,,1,,1,1,,,,,
G3P3Z5,G3P3Z5_GASAC,3.0,,1,,1,1,,,,,
G3NLU6,G3NLU6_GASAC,3.0,,1,,1,1,,,,,
G1TDL1,G1TDL1_RABIT,3.0,,1,,1,1,,,,,
W5QEY3,W5QEY3_SHEEP,3.0,1,1,1,,,,,,,
G1SYG2,G1SYG2_RABIT,3.0,,1,,1,1,,,,,
G1SFD3,G1SFD3_RABIT,3.0,,1,,1,1,,,,,
G1RMP0,G1RMP0_NOMLE,3.0,,1,,1,1,,,,,
G1REP3,G1REP3_NOMLE,3.0,,1,,1,1,,,,,
G1PQF0,G1PQF0_MYOLU,3.0,,1,,1,1,,,,,
G1PFM2,G1PFM2_MYOLU,3.0,,1,,1,1,,,,,
G1NTR8,G1NTR8_MYOLU,3.0,,1,,1,1,,,,,
G1NAH9,G1NAH9_MELGA,3.0,,1,,1,1,,,,,
G1N2N4,G1N2N4_MELGA,3.0,,1,,1,1,,,,,
G3T127,G3T127_LOXAF,3.0,,1,,1,1,,,,,
E9QIL2,E9QIL2_DANRE,3.0,,1,,1,1,,,,,
U3JDD5,U3JDD5_FICAL,3.0,1,1,1,,,,,,,
A1A5G4,MAGI3_XENTR,3.0,1,,,,,1,,1,,
B4MKD0,B4MKD0_DROWI,2.0,,,,,1,1,,,,
M4ATU5,M4ATU5_XIPMA,2.0,,1,,,1,,,,,
H2VB43,H2VB43_TAKRU,2.0,,1,,,1,,,,,
M4A3J3,M4A3J3_XIPMA,2.0,,1,,,1,,,,,
M3ZZL4,M3ZZL4_XIPMA,2.0,,1,,,1,,,,,
M3ZR67,M3ZR67_XIPMA,2.0,,1,,,1,,,,,
H2VB44,H2VB44_TAKRU,2.0,,1,,1,,,,,,
M3ZDQ4,M3ZDQ4_XIPMA,2.0,,1,,,1,,,,,
M3Z3K7,M3Z3K7_MUSPF,2.0,,1,,,1,,,,,
M3YZS4,M3YZS4_MUSPF,2.0,,1,,,1,,,,,
F7D6P7,F7D6P7_CALJA,2.0,,1,,,1,,,,,
B7QDA5,B7QDA5_IXOSC,2.0,,,,,1,,,,,1
F7BV35,F7BV35_CALJA,2.0,,1,,1,,,,,,
M3WXB8,M3WXB8_FELCA,2.0,,1,,,1,,,,,
M3WB91,M3WB91_FELCA,2.0,,1,,,1,,,,,
M3WB18,M3WB18_FELCA,2.0,,1,,,1,,,,,
M0R8T1,M0R8T1_RAT,2.0,,1,,,1,,,,,
M4ARH7,M4ARH7_XIPMA,2.0,,1,,,1,,,,,
O88382,MAGI2_RAT,2.0,,,,,,1,,1,,
H2ZVR4,H2ZVR4_LATCH,2.0,,1,,1,,,,,,
B0R0T3,B0R0T3_DANRE,2.0,,1,,1,,,,,,
H2MHG3,H2MHG3_ORYLA,2.0,,1,,1,,,,,,
Q17PE8,Q17PE8_AEDAE,2.0,,,,,1,1,,,,
Q16SY7,Q16SY7_AEDAE,2.0,,,,,1,1,,,,
H2RMK0,H2RMK0_TAKRU,2.0,,1,,1,,,,,,
H2S6L9,H2S6L9_TAKRU,2.0,,1,,,1,,,,,
H2S6M0,H2S6M0_TAKRU,2.0,,1,,1,,,,,,
G3PEQ1,G3PEQ1_GASAC,2.0,,1,,1,,,,,,
H2SZ45,H2SZ45_TAKRU,2.0,,1,,1,,,,,,
G1M7X3,G1M7X3_AILME,2.0,,1,,,1,,,,,
Q9W2L2,Q9W2L2_DROME,2.0,,1,,,,,,,,1
G3N6W2,G3N6W2_GASAC,2.0,,1,,1,,,,,,
Q9W2L2,Q9W2L2_DROME,2.0,,1,,,,,,,,1
E9QJD5,E9QJD5_DANRE,2.0,,1,,,1,,,,,
U3I4H1,U3I4H1_ANAPL,2.0,,1,1,,,,,,,
G1N0J0,G1N0J0_MELGA,2.0,,1,,,1,,,,,
G1M7Z3,G1M7Z3_AILME,2.0,,1,,1,,,,,,
H2ZS03,H2ZS03_LATCH,2.0,,1,,,1,,,,,
C1P635,C1P635_CAEEL,2.0,,1,,,,,,,,1
E7F3J4,E7F3J4_DANRE,2.0,,1,,1,,,,,,
F1P759,F1P759_CANFA,2.0,,1,,1,,,,,,
H3D4N4,H3D4N4_TETNG,2.0,,1,,1,,,,,,
I3IU20,I3IU20_ORENI,2.0,,,,1,1,,,,,
I3KX05,I3KX05_ORENI,2.0,,,,1,1,,,,,
H3CM15,H3CM15_TETNG,2.0,,1,,1,,,,,,
W5MYN9,W5MYN9_LEPOC,2.0,,1,1,,,,,,,
I3KKZ0,I3KKZ0_ORENI,2.0,,,,1,1,,,,,
H3CJJ0,H3CJJ0_TETNG,2.0,,1,,,1,,,,,
I3KIK5,I3KIK5_ORENI,2.0,,,,1,1,,,,,
F1QZB9,F1QZB9_DANRE,2.0,,1,,,1,,,,,
J9NWS2,J9NWS2_CANFA,2.0,,1,,,1,,,,,
E7F2U1,E7F2U1_DANRE,2.0,,1,,1,,,,,,
A3KNJ1,A3KNJ1_DANRE,2.0,,1,,,,1,,,,
D3ZY03,D3ZY03_RAT,2.0,,1,,,1,,,,,
H7C5T8,H7C5T8_HUMAN,2.0,,1,,,1,,,,,
D3YT29,D3YT29_CAEEL,2.0,,1,,,1,,,,,
I3KBX1,I3KBX1_ORENI,2.0,,,,1,1,,,,,
I3KBX7,I3KBX7_ORENI,2.0,,,,1,1,,,,,
F1Q5Z0,F1Q5Z0_DANRE,2.0,,1,,1,,,,,,
F1PUA8,F1PUA8_CANFA,2.0,,1,,1,,,,,,
K7EE65,K7EE65_ORNAN,2.0,,1,,,1,,,,,
H3AXP7,H3AXP7_LATCH,2.0,,1,,,1,,,,,
A7S157,A7S157_NEMVE,2.0,,,,,1,,,,,1
B9HR64,B9HR64_POPTR,1.0,,,,,,1,,,,
B9GFY1,B9GFY1_POPTR,1.0,,,,,,1,,,,
B9GCX0,B9GCX0_ORYSJ,1.0,,,,,,1,,,,
B9GN81,B9GN81_POPTR,1.0,,,,,,1,,,,
A2VDP7,A2VDP7_BOVIN,1.0,,,,,,1,,,,
B9G485,B9G485_ORYSJ,1.0,,,,,,1,,,,
