,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00420000029802,SYNGHSS,TF323255,EOG7JDQX4,COG0564,HOG000167783,HBG103625,NA,Q8IZ73
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q149F1,RUSD2_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8IZ73,RUSD2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8IZ73,RUSD2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
D4ACD4,D4ACD4_RAT,5.0,,1,1,1,1,,,,,1
O16686,YK27_CAEEL,5.0,,1,1,,1,1,,,,1
D4ACD4,D4ACD4_RAT,5.0,,1,1,1,1,,,,,1
A7RMP5,A7RMP5_NEMVE,5.0,,,1,,1,1,1,,,1
D2GWA4,D2GWA4_AILME,5.0,,1,1,1,1,,1,,,
F7IDT6,F7IDT6_CALJA,4.0,,1,1,1,1,,,,,
Q5TP89,Q5TP89_ANOGA,4.0,,,,,1,1,1,,,1
F1P0G3,F1P0G3_CHICK,4.0,,1,1,1,1,,,,,
F1PK69,F1PK69_CANFA,4.0,,1,1,1,1,,,,,
F6WAG4,F6WAG4_MONDO,4.0,,1,1,1,1,,,,,
F6X570,F6X570_HORSE,4.0,,1,1,1,1,,,,,
F7BCP9,F7BCP9_MACMU,4.0,,1,1,1,1,,,,,
F1N088,F1N088_BOVIN,4.0,,1,1,1,1,,,,,
G1MVM2,G1MVM2_MELGA,4.0,,1,1,1,1,,,,,
G3QUX9,G3QUX9_GORGO,4.0,,1,1,1,1,,,,,
H0VN70,H0VN70_CAVPO,4.0,,1,1,1,1,,,,,
H0WQT8,H0WQT8_OTOGA,4.0,,1,1,1,1,,,,,
H2ML60,H2ML60_ORYLA,4.0,,1,1,1,1,,,,,
H2NMU7,H2NMU7_PONAB,4.0,,1,1,1,1,,,,,
H2Q965,H2Q965_PANTR,4.0,,1,1,1,1,,,,,
H3BCU7,H3BCU7_LATCH,4.0,,1,1,1,1,,,,,
I3NH80,I3NH80_SPETR,4.0,,1,1,1,1,,,,,
G3TFG0,G3TFG0_LOXAF,4.0,,1,1,1,1,,,,,
G1PAH0,G1PAH0_MYOLU,4.0,,1,1,1,1,,,,,
Q12069,PUS9_YEAST,4.0,,1,,,,1,1,,,1
Q9VKU8,Q9VKU8_DROME,4.0,,1,,,1,1,,,,1
Q9VKU8,Q9VKU8_DROME,4.0,,1,,,1,1,,,,1
B3RVS9,B3RVS9_TRIAD,4.0,,,1,,1,1,1,,,
G3WQU0,G3WQU0_SARHA,3.0,,1,,1,1,,,,,
M3WKA7,M3WKA7_FELCA,3.0,,1,1,,1,,,,,
B4MUA7,B4MUA7_DROWI,3.0,,,1,,1,1,,,,
K7G1H0,K7G1H0_PELSI,3.0,,1,,1,1,,,,,
H0ZAG5,H0ZAG5_TAEGU,3.0,,1,,1,1,,,,,
B4LVB6,B4LVB6_DROVI,3.0,,,1,,1,1,,,,
G3P1G0,G3P1G0_GASAC,3.0,,1,,1,1,,,,,
I3KW27,I3KW27_ORENI,3.0,,,1,1,1,,,,,
B4JQ05,B4JQ05_DROGR,3.0,,,1,,1,1,,,,
Q09709,YA32_SCHPO,3.0,,,,,,1,1,,,1
B8C9J1,B8C9J1_THAPS,3.0,,,,,,1,1,,,1
H9GKD2,H9GKD2_ANOCA,3.0,,1,,1,1,,,,,
H3DIX3,H3DIX3_TETNG,3.0,,1,,1,1,,,,,
M3YAU5,M3YAU5_MUSPF,3.0,,1,1,,1,,,,,
H2Z6U9,H2Z6U9_CIOSA,3.0,,1,,1,1,,,,,
G1TA43,G1TA43_RABIT,3.0,,1,,1,1,,,,,
G1QS40,G1QS40_NOMLE,3.0,,1,,1,1,,,,,
Q17LU3,Q17LU3_AEDAE,3.0,,,,,1,1,1,,,
F7DPP2,F7DPP2_ORNAN,3.0,,1,,1,1,,,,,
F6YAC2,F6YAC2_XENTR,3.0,,1,,1,1,,,,,
P53294,PUS6_YEAST,3.0,,,,,,1,1,,,1
Q9LU60,PUS7_ARATH,3.0,,,,,,1,1,,,1
E7FFJ5,E7FFJ5_DANRE,3.0,,1,,1,1,,,,,
Q12362,RIB2_YEAST,3.0,,1,,,,,1,,,1
M4AFW8,M4AFW8_XIPMA,2.0,,1,,,1,,,,,
B4JQ06,B4JQ06_DROGR,2.0,,,,,1,1,,,,
B0W634,B0W634_CULQU,2.0,,,,,1,1,,,,
B3MJJ0,B3MJJ0_DROAN,2.0,,,,,1,1,,,,
B9W8E1,B9W8E1_CANDC,2.0,,,,,,1,1,,,
Q86P70,Q86P70_DROME,2.0,,,,,1,1,,,,
B3MJJ1,B3MJJ1_DROAN,2.0,,,,,1,1,,,,
C3YH76,C3YH76_BRAFL,2.0,,,,,,1,,,,1
H2Z6U7,H2Z6U7_CIOSA,2.0,,1,,1,,,,,,
H2Y2B3,H2Y2B3_CIOIN,2.0,,1,,,1,,,,,
A7EIE5,A7EIE5_SCLS1,2.0,,,,,,1,,,,1
Q59PV5,Q59PV5_CANAL,2.0,,,,,,1,,,,1
Q54UF9,Q54UF9_DICDI,2.0,,,,,,1,,,,1
Q4RM58,Q4RM58_TETNG,2.0,,,,,,1,,1,,
A4S4A1,A4S4A1_OSTLU,2.0,,,,,,1,1,,,
C5DCE4,C5DCE4_LACTC,2.0,,,,,,1,1,,,
Q00ZE4,Q00ZE4_OSTTA,2.0,,,,,,1,1,,,
A2EYQ7,A2EYQ7_TRIVA,2.0,,,,,,1,,,,1
C5DU40,C5DU40_ZYGRC,2.0,,,,,,1,1,,,
B4P0P9,B4P0P9_DROYA,2.0,,,,,1,1,,,,
B4MUA8,B4MUA8_DROWI,2.0,,,,,1,1,,,,
Q6C1Z1,Q6C1Z1_YARLI,2.0,,,,,,,1,,,1
B4LVB5,B4LVB5_DROVI,2.0,,,,,1,1,,,,
C4R1Q9,C4R1Q9_PICPG,2.0,,,,,,1,1,,,
H2U835,H2U835_TAKRU,2.0,,1,,,1,,,,,
H2U836,H2U836_TAKRU,2.0,,1,,1,,,,,,
H2XRA6,H2XRA6_CIOIN,2.0,,1,,,1,,,,,
B4KHQ9,B4KHQ9_DROMO,2.0,,,1,,1,,,,,
W5QG81,W5QG81_SHEEP,2.0,,1,1,,,,,,,
Q9VKV0,Q9VKV0_DROME,2.0,,1,,,,,,,,1
A8XVV3,A8XVV3_CAEBR,2.0,,,1,,1,,,,,
Q0E0Y3,PUS7_ORYSJ,2.0,,,,,,1,1,,,
B9IFG5,B9IFG5_POPTR,2.0,,,,,,1,1,,,
W5L1Q0,W5L1Q0_ASTMX,2.0,,1,1,,,,,,,
B8AIL8,B8AIL8_ORYSI,2.0,,,,,,1,1,,,
Q9VKV0,Q9VKV0_DROME,2.0,,1,,,,,,,,1
U3JEG5,U3JEG5_FICAL,2.0,,1,1,,,,,,,
A9UX27,A9UX27_MONBE,2.0,,,,,,1,,,,1
W5NC11,W5NC11_LEPOC,2.0,,1,1,,,,,,,
B2G7F9,B2G7F9_LACRJ,1.0,,,,,,1,,,,
B2G9U4,B2G9U4_LACRJ,1.0,,,,,,1,,,,
B2G914,B2G914_LACRJ,1.0,,,,,,1,,,,
B2G6J2,B2G6J2_LACRJ,1.0,,,,,,1,,,,
A9W6A7,A9W6A7_METEP,1.0,,,,,,1,,,,
B2GCW7,B2GCW7_LACF3,1.0,,,,,,1,,,,
B2FRR8,B2FRR8_STRMK,1.0,,,,,,1,,,,
B2FQL9,B2FQL9_STRMK,1.0,,,,,,1,,,,
A9WI48,A9WI48_CHLAA,1.0,,,,,,1,,,,
B2FN08,B2FN08_STRMK,1.0,,,,,,1,,,,
B2GB66,B2GB66_LACF3,1.0,,,,,,1,,,,
B0TR64,B0TR64_SHEHH,1.0,,,,,,1,,,,
B2GE13,B2GE13_LACF3,1.0,,,,,,1,,,,
B2HW17,B2HW17_ACIBC,1.0,,,,,,1,,,,
B2IFH6,B2IFH6_BEII9,1.0,,,,,,1,,,,
B2IDF0,B2IDF0_BEII9,1.0,,,,,,1,,,,
B2I9W8,B2I9W8_XYLF2,1.0,,,,,,1,,,,
B2I8R5,B2I8R5_XYLF2,1.0,,,,,,1,,,,
B2I2T8,B2I2T8_ACIBC,1.0,,,,,,1,,,,
B2I0U1,B2I0U1_ACIBC,1.0,,,,,,1,,,,
B2HUN1,B2HUN1_ACIBC,1.0,,,,,,1,,,,
B2GEE6,B2GEE6_LACF3,1.0,,,,,,1,,,,
B2HTT8,B2HTT8_ACIBC,1.0,,,,,,1,,,,
B2HQ68,B2HQ68_MYCMM,1.0,,,,,,1,,,,
B2HDX3,B2HDX3_MYCMM,1.0,,,,,,1,,,,
B2GJN8,B2GJN8_KOCRD,1.0,,,,,,1,,,,
B2GFH2,B2GFH2_KOCRD,1.0,,,,,,1,,,,
B2FI39,B2FI39_STRMK,1.0,,,,,,1,,,,
B2FM91,B2FM91_STRMK,1.0,,,,,,1,,,,
B1ZYD0,B1ZYD0_OPITP,1.0,,,,,,1,,,,
