,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000007874,TYYNWRR,TF332015,EOG715Q3M,NOG45094,NA,HBG051024,NA,Q9H8Y1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9H8Y1,VRTN_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q3SYK4,VRTN_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q3SYK4,VRTN_MOUSE,7.0,,1,1,1,1,1,,1,,1
H3BGV4,H3BGV4_LATCH,4.0,,1,1,1,1,,,,,
I3LVD7,I3LVD7_PIG,4.0,,1,1,1,1,,,,,
G3U617,G3U617_LOXAF,4.0,,1,1,1,1,,,,,
G3X3F1,G3X3F1_SARHA,4.0,,1,1,1,1,,,,,
G5E573,G5E573_BOVIN,4.0,,1,1,1,1,,,,,
H0WBX8,H0WBX8_CAVPO,4.0,,1,1,1,1,,,,,
H0XSM9,H0XSM9_OTOGA,4.0,,1,1,1,1,,,,,
H0ZPF7,H0ZPF7_TAEGU,4.0,,1,1,1,1,,,,,
H2MT81,H2MT81_ORYLA,4.0,,1,1,1,1,,,,,
H2U731,H2U731_TAKRU,4.0,,1,1,1,1,,,,,
G1S2H1,G1S2H1_NOMLE,4.0,,1,1,1,1,,,,,
H3D064,H3D064_TETNG,4.0,,1,1,1,1,,,,,
G1NJ59,G1NJ59_MELGA,4.0,,1,1,1,1,,,,,
I3MS98,I3MS98_SPETR,4.0,,1,1,1,1,,,,,
G3PHK2,G3PHK2_GASAC,4.0,,1,1,1,1,,,,,
K7EX71,K7EX71_PELSI,4.0,,1,1,1,1,,,,,
Q08C99,VRTN_DANRE,4.0,,,,1,,1,,1,,1
G1KSL7,G1KSL7_ANOCA,4.0,,1,1,1,1,,,,,
F7HQX8,F7HQX8_CALJA,4.0,,1,1,1,1,,,,,
F7APM8,F7APM8_MACMU,4.0,,1,1,1,1,,,,,
F7AG57,F7AG57_MONDO,4.0,,1,1,1,1,,,,,
E2RT97,E2RT97_CANFA,4.0,,1,1,1,1,,,,,
G3QDV0,G3QDV0_GORGO,4.0,,1,1,1,1,,,,,
I3IWK7,I3IWK7_ORENI,3.0,,,1,1,1,,,,,
M0RCR3,M0RCR3_RAT,3.0,,1,1,,1,,,,,
M3X868,M3X868_FELCA,3.0,,1,1,,1,,,,,
M3Z7H4,M3Z7H4_MUSPF,3.0,,1,1,,1,,,,,
M4AGE1,M4AGE1_XIPMA,3.0,,1,1,,1,,,,,
G1U0P2,G1U0P2_RABIT,3.0,,1,,1,1,,,,,
Z4YHZ3,Z4YHZ3_DANRE,2.0,,1,1,,,,,,,
W5NMF0,W5NMF0_LEPOC,2.0,,1,1,,,,,,,
I3LRQ1,I3LRQ1_PIG,2.0,,1,,,1,,,,,
R4GL35,R4GL35_CHICK,2.0,,1,1,,,,,,,
U3J5R7,U3J5R7_ANAPL,2.0,,1,1,,,,,,,
U3KLE1,U3KLE1_FICAL,2.0,,1,1,,,,,,,
W5LTF9,W5LTF9_ASTMX,2.0,,1,1,,,,,,,
G3V537,G3V537_HUMAN,1.0,,1,,,,,,,,
Q4SC09,Q4SC09_TETNG,1.0,,,,,,,,1,,
A0A087YAR3,A0A087YAR3_POEFO,1.0,,1,,,,,,,,
