,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000065031,RCQEPSA,TF337147,EOG7X6KZS,NOG76884,NA,HBG073497,NA,Q0VD83
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8VBT6,APOBR_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q0VD83,APOBR_HUMAN,7.0,,1,1,1,1,1,,1,,1
D4A7C9,D4A7C9_RAT,5.0,,1,1,1,1,,,,,1
G3TPL7,G3TPL7_LOXAF,4.0,,1,1,1,1,,,,,
H2NQJ0,H2NQJ0_PONAB,4.0,,1,1,1,1,,,,,
G1T4P2,G1T4P2_RABIT,4.0,,1,1,1,1,,,,,
G3QFJ7,G3QFJ7_GORGO,4.0,,1,1,1,1,,,,,
F6Z3X5,F6Z3X5_HORSE,4.0,,1,1,1,1,,,,,
F6YSW2,F6YSW2_MACMU,4.0,,1,1,1,1,,,,,
H0UYM2,H0UYM2_CAVPO,4.0,,1,1,1,1,,,,,
H0Y2G5,H0Y2G5_OTOGA,4.0,,1,1,1,1,,,,,
H2QAU6,H2QAU6_PANTR,4.0,,1,1,1,1,,,,,
I3NG20,I3NG20_SPETR,4.0,,1,1,1,1,,,,,
E1BG05,E1BG05_BOVIN,4.0,,1,1,1,1,,,,,
G1NZI9,G1NZI9_MYOLU,4.0,,1,1,1,1,,,,,
G1MA80,G1MA80_AILME,3.0,,1,,1,1,,,,,
I3LF86,I3LF86_PIG,3.0,,1,,1,1,,,,,
M3X6P0,M3X6P0_FELCA,3.0,,1,1,,1,,,,,
F7GF66,F7GF66_CALJA,3.0,,1,,1,1,,,,,
M3YMS0,M3YMS0_MUSPF,3.0,,1,1,,1,,,,,
G1QLP0,G1QLP0_NOMLE,3.0,,1,,1,1,,,,,
F6UL53,F6UL53_CANFA,2.0,,1,,1,,,,,,
W5NYT0,W5NYT0_SHEEP,2.0,,1,1,,,,,,,
G3WDX8,G3WDX8_SARHA,2.0,,1,,,1,,,,,
J9P5P9,J9P5P9_CANFA,2.0,,1,,,1,,,,,
G3MXE5,G3MXE5_BOVIN,1.0,,1,,,,,,,,
U3KP72,U3KP72_RABIT,1.0,,1,,,,,,,,
K7EB47,K7EB47_ORNAN,1.0,,1,,,,,,,,
Q9NS13,Q9NS13_HUMAN,1.0,,,,,,,,1,,
A7T432,A7T432_NEMVE,1.0,,,,,1,,,,,
A7RRS4,A7RRS4_NEMVE,1.0,,,,,1,,,,,
A0A096NHP7,A0A096NHP7_PAPAN,1.0,,1,,,,,,,,
