,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063579,ACSTAFF,TF105936,EOG7992Q8,NOG291944,HOG000039078,HBG097429,NA,Q9H9V9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q08BY5,JMJD4_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q8BFT6,JMJD4_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9H9V9,JMJD4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8BFT6,JMJD4_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9H9V9,JMJD4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A7SG66,A7SG66_NEMVE,5.0,,,1,,1,1,1,,,1
D4A029,D4A029_RAT,5.0,,1,1,1,1,,,,,1
A0NF16,A0NF16_ANOGA,5.0,,,1,,1,1,1,,,1
K7FSE8,K7FSE8_PELSI,4.0,,1,1,1,1,,,,,
F1S5T5,F1S5T5_PIG,4.0,,1,1,1,1,,,,,
Q5ZHV5,JMJD4_CHICK,4.0,,,,,,1,1,1,,1
G3W4V0,G3W4V0_SARHA,4.0,,1,1,1,1,,,,,
Q14V35,Q14V35_CAEEL,4.0,,1,,,1,1,,,,1
I3M7E3,I3M7E3_SPETR,4.0,,1,1,1,1,,,,,
G1RV43,G1RV43_NOMLE,4.0,,1,1,1,1,,,,,
G3TN52,G3TN52_LOXAF,4.0,,1,1,1,1,,,,,
G3PZI5,G3PZI5_GASAC,4.0,,1,1,1,1,,,,,
F1NX61,F1NX61_CHICK,4.0,,1,1,1,1,,,,,
H2MTC8,H2MTC8_ORYLA,4.0,,1,1,1,1,,,,,
F7B456,F7B456_XENTR,4.0,,1,1,1,1,,,,,
G1MIK1,G1MIK1_AILME,4.0,,1,1,1,1,,,,,
F6X626,F6X626_MONDO,4.0,,1,1,1,1,,,,,
A7TCE0,A7TCE0_NEMVE,4.0,,,,,1,1,1,,,1
H0WQZ5,H0WQZ5_OTOGA,4.0,,1,1,1,1,,,,,
H2UG37,H2UG37_TAKRU,4.0,,1,1,1,1,,,,,
G1MUQ5,G1MUQ5_MELGA,4.0,,1,1,1,1,,,,,
F1N531,F1N531_BOVIN,4.0,,1,1,1,1,,,,,
H0VR99,H0VR99_CAVPO,4.0,,1,1,1,1,,,,,
H0YPM2,H0YPM2_TAEGU,4.0,,1,1,1,1,,,,,
H2Q191,H2Q191_PANTR,4.0,,1,1,1,1,,,,,
F7GP81,F7GP81_MACMU,4.0,,1,1,1,1,,,,,
M3WMY1,M3WMY1_FELCA,3.0,,1,1,,1,,,,,
M3ZUC6,M3ZUC6_XIPMA,3.0,,1,1,,1,,,,,
H2N3I1,H2N3I1_PONAB,3.0,,1,,1,1,,,,,
H3CST7,H3CST7_TETNG,3.0,,1,,1,1,,,,,
F1PTC7,F1PTC7_CANFA,3.0,,1,,1,1,,,,,
H2XLQ6,H2XLQ6_CIOIN,3.0,,1,,1,1,,,,,
I3JSR6,I3JSR6_ORENI,3.0,,,1,1,1,,,,,
H3ACV5,H3ACV5_LATCH,3.0,,1,,1,1,,,,,
H9G9Y6,H9G9Y6_ANOCA,3.0,,1,,1,1,,,,,
B4JDK2,B4JDK2_DROGR,3.0,,,1,,1,1,,,,
Q16JP5,Q16JP5_AEDAE,3.0,,,,,1,1,1,,,
G1U8A8,G1U8A8_RABIT,3.0,,1,,1,1,,,,,
