,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000010116,MTTEGFD,TF314592,EOG7ZD1TP,NOG251943,HOG000258608,HBG061770,NA,Q86WT1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A7YE96,TT30A_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q86WT1,TT30A_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q99J38,T30A1_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9CY00,TT30B_MOUSE,7.0,,1,,1,1,1,1,1,,1
A2VE45,TT30A_BOVIN,7.0,,1,1,1,1,1,1,1,,
A6H739,TT30B_BOVIN,6.0,,1,,1,1,1,1,1,,
Q4QQS2,T30A2_RAT,6.0,,1,,1,1,1,1,1,,
A2AKQ8,T30A2_MOUSE,6.0,,,,1,1,1,1,1,,1
Q8N4P2,TT30B_HUMAN,6.0,,1,,1,1,1,1,1,,
A7RJI3,A7RJI3_NEMVE,5.0,,,1,,1,1,1,,,1
Q9VK41,TTC30_DROME,5.0,,1,1,,1,1,,,,1
Q9VK41,TTC30_DROME,5.0,,1,1,,1,1,,,,1
D2HVR1,D2HVR1_AILME,4.0,,1,,1,1,,1,,,
F7I9I7,F7I9I7_CALJA,4.0,,1,1,1,1,,,,,
G1SUB6,G1SUB6_RABIT,4.0,,1,1,1,1,,,,,
F6TGV9,F6TGV9_MACMU,4.0,,1,1,1,1,,,,,
G3SWQ9,G3SWQ9_LOXAF,4.0,,1,1,1,1,,,,,
H2P7Z2,H2P7Z2_PONAB,4.0,,1,1,1,1,,,,,
G1MMX4,G1MMX4_AILME,4.0,,1,1,1,1,,,,,
D2HVR0,D2HVR0_AILME,4.0,,1,,1,1,,1,,,
Q7PRA4,TTC30_ANOGA,4.0,,,,,1,1,1,,,1
Q8I7G4,TTC30_CAEEL,4.0,,1,,,,1,1,,,1
Q8I7G4,TTC30_CAEEL,4.0,,1,,,,1,1,,,1
B4JSP6,B4JSP6_DROGR,3.0,,,1,,1,1,,,,
G1P411,G1P411_MYOLU,3.0,,1,,1,1,,,,,
G3R2X0,G3R2X0_GORGO,3.0,,1,,1,1,,,,,
G3PQ47,G3PQ47_GASAC,3.0,,1,,1,1,,,,,
G1T1G9,G1T1G9_RABIT,3.0,,1,,1,1,,,,,
G3X2Y6,G3X2Y6_SARHA,3.0,,1,,1,1,,,,,
G1R2A6,G1R2A6_NOMLE,3.0,,1,,1,1,,,,,
B3RQ17,B3RQ17_TRIAD,3.0,,,,,1,1,1,,,
G3TE99,G3TE99_LOXAF,3.0,,1,,1,1,,,,,
F7ACT7,F7ACT7_MONDO,3.0,,1,,1,1,,,,,
G1NB50,G1NB50_MELGA,3.0,,1,,1,1,,,,,
F7ANB6,F7ANB6_CIOIN,3.0,,1,,1,1,,,,,
F6WM92,F6WM92_ORNAN,3.0,,1,,1,1,,,,,
F1PXX8,F1PXX8_CANFA,3.0,,1,,1,1,,,,,
F1NET7,F1NET7_CHICK,3.0,,1,,1,1,,,,,
H0XV18,H0XV18_OTOGA,3.0,,1,,1,1,,,,,
E9ADL7,E9ADL7_LEIMA,3.0,,,1,,,,1,,,1
B2RYD6,TT30B_RAT,3.0,,,,,,1,,1,,1
B7QNY7,B7QNY7_IXOSC,3.0,,,,,1,1,,,,1
A8XBR9,TTC30_CAEBR,3.0,,,,,1,1,1,,,
B8C4I9,B8C4I9_THAPS,3.0,,,,,,1,1,,,1
B0W6L8,B0W6L8_CULQU,3.0,,,,,1,1,1,,,
H0UUG2,H0UUG2_CAVPO,3.0,,1,,1,1,,,,,
F7FQT4,F7FQT4_MACMU,3.0,,1,,1,1,,,,,
H0ZFM5,H0ZFM5_TAEGU,3.0,,1,,1,1,,,,,
I3M1Y2,I3M1Y2_SPETR,3.0,,1,,1,1,,,,,
Q16JL4,TTC30_AEDAE,3.0,,,,,1,1,1,,,
H2L3T5,H2L3T5_ORYLA,3.0,,1,,1,1,,,,,
M3Z5X9,M3Z5X9_MUSPF,3.0,,1,1,,1,,,,,
Q580S6,Q580S6_TRYB2,3.0,,,1,,,1,1,,,
M3X544,M3X544_FELCA,3.0,,1,1,,1,,,,,
Q29L58,TTC30_DROPS,3.0,,,1,,1,1,,,,
J9NS73,J9NS73_CANFA,3.0,,1,,1,1,,,,,
K7F0C1,K7F0C1_PELSI,3.0,,1,,1,1,,,,,
H3D143,H3D143_TETNG,3.0,,1,,1,1,,,,,
H2P7Z1,H2P7Z1_PONAB,3.0,,1,,1,1,,,,,
H9GIK3,H9GIK3_ANOCA,3.0,,1,,1,1,,,,,
H2R2J6,H2R2J6_PANTR,3.0,,1,,1,1,,,,,
H2RLP1,H2RLP1_TAKRU,3.0,,1,,1,1,,,,,
H3B1D3,H3B1D3_LATCH,3.0,,1,,1,1,,,,,
C3Z7W1,C3Z7W1_BRAFL,2.0,,,,,,1,,,,1
D2HVR2,D2HVR2_AILME,2.0,,,1,,,,1,,,
A9UY49,A9UY49_MONBE,2.0,,,,,,1,,,,1
B4M4X7,B4M4X7_DROVI,2.0,,,,,1,1,,,,
B4MUG9,B4MUG9_DROWI,2.0,,,,,1,1,,,,
A2F1C5,A2F1C5_TRIVA,2.0,,,,,,1,,,,1
A2D955,A2D955_TRIVA,2.0,,,,,,1,,,,1
B2RXQ0,B2RXQ0_MOUSE,2.0,,1,,,,,,1,,
B4P2L3,B4P2L3_DROYA,2.0,,,,,1,1,,,,
B3MNH0,B3MNH0_DROAN,2.0,,,,,1,1,,,,
Q4SAT0,Q4SAT0_TETNG,2.0,,,,,,1,,1,,
A4I452,A4I452_LEIIN,2.0,,,1,,,1,,,,
F7EJA9,F7EJA9_XENTR,2.0,,1,,,1,,,,,
L7N180,L7N180_MYOLU,2.0,,1,,,1,,,,,
H9J044,H9J044_BOMMO,2.0,,,1,,1,,,,,
I3JSR4,I3JSR4_ORENI,2.0,,,,1,1,,,,,
A4IHR1,TT30A_XENTR,2.0,,,,,,1,,1,,
W5QEC5,W5QEC5_SHEEP,2.0,,1,1,,,,,,,
A8BK24,A8BK24_GIAIC,2.0,,,1,,,,,,,1
B4DL36,B4DL36_HUMAN,2.0,,,,,,1,,1,,
M3X6J5,M3X6J5_FELCA,2.0,,1,,,1,,,,,
A7TC17,A7TC17_NEMVE,2.0,,,,,1,1,,,,
F6TRP6,F6TRP6_XENTR,2.0,,1,,1,,,,,,
M4AF89,M4AF89_XIPMA,2.0,,1,,,1,,,,,
B2RXA2,B2RXA2_MOUSE,1.0,,,,,,,,1,,
A0A0A0MXW2,A0A0A0MXW2_RAT,1.0,,1,,,,,,,,
A2HJW5,A2HJW5_TRIVA,1.0,,,,,,1,,,,
A7T2P8,A7T2P8_NEMVE,1.0,,,,,,1,,,,
A0A096MXE8,A0A096MXE8_PAPAN,1.0,,1,,,,,,,,
A0A096MWJ6,A0A096MWJ6_PAPAN,1.0,,1,,,,,,,,
A9RT02,A9RT02_PHYPA,1.0,,,,,,,,,,1
B3N3A6,B3N3A6_DROER,1.0,,,,,1,,,,,
A8ITN7,A8ITN7_CHLRE,1.0,,,,,,1,,,,
W5QED4,W5QED4_SHEEP,1.0,,1,,,,,,,,
B4H8V6,B4H8V6_DROPE,1.0,,,,,1,,,,,
G6DKL6,G6DKL6_DANPL,1.0,,,1,,,,,,,
W5MIM4,W5MIM4_LEPOC,1.0,,1,,,,,,,,
W5MIL0,W5MIL0_LEPOC,1.0,,1,,,,,,,,
W5L2H8,W5L2H8_ASTMX,1.0,,1,,,,,,,,
U3KLG4,U3KLG4_FICAL,1.0,,1,,,,,,,,
S4R4Q5,S4R4Q5_PETMA,1.0,,1,,,,,,,,
R0LJ48,R0LJ48_ANAPL,1.0,,1,,,,,,,,
Q6INU8,TT30A_XENLA,1.0,,,,,,,,1,,
Q4R4A9,Q4R4A9_MACFA,1.0,,,,,,,,1,,
M9PDD5,M9PDD5_DROME,1.0,,,1,,,,,,,
J9JQR1,J9JQR1_ACYPI,1.0,,,,,1,,,,,
H2QJ18,H2QJ18_PANTR,1.0,,1,,,,,,,,
F7I9I6,F7I9I6_CALJA,1.0,,1,,,,,,,,
B4IEE7,B4IEE7_DROSE,1.0,,,,,1,,,,,
F6WM82,F6WM82_ORNAN,1.0,,1,,,,,,,,
E9BKG2,E9BKG2_LEIDB,1.0,,,,,,,1,,,
E9AM64,E9AM64_LEIMU,1.0,,,,,,,1,,,
E0VV87,E0VV87_PEDHC,1.0,,,,,1,,,,,
D7FMZ3,D7FMZ3_ECTSI,1.0,,,,,,,1,,,
D6WPZ4,D6WPZ4_TRICA,1.0,,,,,1,,,,,
D0NBX7,D0NBX7_PHYIT,1.0,,,,,,,1,,,
C3Z7W0,C3Z7W0_BRAFL,1.0,,,,,,1,,,,
C1E1V6,C1E1V6_MICSR,1.0,,,,,,,1,,,
B4Q4B4,B4Q4B4_DROSI,1.0,,,,,1,,,,,
B4KCM2,B4KCM2_DROMO,1.0,,,,,1,,,,,
A0A087XRT7,A0A087XRT7_POEFO,1.0,,1,,,,,,,,
