,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K14347,ENSGT00390000011932,LKFVDQG,TF329411,EOG78H3TG,COG0385,NA,HBG082064,NA,Q0GE19
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q0GE19,NTCP7_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q6DHK8,NTCP7_DANRE,8.0,1,1,1,1,1,1,,1,,1
Q0GE19,NTCP7_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q5PT53,NTCP7_MOUSE,8.0,1,1,1,1,1,1,,1,,1
Q5PT53,NTCP7_MOUSE,8.0,1,1,1,1,1,1,,1,,1
Q5PT50,NTCP7_RAT,7.0,1,1,1,,1,1,,1,,1
B6EAV6,B6EAV6_PIG,7.0,1,1,1,1,1,1,,1,,
Q5ZJH8,NTCP7_CHICK,6.0,1,1,,,1,1,,1,,1
A7RQA6,A7RQA6_NEMVE,5.0,1,,1,,1,1,,,,1
G1T3K2,G1T3K2_RABIT,5.0,1,1,1,1,1,,,,,
Q32LB4,Q32LB4_BOVIN,5.0,1,1,,1,1,1,,,,
E2R8R9,E2R8R9_CANFA,5.0,1,1,1,1,1,,,,,
H2V6L0,H2V6L0_TAKRU,4.0,,1,1,1,1,,,,,
H2RCD4,H2RCD4_PANTR,4.0,,1,1,1,1,,,,,
F6RA41,F6RA41_HORSE,4.0,,1,1,1,1,,,,,
K7GG64,K7GG64_PELSI,4.0,,1,1,1,1,,,,,
F6TJS2,F6TJS2_CIOIN,4.0,,1,1,1,1,,,,,
F6Y5D0,F6Y5D0_MONDO,4.0,,1,1,1,1,,,,,
H0VT89,H0VT89_CAVPO,4.0,,1,1,1,1,,,,,
A6V6D7,A6V6D7_PSEA7,4.0,1,,1,,,1,,,,1
H2LCU7,H2LCU7_ORYLA,4.0,,1,1,1,1,,,,,
H0WZ10,H0WZ10_OTOGA,4.0,,1,1,1,1,,,,,
F7C2N0,F7C2N0_ORNAN,4.0,1,1,1,1,,,,,,
A6V6D7,A6V6D7_PSEA7,4.0,1,,1,,,1,,,,1
H0YWP9,H0YWP9_TAEGU,4.0,,1,1,1,1,,,,,
G3SLU2,G3SLU2_LOXAF,4.0,,1,1,1,1,,,,,
A9USA8,A9USA8_MONBE,4.0,1,,1,,,1,,,,1
Q05131,YMS4_YEAST,4.0,1,1,,,,1,,,,1
G1MXJ2,G1MXJ2_MELGA,4.0,,1,1,1,1,,,,,
H3D105,H3D105_TETNG,4.0,,1,1,1,1,,,,,
C3YS18,C3YS18_BRAFL,4.0,1,,1,,,1,,,,1
H2ZQ78,H2ZQ78_CIOSA,4.0,,1,1,1,1,,,,,
G3Q413,G3Q413_GASAC,4.0,,1,1,1,1,,,,,
M3VZM1,M3VZM1_FELCA,4.0,1,1,1,,1,,,,,
F7GFD4,F7GFD4_MACMU,4.0,,1,1,1,1,,,,,
Q3JWV7,Q3JWV7_BURP1,3.0,1,,1,,,1,,,,
Q3KB61,Q3KB61_PSEPF,3.0,1,,1,,,1,,,,
Q475G6,Q475G6_CUPPJ,3.0,1,,1,,,1,,,,
A7MML9,A7MML9_CROS8,3.0,1,,1,,,1,,,,
A7IM87,A7IM87_XANP2,3.0,1,,1,,,1,,,,
Q39CA3,Q39CA3_BURL3,3.0,1,,1,,,1,,,,
A7HGE8,A7HGE8_ANADF,3.0,1,,1,,,1,,,,
Q3BND7,Q3BND7_XANC5,3.0,1,,1,,,1,,,,
H2PEF9,H2PEF9_PONAB,3.0,,1,1,1,,,,,,
B7GZ33,B7GZ33_ACIB3,3.0,1,,1,,,1,,,,
Q59UQ7,Q59UQ7_CANAL,3.0,1,,,,,1,,,,1
A7FHX7,A7FHX7_YERP3,3.0,1,,1,,,1,,,,
Q48CZ0,Q48CZ0_PSE14,3.0,1,,1,,,1,,,,
G1ME30,G1ME30_AILME,3.0,,1,1,1,,,,,,
A5VQJ9,A5VQJ9_BRUO2,3.0,1,,1,,,1,,,,
G1R0S0,G1R0S0_NOMLE,3.0,1,1,,,1,,,,,
A5W484,A5W484_PSEP1,3.0,1,,1,,,1,,,,
B8BSE3,B8BSE3_THAPS,3.0,1,,,,,1,,,,1
