,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,TF330991,EOG79CZ05,NOG75444,HOG000234339,HBG003563,NA,Q7Z4J2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q7Z4J2,GL6D1_HUMAN,6.0,,,,1,1,1,1,1,,1
Q2NKH9,GL6D1_MOUSE,6.0,,,,1,1,1,1,1,,1
A2AUQ7,GTA1L_MOUSE,5.0,,,,1,1,1,1,1,,
P14769,GGTA1_BOVIN,4.0,,,,1,,1,1,1,,
P50127,GGTA1_PIG,4.0,,,,1,,1,1,1,,
A0A4Z3,A3LT2_RAT,3.0,,,,1,,,1,1,,
D3ZNQ3,GL6D1_RAT,3.0,,,,1,1,,,,,1
Q9DBU1,Q9DBU1_MOUSE,3.0,,,,1,,,1,1,,
Q8VI38,GBGT1_MOUSE,3.0,,,,1,,,1,1,,
P23336,GGTA1_MOUSE,3.0,,,,,,1,1,1,,
P38649,BGAT_MOUSE,3.0,,,,1,,,1,1,,
Q28IV5,Q28IV5_XENTR,3.0,,,,1,,,1,1,,
Q2YDM8,GL6D1_BOVIN,3.0,,,,,,1,1,1,,
Q3L7M0,GGTA1_RAT,3.0,,,,,,1,1,1,,
Q3V1N9,A3LT2_MOUSE,3.0,,,,1,,,1,1,,
A2CED6,A2CED6_DANRE,3.0,,,,1,,,1,1,,
B0R0W7,B0R0W7_DANRE,3.0,,,,1,,,1,1,,
A0JNE4,A0JNE4_BOVIN,3.0,,,,1,,,1,1,,
Q8CFC4,BGAT2_RAT,3.0,,,,1,,,1,1,,
A2AUQ8,A2AUQ8_MOUSE,3.0,,,,1,,,1,1,,
Q9ET32,BGAT1_RAT,3.0,,,,1,,,1,1,,
B0S7I1,B0S7I1_DANRE,3.0,,,,1,,,1,1,,
D3ZNQ3,GL6D1_RAT,3.0,,,,1,1,,,,,1
Q66IC5,Q66IC5_DANRE,2.0,,,,,,,1,1,,
Q17QE7,Q17QE7_BOVIN,2.0,,,,,,,1,1,,
Q14BP7,Q14BP7_MOUSE,2.0,,,,,,,1,1,,
J9P1L4,J9P1L4_CANFA,2.0,,,,1,1,,,,,
Q8C2H7,Q8C2H7_MOUSE,2.0,,,,,,,1,1,,
Q3L7L9,Q3L7L9_RAT,2.0,,,,,,,1,1,,
O97551,O97551_PANTR,2.0,,,,,,,1,1,,
O97549,O97549_PANTR,2.0,,,,,,,1,1,,
Q8N5D6,GBGT1_HUMAN,2.0,,,,1,,,,1,,
Q5ZLK4,GBGT1_CHICK,2.0,,,,,,,1,1,,
H0UZR1,H0UZR1_CAVPO,2.0,,,,1,1,,,,,
I3MTK8,I3MTK8_SPETR,2.0,,,,1,1,,,,,
F6VWU9,F6VWU9_HORSE,2.0,,,,1,1,,,,,
A0JND7,A0JND7_BOVIN,2.0,,,,,,,1,1,,
A0JPB9,A0JPB9_XENTR,2.0,,,,,,,1,1,,
A2BIR9,A2BIR9_DANRE,2.0,,,,1,,,,1,,
A2CED1,A2CED1_DANRE,2.0,,,,1,,,,1,,
B0R0W5,B0R0W5_DANRE,2.0,,,,1,,,,1,,
E1B8Y5,E1B8Y5_BOVIN,2.0,,,,1,1,,,,,
E1BBZ2,E1BBZ2_BOVIN,2.0,,,,1,1,,,,,
F1S002,F1S002_PIG,2.0,,,,1,1,,,,,
F6S5C0,F6S5C0_HORSE,2.0,,,,1,1,,,,,
F7FKE2,F7FKE2_MACMU,2.0,,,,1,1,,,,,
H2R628,H2R628_PANTR,2.0,,,,1,1,,,,,
G1L9E9,G1L9E9_AILME,2.0,,,,1,1,,,,,
G1Q1S5,G1Q1S5_MYOLU,2.0,,,,1,1,,,,,
G1RC29,G1RC29_NOMLE,2.0,,,,1,1,,,,,
G3QXW9,G3QXW9_GORGO,2.0,,,,1,1,,,,,
G3TPT7,G3TPT7_LOXAF,2.0,,,,1,1,,,,,
G3TT39,G3TT39_LOXAF,2.0,,,,1,1,,,,,
G3V9Q9,GTA1L_RAT,2.0,,,,1,1,,,,,
H0XHS5,H0XHS5_OTOGA,2.0,,,,1,1,,,,,
H0XLI3,H0XLI3_OTOGA,2.0,,,,1,1,,,,,
Q8SQ20,GGTA1_CALJA,2.0,,,,,,,1,1,,
H2PTX6,H2PTX6_PONAB,2.0,,,,1,1,,,,,
Q9TTN2,Q9TTN2_PANTR,2.0,,,,,,,1,1,,
Q9TUE0,Q9TUE0_MACMU,2.0,,,,,,,1,1,,
Q9TUD9,Q9TUD9_PANTR,2.0,,,,,,,1,1,,
Q9TTN3,Q9TTN3_PANTR,2.0,,,,,,,1,1,,
Q9TTN4,Q9TTN4_9PRIM,2.0,,,,,,,1,1,,
Q9TUB0,Q9TUB0_PANTR,2.0,,,,,,,1,1,,
Q95158,GBGT1_CANFA,2.0,,,,,,,1,1,,
Q91W00,Q91W00_MOUSE,2.0,,,,,,,1,1,,
Q9MYN2,Q9MYN2_PANTR,2.0,,,,,,,1,1,,
Q9GM54,Q9GM54_9PRIM,2.0,,,,,,,1,1,,
F6U9Z3,F6U9Z3_MONDO,1.0,,,,1,,,,,,
F6UBV2,F6UBV2_XENTR,1.0,,,,1,,,,,,
F6UX61,F6UX61_HORSE,1.0,,,,1,,,,,,
F6UY75,F6UY75_MONDO,1.0,,,,1,,,,,,
F6V1U3,F6V1U3_ORNAN,1.0,,,,1,,,,,,
F6VEF8,F6VEF8_XENTR,1.0,,,,1,,,,,,
F6WUM3,F6WUM3_MACMU,1.0,,,,1,,,,,,
