,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00730000110996,KYTSHYP,TF331838,EOG7BGHKM,NOG48006,HOG000059600,HBG055114,NA,Q8TBE7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5M7A3,S35G2_RAT,8.0,,1,1,1,1,1,1,1,,1
Q8TBE7,S35G2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8TBE7,S35G2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q5BLI7,Q5BLI7_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q5M7A3,S35G2_RAT,8.0,,1,1,1,1,1,1,1,,1
Q17QG0,Q17QG0_BOVIN,7.0,,1,1,1,1,1,1,1,,
D3YVE8,S35G2_MOUSE,6.0,,1,1,1,1,,1,,,1
A4IIL1,A4IIL1_XENTR,6.0,,1,1,1,1,,1,1,,
D2HQS0,D2HQS0_AILME,5.0,,1,1,1,1,,1,,,
G1Q398,G1Q398_MYOLU,4.0,,1,1,1,1,,,,,
G1QVG9,G1QVG9_NOMLE,4.0,,1,1,1,1,,,,,
G3NHB4,G3NHB4_GASAC,4.0,,1,1,1,1,,,,,
K7F098,K7F098_PELSI,4.0,,1,1,1,1,,,,,
I3LKR9,I3LKR9_PIG,4.0,,1,1,1,1,,,,,
H2PBI5,H2PBI5_PONAB,4.0,,1,1,1,1,,,,,
G3RNK1,G3RNK1_GORGO,4.0,,1,1,1,1,,,,,
G1MSV7,G1MSV7_MELGA,4.0,,1,1,1,1,,,,,
G5E734,G5E734_LOXAF,4.0,,1,1,1,1,,,,,
H3AFU2,H3AFU2_LATCH,4.0,,1,1,1,1,,,,,
H0WD23,H0WD23_CAVPO,4.0,,1,1,1,1,,,,,
H0WQP2,H0WQP2_OTOGA,4.0,,1,1,1,1,,,,,
H2R810,H2R810_PANTR,4.0,,1,1,1,1,,,,,
H0ZA32,H0ZA32_TAEGU,4.0,,1,1,1,1,,,,,
G3VUD0,G3VUD0_SARHA,4.0,,1,1,1,1,,,,,
G1KGY1,G1KGY1_ANOCA,4.0,,1,1,1,1,,,,,
H2M1Y8,H2M1Y8_ORYLA,4.0,,1,1,1,1,,,,,
Q5ZJZ4,S35G2_CHICK,4.0,,,,,,1,1,1,,1
E2RHX8,E2RHX8_CANFA,4.0,,1,1,1,1,,,,,
F7FYT9,F7FYT9_ORNAN,4.0,,1,1,1,1,,,,,
F1NYY1,F1NYY1_CHICK,4.0,,1,1,1,1,,,,,
F7CUE7,F7CUE7_HORSE,4.0,,1,1,1,1,,,,,
F6TAG1,F6TAG1_MACMU,4.0,,1,1,1,1,,,,,
B0V0X3,B0V0X3_DANRE,4.0,,1,,1,1,,,1,,
F6XNS5,F6XNS5_MONDO,4.0,,1,1,1,1,,,,,
F7C511,F7C511_CALJA,4.0,,1,1,1,1,,,,,
H0XMC4,H0XMC4_OTOGA,3.0,,1,,1,1,,,,,
F1PI80,F1PI80_CANFA,3.0,,1,,1,1,,,,,
H0VRW5,H0VRW5_CAVPO,3.0,,1,,1,1,,,,,
F6XWI5,F6XWI5_CALJA,3.0,,1,,1,1,,,,,
H2M9K1,H2M9K1_ORYLA,3.0,,1,,1,1,,,,,
G3UL52,G3UL52_LOXAF,3.0,,1,,1,1,,,,,
F7B784,F7B784_ORNAN,3.0,,1,,1,1,,,,,
G1ME82,G1ME82_AILME,3.0,,1,,1,1,,,,,
C3YAV5,C3YAV5_BRAFL,3.0,,,1,,,1,,,,1
G3P9R2,G3P9R2_GASAC,3.0,,1,,1,1,,,,,
G1TRB4,G1TRB4_RABIT,3.0,,1,,1,1,,,,,
G1RE49,G1RE49_NOMLE,3.0,,1,,1,1,,,,,
F7DKR7,F7DKR7_HORSE,3.0,,1,,1,1,,,,,
F7HB46,F7HB46_MACMU,3.0,,1,,1,1,,,,,
G3R236,G3R236_GORGO,3.0,,1,,1,1,,,,,
