,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000046839,QATPSHE,NA,EOG7PCJH8,NOG236702,HOG000111235,HBG056520,NA,Q9BT23
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BT23,LIMD2_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q8BGB5,LIMD2_MOUSE,7.0,,1,1,,1,1,1,1,,1
Q4KM31,LIMD2_RAT,7.0,,1,1,,1,1,1,1,,1
Q9BT23,LIMD2_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q8BGB5,LIMD2_MOUSE,7.0,,1,1,,1,1,1,1,,1
Q4KM31,LIMD2_RAT,7.0,,1,1,,1,1,1,1,,1
Q1LZA7,LIMD2_BOVIN,6.0,,1,1,,1,1,1,1,,
Q5M7M5,Q5M7M5_XENTR,5.0,,1,,,1,1,1,1,,
Q5ZHN0,Q5ZHN0_CHICK,4.0,,,,,,1,1,1,,1
G3QNA3,G3QNA3_GORGO,3.0,,1,1,,1,,,,,
G1SLH0,G1SLH0_RABIT,3.0,,1,1,,1,,,,,
M3X190,M3X190_FELCA,3.0,,1,1,,1,,,,,
K7F988,K7F988_PELSI,3.0,,1,1,,1,,,,,
H0XVJ6,H0XVJ6_OTOGA,3.0,,1,1,,1,,,,,
E1C059,E1C059_CHICK,3.0,,1,1,,1,,,,,
H0YUP4,H0YUP4_TAEGU,3.0,,1,1,,1,,,,,
G1PIM5,G1PIM5_MYOLU,3.0,,1,1,,1,,,,,
E2RGH6,E2RGH6_CANFA,3.0,,1,1,,1,,,,,
A7RF11,A7RF11_NEMVE,3.0,,,1,,,1,1,,,
G3P5P8,G3P5P8_GASAC,3.0,,1,1,,1,,,,,
F6QMX3,F6QMX3_MONDO,3.0,,1,1,,1,,,,,
F6WET2,F6WET2_HORSE,3.0,,1,1,,1,,,,,
B5FX67,B5FX67_TAEGU,3.0,,,,,,1,1,1,,
G3TMT6,G3TMT6_LOXAF,3.0,,1,1,,1,,,,,
F7AIA7,F7AIA7_MACMU,3.0,,1,1,,1,,,,,
H2TQF6,H2TQF6_TAKRU,3.0,,1,1,,1,,,,,
G3WG66,G3WG66_SARHA,3.0,,1,1,,1,,,,,
F6QGD4,F6QGD4_CALJA,3.0,,1,1,,1,,,,,
I3MCG8,I3MCG8_SPETR,3.0,,1,1,,1,,,,,
F1RSI5,F1RSI5_PIG,3.0,,1,1,,1,,,,,
F1Q860,F1Q860_DANRE,3.0,,1,1,,1,,,,,
G1KMH9,G1KMH9_ANOCA,3.0,,1,1,,1,,,,,
