,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00500000044959,NLDRMHK,TF353726,EOG77Q4ZW,NOG284697,NA,HBG057768,NA,Q6GMV3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6GMV3,PTRD1_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q3SZ85,PTRD1_BOVIN,6.0,,1,1,1,1,1,,1,,
Q4T548,Q4T548_TETNG,6.0,,1,1,1,1,1,,1,,
Q5RIN6,Q5RIN6_DANRE,6.0,,1,,1,1,1,,1,,1
D3ZBG6,D3ZBG6_RAT,5.0,,1,1,1,1,,,,,1
D3Z4S3,PTRD1_MOUSE,5.0,,1,1,1,1,,,,,1
F7IBH2,F7IBH2_CALJA,4.0,,1,1,1,1,,,,,
H2QHJ3,H2QHJ3_PANTR,4.0,,1,1,1,1,,,,,
D2GXQ1,D2GXQ1_AILME,4.0,,1,1,1,1,,,,,
F1NGE9,F1NGE9_CHICK,4.0,,1,1,1,1,,,,,
F1SDL0,F1SDL0_PIG,4.0,,1,1,1,1,,,,,
F6QFM8,F6QFM8_HORSE,4.0,,1,1,1,1,,,,,
H3BF69,H3BF69_LATCH,4.0,,1,1,1,1,,,,,
B7QEZ2,B7QEZ2_IXOSC,4.0,,,1,,1,1,,,,1
H2SZ74,H2SZ74_TAKRU,4.0,,1,1,1,1,,,,,
H2P6T6,H2P6T6_PONAB,4.0,,1,1,1,1,,,,,
E2RBH9,E2RBH9_CANFA,4.0,,1,1,1,1,,,,,
H0ZY10,H0ZY10_TAEGU,4.0,,1,1,1,1,,,,,
H0V5R4,H0V5R4_CAVPO,4.0,,1,1,1,1,,,,,
F7ACR1,F7ACR1_MACMU,4.0,,1,1,1,1,,,,,
G3QN83,G3QN83_GORGO,4.0,,1,1,1,1,,,,,
G1QJR2,G1QJR2_NOMLE,4.0,,1,1,1,1,,,,,
G1PPC5,G1PPC5_MYOLU,4.0,,1,1,1,1,,,,,
I3M754,I3M754_SPETR,4.0,,1,1,1,1,,,,,
H0WH46,H0WH46_OTOGA,3.0,,1,,1,1,,,,,
H2XQM2,H2XQM2_CIOIN,3.0,,1,,1,1,,,,,
G3VTX5,G3VTX5_SARHA,3.0,,1,,1,1,,,,,
F6S0H6,F6S0H6_HORSE,3.0,,1,,1,1,,,,,
G3TD96,G3TD96_LOXAF,3.0,,1,,1,1,,,,,
G3NUA9,G3NUA9_GASAC,3.0,,1,,1,1,,,,,
F7AGI8,F7AGI8_MONDO,3.0,,1,,1,1,,,,,
G1T9F2,G1T9F2_RABIT,3.0,,1,,1,1,,,,,
F7BUR1,F7BUR1_XENTR,3.0,,1,,1,1,,,,,
Q7PY90,Q7PY90_ANOGA,3.0,,,,,1,1,,,,1
A7S0E1,A7S0E1_NEMVE,3.0,,,,,1,1,,,,1
A7WK43,A7WK43_CAEEL,3.0,,1,,,,1,,,,1
A9URI7,A9URI7_MONBE,3.0,,,1,,,1,,,,1
Q9VET3,Q9VET3_DROME,3.0,,1,,,1,,,,,1
M3YRF1,M3YRF1_MUSPF,3.0,,1,1,,1,,,,,
M3W0Q5,M3W0Q5_FELCA,3.0,,1,1,,1,,,,,
M4ATN4,M4ATN4_XIPMA,3.0,,1,1,,1,,,,,
B4JNH2,B4JNH2_DROGR,2.0,,,,,1,1,,,,
B4M7L7,B4M7L7_DROVI,2.0,,,,,1,1,,,,
B4NBC0,B4NBC0_DROWI,2.0,,,,,1,1,,,,
B3M2M4,B3M2M4_DROAN,2.0,,,,,1,1,,,,
B0XLW0,B0XLW0_CULQU,2.0,,,,,1,1,,,,
B4PMZ1,B4PMZ1_DROYA,2.0,,,,,1,1,,,,
B0X3L8,B0X3L8_CULQU,2.0,,,,,1,1,,,,
C3ZSU5,C3ZSU5_BRAFL,2.0,,,,,,1,,,,1
A8HZP7,A8HZP7_CHLRE,2.0,,,1,,,1,,,,
C5YFI6,C5YFI6_SORBI,2.0,,,1,,,1,,,,
A4QNK5,A4QNK5_XENTR,2.0,,,,,,1,,1,,
B3S469,B3S469_TRIAD,2.0,,,,,1,1,,,,
W5Q9I7,W5Q9I7_SHEEP,2.0,,1,1,,,,,,,
H9J9P9,H9J9P9_BOMMO,2.0,,,1,,1,,,,,
Q17H70,Q17H70_AEDAE,2.0,,,,,1,1,,,,
I3KF90,I3KF90_ORENI,2.0,,,,1,1,,,,,
Q9FT62,Q9FT62_ARATH,2.0,,,,,,1,,,,1
W5NG08,W5NG08_LEPOC,1.0,,1,,,,,,,,
R1BYR9,R1BYR9_EMIHU,1.0,,,1,,,,,,,
B4L6M4,B4L6M4_DROMO,1.0,,,,,1,,,,,
Q4V644,Q4V644_DROME,1.0,,,,,,1,,,,
B4IBT7,B4IBT7_DROSE,1.0,,,,,1,,,,,
B4GZ33,B4GZ33_DROPE,1.0,,,,,1,,,,,
Q7RS68,Q7RS68_PLAYO,1.0,,,,,,1,,,,
B3P0I8,B3P0I8_DROER,1.0,,,,,1,,,,,
Q7XNY2,Q7XNY2_ORYSJ,1.0,,,1,,,,,,,
S4RSA7,S4RSA7_PETMA,1.0,,1,,,,,,,,
Q4T544,Q4T544_TETNG,1.0,,,,,,1,,,,
A9RMH7,A9RMH7_PHYPA,1.0,,,,,,,,,,1
U3I336,U3I336_ANAPL,1.0,,1,,,,,,,,
A8BL02,A8BL02_GIAIC,1.0,,,,,,,,,,1
U3KJ11,U3KJ11_FICAL,1.0,,1,,,,,,,,
U4PE54,U4PE54_CAEEL,1.0,,1,,,,,,,,
A4S117,A4S117_OSTLU,1.0,,,,,,1,,,,
W5BAK7,W5BAK7_WHEAT,1.0,,,1,,,,,,,
A0A096MWV0,A0A096MWV0_PAPAN,1.0,,1,,,,,,,,
Q4U9Y7,Q4U9Y7_THEAN,1.0,,,,,,1,,,,
B4QX11,B4QX11_DROSI,1.0,,,,,1,,,,,
Q29B51,Q29B51_DROPS,1.0,,,,,1,,,,,
G9L2Q0,G9L2Q0_MUSPF,1.0,,,1,,,,,,,
I1J1H7,I1J1H7_BRADI,1.0,,,1,,,,,,,
I1K946,I1K946_SOYBN,1.0,,,1,,,,,,,
I1PPH4,I1PPH4_ORYGL,1.0,,,1,,,,,,,
E0VQF6,E0VQF6_PEDHC,1.0,,,,,1,,,,,
D8SZ20,D8SZ20_SELML,1.0,,,1,,,,,,,
D6WB97,D6WB97_TRICA,1.0,,,,,1,,,,,
K3YA97,K3YA97_SETIT,1.0,,,1,,,,,,,
M0RYQ0,M0RYQ0_MUSAM,1.0,,,1,,,,,,,
D2VQW5,D2VQW5_NAEGR,1.0,,,1,,,,,,,
M1CVB6,M1CVB6_SOLTU,1.0,,,1,,,,,,,
C6KSV1,C6KSV1_PLAF7,1.0,,,,,,,,,,1
Q013W6,Q013W6_OSTTA,1.0,,,,,,1,,,,
Q05AU7,Q05AU7_XENLA,1.0,,,,,,,,1,,
B9ILE9,B9ILE9_POPTR,1.0,,,,,,1,,,,
