,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000005544,WSPDFEE,TF314221,NA,NOG74258,HOG000259047,HBG074087,NA,Q9NQC8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NQC8,IFT46_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q9NQC8,IFT46_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q9DB07,IFT46_MOUSE,5.0,,1,,1,,1,,1,,1
Q9DB07,IFT46_MOUSE,5.0,,1,,1,,1,,1,,1
Q6AXQ9,IFT46_RAT,5.0,,1,,1,,1,,1,,1
Q6AXQ9,IFT46_RAT,5.0,,1,,1,,1,,1,,1
Q1LZB4,IFT46_BOVIN,4.0,,1,,1,,1,,1,,
G3S8P3,G3S8P3_GORGO,3.0,,1,1,1,,,,,,
C3XPG2,C3XPG2_BRAFL,3.0,,,1,,,1,,,,1
B8CG11,B8CG11_THAPS,3.0,,,,,,1,1,,,1
Q0G838,Q0G838_CAEEL,3.0,,1,,,,1,,,,1
G1MY65,G1MY65_MELGA,3.0,,1,1,1,,,,,,
H2Q4W5,H2Q4W5_PANTR,3.0,,1,1,1,,,,,,
G1M2U8,G1M2U8_AILME,2.0,,1,,1,,,,,,
G1U5N9,G1U5N9_RABIT,2.0,,1,,1,,,,,,
G3N834,G3N834_GASAC,2.0,,1,,1,,,,,,
A9UUH4,A9UUH4_MONBE,2.0,,,,,,1,,,,1
G3TBM2,G3TBM2_LOXAF,2.0,,1,,1,,,,,,
G1R716,G1R716_NOMLE,2.0,,1,,1,,,,,,
G3WGE5,G3WGE5_SARHA,2.0,,1,,1,,,,,,
H0V7F4,H0V7F4_CAVPO,2.0,,1,,1,,,,,,
H0X0E4,H0X0E4_OTOGA,2.0,,1,,1,,,,,,
D3Z4B1,D3Z4B1_MOUSE,2.0,,1,,,,,1,,,
G1TNJ1,G1TNJ1_RABIT,2.0,,1,,1,,,,,,
F7G9W3,F7G9W3_MONDO,2.0,,1,,1,,,,,,
G1PPB2,G1PPB2_MYOLU,2.0,,1,,1,,,,,,
B3RU97,B3RU97_TRIAD,2.0,,,,,,1,1,,,
F7D9V3,F7D9V3_CALJA,2.0,,1,,1,,,,,,
F7CT47,F7CT47_ORNAN,2.0,,1,,1,,,,,,
F7CNC0,F7CNC0_HORSE,2.0,,1,,1,,,,,,
F7BAW0,F7BAW0_MACMU,2.0,,1,,1,,,,,,
F6ZM09,F6ZM09_XENTR,2.0,,1,,1,,,,,,
F6TXE9,F6TXE9_CALJA,2.0,,1,,1,,,,,,
F1QMN4,F1QMN4_DANRE,2.0,,1,,1,,,,,,
F1NMX8,F1NMX8_CHICK,2.0,,1,,1,,,,,,
H2NFH6,H2NFH6_PONAB,2.0,,1,,1,,,,,,
H0YP60,H0YP60_TAEGU,2.0,,1,,1,,,,,,
H2XW62,H2XW62_CIOIN,2.0,,1,,1,,,,,,
K7GFF8,K7GFF8_PELSI,2.0,,1,,1,,,,,,
U3K5R0,U3K5R0_FICAL,2.0,,1,1,,,,,,,
U3ID20,U3ID20_ANAPL,2.0,,1,1,,,,,,,
Q9VJ72,Q9VJ72_DROME,2.0,,1,,,,,,,,1
Q7Q9L0,Q7Q9L0_ANOGA,2.0,,,,,,1,,,,1
Q583M4,Q583M4_TRYB2,2.0,,,,,,1,1,,,
A2E4R3,A2E4R3_TRIVA,2.0,,,,,,1,,,,1
H2YTM0,H2YTM0_CIOSA,2.0,,1,,1,,,,,,
