,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000012268,GSPKQHF,TF341262,EOG7Q8CQH,NOG83003,HOG000137658,HBG055199,NA,Q8IUB5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5DQQ6,WFD13_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8IUB5,WFD13_HUMAN,8.0,,1,1,1,1,1,1,1,,1
G3RIY0,G3RIY0_GORGO,4.0,,1,1,1,1,,,,,
E2RCQ8,E2RCQ8_CANFA,4.0,,1,1,1,1,,,,,
E1BGX2,E1BGX2_BOVIN,4.0,,1,1,1,1,,,,,
H2QKG4,H2QKG4_PANTR,4.0,,1,1,1,1,,,,,
H0V7D6,H0V7D6_CAVPO,4.0,,1,1,1,1,,,,,
G1R4W0,G1R4W0_NOMLE,4.0,,1,1,1,1,,,,,
G1M1E1,G1M1E1_AILME,4.0,,1,1,1,1,,,,,
F7DZS9,F7DZS9_MACMU,4.0,,1,1,1,1,,,,,
F6UQ74,F6UQ74_HORSE,4.0,,1,1,1,1,,,,,
H0WR22,H0WR22_OTOGA,3.0,,1,,1,1,,,,,
G3T0K1,G3T0K1_LOXAF,3.0,,1,1,,1,,,,,
G1SVP5,G1SVP5_RABIT,3.0,,1,,1,1,,,,,
W5P886,W5P886_SHEEP,2.0,,1,1,,,,,,,
M0R9E6,M0R9E6_RAT,2.0,,1,,,1,,,,,
A0A096NX46,A0A096NX46_PAPAN,1.0,,1,,,,,,,,
