,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K16896,ENSGT00530000063660,MVAFELC,TF328550,EOG7W41B7,NOG280094,HOG000006773,HBG080605,NA,Q9ULQ1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A2BHL7,A2BHL7_DANRE,9.0,1,1,1,1,1,1,1,1,,1
Q9ULQ1,TPC1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9ULQ1,TPC1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9EQJ0,TPC1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
E1BQ97,E1BQ97_CHICK,6.0,1,1,1,1,1,,,,,1
F7DBM4,F7DBM4_MONDO,5.0,1,1,1,1,1,,,,,
A7RM05,A7RM05_NEMVE,5.0,1,,,,1,1,1,,,1
E2RT83,E2RT83_CANFA,5.0,1,1,1,1,1,,,,,
F7GPF3,F7GPF3_MACMU,5.0,1,1,1,1,1,,,,,
F7DIT7,F7DIT7_CALJA,5.0,1,1,1,1,1,,,,,
C3Z9B7,C3Z9B7_BRAFL,4.0,1,,1,,,1,,,,1
K7FXA0,K7FXA0_PELSI,4.0,,1,1,1,1,,,,,
H0V5H5,H0V5H5_CAVPO,4.0,,1,1,1,1,,,,,
Q9WTN5,TPC1_RAT,4.0,1,,,,,,1,1,,1
G3R4J8,G3R4J8_GORGO,4.0,1,1,1,1,,,,,,
G1U084,G1U084_RABIT,4.0,,1,1,1,1,,,,,
F1LNS4,F1LNS4_RAT,4.0,,1,1,1,1,,,,,
G3WRZ5,G3WRZ5_SARHA,4.0,,1,1,1,1,,,,,
G1PMM0,G1PMM0_MYOLU,4.0,,1,1,1,1,,,,,
H9G9M0,H9G9M0_ANOCA,4.0,1,1,,1,1,,,,,
G1NCP2,G1NCP2_MELGA,4.0,,1,1,1,1,,,,,
G3TRD5,G3TRD5_LOXAF,4.0,,1,1,1,1,,,,,
G3P4R1,G3P4R1_GASAC,4.0,,1,1,1,1,,,,,
F1MSJ0,F1MSJ0_BOVIN,4.0,,1,1,1,1,,,,,
G1LQ73,G1LQ73_AILME,4.0,,1,1,1,1,,,,,
H2LVW9,H2LVW9_ORYLA,4.0,,1,1,1,1,,,,,
H2UX12,H2UX12_TAKRU,4.0,,1,1,1,1,,,,,
H2Q6X8,H2Q6X8_PANTR,4.0,,1,1,1,1,,,,,
F1RKA9,F1RKA9_PIG,4.0,1,1,,1,1,,,,,
H2NIR7,H2NIR7_PONAB,4.0,,1,1,1,1,,,,,
F6XYZ7,F6XYZ7_HORSE,4.0,,1,1,1,1,,,,,
H3C0V2,H3C0V2_TETNG,4.0,,1,1,1,1,,,,,
U3JZ72,U3JZ72_FICAL,3.0,1,1,1,,,,,,,
J9K983,J9K983_ACYPI,3.0,1,,1,,1,,,,,
H0XD96,H0XD96_OTOGA,3.0,,1,,1,1,,,,,
B7Z3R2,B7Z3R2_HUMAN,3.0,1,1,,,,,,1,,
M3XU28,M3XU28_MUSPF,3.0,,1,1,,1,,,,,
D2A6B3,D2A6B3_TRICA,3.0,1,,1,,1,,,,,
B7P170,B7P170_IXOSC,3.0,1,,,,1,1,,,,
