,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K14831,ENSGT00390000012859,IYWPNFL,TF105759,EOG7TJ3KB,COG5129,HOG000201538,HBG055328,NA,Q9BXY0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BXY0,MAK16_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8BGS0,MAK16_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q5EB56,Q5EB56_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q1RML7,MAK16_BOVIN,8.0,1,1,1,1,1,1,1,1,,
Q6P7N1,MAK16_XENTR,7.0,1,1,,1,1,1,1,1,,
Q18035,Q18035_CAEEL,6.0,1,1,,,1,1,1,,,1
P10962,MAK16_YEAST,6.0,1,1,1,,,1,1,,,1
Q6NYD4,MAK16_DANRE,5.0,1,,,,,1,1,1,,1
Q9W3B2,Q9W3B2_DROME,5.0,1,1,,,1,1,,,,1
Q9W3B2,Q9W3B2_DROME,5.0,1,1,,,1,1,,,,1
G1RN72,G1RN72_NOMLE,5.0,1,1,1,1,1,,,,,
G1SVS1,G1SVS1_RABIT,5.0,1,1,1,1,1,,,,,
B0X282,B0X282_CULQU,5.0,1,,1,,1,1,1,,,
Q7PRY6,Q7PRY6_ANOGA,5.0,1,,,,1,1,1,,,1
F7IJ04,F7IJ04_CALJA,5.0,1,1,1,1,1,,,,,
H3BHH6,H3BHH6_LATCH,5.0,1,1,1,1,1,,,,,
Q9UTE6,MAK16_SCHPO,5.0,1,,1,,,1,1,,,1
F6QME5,F6QME5_MACMU,5.0,1,1,1,1,1,,,,,
E1BX01,E1BX01_CHICK,5.0,1,1,,1,1,,,,,1
A8XW74,A8XW74_CAEBR,5.0,1,,1,,1,1,1,,,
H2PQ12,H2PQ12_PONAB,5.0,1,1,1,1,1,,,,,
G3TT56,G3TT56_LOXAF,4.0,,1,1,1,1,,,,,
G3R4M4,G3R4M4_GORGO,4.0,1,1,,1,1,,,,,
G1NYL1,G1NYL1_MYOLU,4.0,,1,1,1,1,,,,,
H2TWV2,H2TWV2_TAKRU,4.0,,1,1,1,1,,,,,
H2QW04,H2QW04_PANTR,4.0,1,1,,1,1,,,,,
C5XGC8,C5XGC8_SORBI,4.0,1,,1,,,1,1,,,
Q7S7U0,Q7S7U0_NEUCR,4.0,1,,,,,1,1,,,1
Q16Q91,Q16Q91_AEDAE,4.0,1,,,,1,1,1,,,
A7SK20,A7SK20_NEMVE,4.0,1,,,,1,1,1,,,
C4WT22,C4WT22_ACYPI,4.0,1,,1,,1,,1,,,
G3W011,G3W011_SARHA,4.0,,1,1,1,1,,,,,
B7QE56,B7QE56_IXOSC,4.0,1,,,,1,1,,,,1
F6X0Z4,F6X0Z4_HORSE,4.0,,1,1,1,1,,,,,
C3YBY1,C3YBY1_BRAFL,4.0,1,,1,,,1,,,,1
F1QDC7,F1QDC7_DANRE,4.0,,1,1,1,1,,,,,
G1MS77,G1MS77_MELGA,4.0,,1,1,1,1,,,,,
I3MAG8,I3MAG8_SPETR,4.0,,1,1,1,1,,,,,
B6HGN8,B6HGN8_PENCW,4.0,1,,1,,,1,1,,,
B3S2R4,B3S2R4_TRIAD,4.0,1,,,,1,1,1,,,
F1RX78,F1RX78_PIG,4.0,,1,1,1,1,,,,,
K7G0S1,K7G0S1_PELSI,4.0,,1,1,1,1,,,,,
H9G4C6,H9G4C6_ANOCA,4.0,1,1,,1,1,,,,,
B8BSJ7,B8BSJ7_THAPS,4.0,1,,,,,1,1,,,1
M3WRY6,M3WRY6_FELCA,4.0,1,1,1,,1,,,,,
G1L800,G1L800_AILME,4.0,,1,1,1,1,,,,,
M4AKV1,M4AKV1_XIPMA,4.0,1,1,1,,1,,,,,
