,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,NA,NA,NOG323265,NA,HBG000039,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6IE37,OVOS1_HUMAN,2.0,,,,,,1,,1,,
Q9PVU5,Q9PVU5_CYPCA,1.0,,,,,,,,1,,
B3KVV6,B3KVV6_HUMAN,1.0,,,,,,,,1,,
P28666,MUG2_MOUSE,1.0,,,,,,,,1,,
P28665,MUG1_MOUSE,1.0,,,,,,,,1,,
P20742,PZP_HUMAN,1.0,,,,,,,,1,,
P20740,OVOS_CHICK,1.0,,,,,,,,1,,
P14046,A1I3_RAT,1.0,,,,,,,,1,,
P06238,A2MG_RAT,1.0,,,,,,,,1,,
P01023,A2MG_HUMAN,1.0,,,,,,,,1,,
O12978,O12978_XENLA,1.0,,,,,,,,1,,
F6NTZ9,F6NTZ9_DANRE,1.0,,,,,,,,1,,
B8QSI4,B8QSI4_DANRE,1.0,,,,,,,,1,,
B7ZVK0,B7ZVK0_DANRE,1.0,,,,,,,,1,,
B2R950,B2R950_HUMAN,1.0,,,,,,,,1,,
Q0IHZ3,Q0IHZ3_XENTR,1.0,,,,,,,,1,,
B2GTX0,B2GTX0_XENLA,1.0,,,,,,,,1,,
B1WBA0,B1WBA0_XENLA,1.0,,,,,,,,1,,
A9UM65,A9UM65_XENTR,1.0,,,,,,,,1,,
A8WGG2,A8WGG2_XENTR,1.0,,,,,,,,1,,
A8WFS6,A8WFS6_DANRE,1.0,,,,,,,,1,,
A8WFS5,A8WFS5_DANRE,1.0,,,,,,,,1,,
A8K2U0,A2ML1_HUMAN,1.0,,,,,,,,1,,
A7MC24,A7MC24_DANRE,1.0,,,,,,,,1,,
A4QNS8,A4QNS8_DANRE,1.0,,,,,,,,1,,
A2RV63,A2RV63_XENLA,1.0,,,,,,,,1,,
A1L1H6,A1L1H6_XENLA,1.0,,,,,,,,1,,
Q03626,MUG1_RAT,1.0,,,,,,,,1,,
Q2PMV6,Q2PMV6_CYPCA,1.0,,,,,,,,1,,
Q9PVU4,Q9PVU4_CYPCA,1.0,,,,,,,,1,,
Q63041,A1M_RAT,1.0,,,,,,,,1,,
Q9PVU3,Q9PVU3_CYPCA,1.0,,,,,,,,1,,
Q91076,Q91076_LETCA,1.0,,,,,,,,1,,
Q7SIH1,A2MG_BOVIN,1.0,,,,,,,,1,,
Q7M0B0,Q7M0B0_MESAU,1.0,,,,,,,,1,,
Q6TAS2,Q6TAS2_CTEID,1.0,,,,,,,,1,,
Q6PCK2,Q6PCK2_XENLA,1.0,,,,,,,,1,,
Q6NRX1,Q6NRX1_XENLA,1.0,,,,,,,,1,,
Q6IE52,MUG2_RAT,1.0,,,,,,,,1,,
Q6IE36,OVOS2_HUMAN,1.0,,,,,,,,1,,
Q6GQT1,A2MP_MOUSE,1.0,,,,,,,,1,,
Q641C5,Q641C5_XENLA,1.0,,,,,,,,1,,
Q62591,Q62591_RATSO,1.0,,,,,,,,1,,
Q2VJB3,Q2VJB3_XENLA,1.0,,,,,,,,1,,
Q61838,A2M_MOUSE,1.0,,,,,,,,1,,
Q60488,Q60488_CAVPO,1.0,,,,,,,,1,,
Q60486,Q60486_CAVPO,1.0,,,,,,,,1,,
Q5R4N8,A2MG_PONAB,1.0,,,,,,,,1,,
Q5FX35,Q5FX35_RAT,1.0,,,,,,,,1,,
Q5BIY8,Q5BIY8_XENTR,1.0,,,,,,,,1,,
Q566M0,Q566M0_XENTR,1.0,,,,,,,,1,,
Q4RYR4,Q4RYR4_TETNG,1.0,,,,,,,,1,,
Q4RYP1,Q4RYP1_TETNG,1.0,,,,,,,,1,,
Q3UU35,OVOS_MOUSE,1.0,,,,,,,,1,,
Q3TTY9,Q3TTY9_MOUSE,1.0,,,,,,,,1,,
A0JMP8,A0JMP8_DANRE,1.0,,,,,,,,1,,
