,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11344,ENSGT00390000015257,YQKETEY,TF324130,EOG79CZ1M,NOG290756,HOG000290166,NA,NA,Q9HAF1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9HAF1,EAF6_HUMAN,8.0,1,1,1,1,1,1,1,,,1
Q9HAF1,EAF6_HUMAN,8.0,1,1,1,1,1,1,1,,,1
B0BNB4,B0BNB4_RAT,6.0,1,1,1,,1,1,1,,,
A6H762,A6H762_BOVIN,6.0,1,1,1,1,1,,1,,,
H2PYP0,H2PYP0_PANTR,5.0,1,1,1,1,1,,,,,
G3WES0,G3WES0_SARHA,5.0,1,1,1,1,1,,,,,
Q7QIE9,Q7QIE9_ANOGA,5.0,1,,,,1,1,1,,,1
Q2VPQ9,EAF6_MOUSE,5.0,1,1,,1,1,1,,,,
Q6AZD3,EAF6_DANRE,5.0,1,1,,1,1,1,,,,
Q68ER9,EAF6_XENTR,5.0,1,1,,,1,1,1,,,
Q58CU0,EAF6_BOVIN,4.0,1,1,,,,1,1,,,
B0X0M5,B0X0M5_CULQU,4.0,1,,,,1,1,1,,,
H0WUV7,H0WUV7_OTOGA,4.0,,1,1,1,1,,,,,
Q9VRN3,Q9VRN3_DROME,4.0,1,1,,,1,1,,,,
F6VE17,F6VE17_CIOIN,4.0,1,1,,1,1,,,,,
F7ANH1,F7ANH1_ORNAN,4.0,,1,1,1,1,,,,,
Q16MU9,Q16MU9_AEDAE,4.0,1,,,,1,1,1,,,
B3S9L8,B3S9L8_TRIAD,3.0,1,,,,1,1,,,,
C4WXX5,C4WXX5_ACYPI,3.0,1,,,,1,,1,,,
H3CG56,H3CG56_TETNG,3.0,,1,,1,1,,,,,
Q5ZIX3,EAF6_CHICK,3.0,1,,,,,,1,,,1
H0W4Q6,H0W4Q6_CAVPO,3.0,,1,,1,1,,,,,
B7P6P4,B7P6P4_IXOSC,3.0,1,,,,1,1,,,,
H2M0V0,H2M0V0_ORYLA,3.0,,1,,1,1,,,,,
B4J0F7,B4J0F7_DROGR,3.0,1,,,,1,1,,,,
K7FQ10,K7FQ10_PELSI,3.0,,1,,1,1,,,,,
B4LBE9,B4LBE9_DROVI,3.0,1,,,,1,1,,,,
B4MLS4,B4MLS4_DROWI,3.0,1,,,,1,1,,,,
B4PIV6,B4PIV6_DROYA,3.0,1,,,,1,1,,,,
B3M3N7,B3M3N7_DROAN,3.0,1,,,,1,1,,,,
H3BC99,H3BC99_LATCH,3.0,,1,1,1,,,,,,
G1T046,G1T046_RABIT,3.0,,1,,1,1,,,,,
F1PY51,F1PY51_CANFA,3.0,,1,,1,1,,,,,
F7F0P8,F7F0P8_CALJA,3.0,,1,1,1,,,,,,
H3BC98,H3BC98_LATCH,3.0,1,1,,,1,,,,,
F7CZW3,F7CZW3_MONDO,3.0,,1,,1,1,,,,,
F7AXI0,F7AXI0_HORSE,3.0,,1,,1,1,,,,,
H9GP65,H9GP65_ANOCA,3.0,,1,,1,1,,,,,
F6RGU3,F6RGU3_MACMU,3.0,,1,1,1,,,,,,
G1L2D6,G1L2D6_AILME,3.0,,1,,1,1,,,,,
G1MWD3,G1MWD3_MELGA,3.0,,1,,1,1,,,,,
G1PW60,G1PW60_MYOLU,3.0,,1,,1,1,,,,,
H2Y4X2,H2Y4X2_CIOSA,3.0,,1,,1,1,,,,,
I3LKZ6,I3LKZ6_PIG,3.0,,1,,1,1,,,,,
M3ZMU5,M3ZMU5_XIPMA,3.0,1,1,,,1,,,,,
A7SD87,A7SD87_NEMVE,3.0,1,,,,1,1,,,,
H2N7Y6,H2N7Y6_PONAB,3.0,,1,,1,1,,,,,
I3M5K9,I3M5K9_SPETR,3.0,,1,,1,1,,,,,
G3RLW5,G3RLW5_GORGO,3.0,,1,,1,1,,,,,
G3NDM6,G3NDM6_GASAC,3.0,,1,,1,1,,,,,
H2TLL8,H2TLL8_TAKRU,3.0,1,1,,,1,,,,,
B6IM07,B6IM07_CAEBR,2.0,,,,,1,1,,,,
M3YTF3,M3YTF3_MUSPF,2.0,,1,,,1,,,,,
C4QXE0,C4QXE0_PICPG,2.0,1,,,,,1,,,,
C3XUP9,C3XUP9_BRAFL,2.0,1,,,,,1,,,,
M3WYC1,M3WYC1_FELCA,2.0,,1,,,1,,,,,
I3LTY5,I3LTY5_PIG,2.0,,1,,,1,,,,,
H0YTJ5,H0YTJ5_TAEGU,2.0,,1,,,1,,,,,
H2TLL9,H2TLL9_TAKRU,2.0,,1,,1,,,,,,
H2M0V3,H2M0V3_ORYLA,2.0,1,1,,,,,,,,
C5Y0B2,C5Y0B2_SORBI,2.0,1,,,,,1,,,,
B9GS16,B9GS16_POPTR,2.0,1,,,,,1,,,,
E0VKH2,E0VKH2_PEDHC,2.0,1,,,,1,,,,,
I3K7U6,I3K7U6_ORENI,2.0,,,,1,1,,,,,
D6WMT1,D6WMT1_TRICA,2.0,1,,,,1,,,,,
F7F0X5,F7F0X5_CALJA,2.0,,1,,,1,,,,,
Q8WQC3,Q8WQC3_CAEEL,2.0,,1,,,,1,,,,
B1ASC8,B1ASC8_MOUSE,2.0,,1,,,,,1,,,
W5MF92,W5MF92_LEPOC,2.0,,1,1,,,,,,,
F6YZ70,F6YZ70_XENTR,2.0,,1,,1,,,,,,
G1RLF5,G1RLF5_NOMLE,2.0,,1,,,1,,,,,
F1P3G5,F1P3G5_CHICK,2.0,,1,,,1,,,,,
A8J2I9,A8J2I9_CHLRE,2.0,1,,,,,1,,,,
G3TLD3,G3TLD3_LOXAF,2.0,,1,,1,,,,,,
Q93VF4,Q93VF4_ARATH,2.0,1,,,,,1,,,,
Q6C626,EAF6_YARLI,2.0,1,,,,,1,,,,
B1AK63,B1AK63_HUMAN,2.0,,1,,,,,1,,,
B4H3E1,B4H3E1_DROPE,2.0,1,,,,1,,,,,
Q2LZN4,Q2LZN4_DROPS,2.0,1,,,,1,,,,,
B4QRM5,B4QRM5_DROSI,2.0,1,,,,1,,,,,
Q54NG3,Q54NG3_DICDI,2.0,1,,,,,1,,,,
O14240,EAF6_SCHPO,2.0,1,,,,,1,,,,
B4HUH4,B4HUH4_DROSE,2.0,1,,,,1,,,,,
Q0INT2,Q0INT2_ORYSJ,2.0,1,,,,,1,,,,
B4KV33,B4KV33_DROMO,2.0,1,,,,1,,,,,
B3NC75,B3NC75_DROER,2.0,1,,,,1,,,,,
E2LVL1,E2LVL1_MONPE,1.0,1,,,,,,,,,
F4RUM5,F4RUM5_MELLP,1.0,1,,,,,,,,,
D2HNA3,D2HNA3_AILME,1.0,,,,,,,1,,,
D4AWF6,D4AWF6_ARTBC,1.0,1,,,,,,,,,
D5GIU4,D5GIU4_TUBMM,1.0,1,,,,,,,,,
F4PL49,F4PL49_DICFS,1.0,1,,,,,,,,,
F4JVF3,F4JVF3_ARATH,1.0,1,,,,,,,,,
E6RG79,E6RG79_CRYGW,1.0,1,,,,,,,,,
E9ID96,E9ID96_SOLIN,1.0,,,,,1,,,,,
E9EVC0,E9EVC0_METRA,1.0,1,,,,,,,,,
D8U3S5,D8U3S5_VOLCA,1.0,1,,,,,,,,,
E5T4Q0,E5T4Q0_TRISP,1.0,1,,,,,,,,,
E3RPH0,E3RPH0_PYRTT,1.0,1,,,,,,,,,
E1GEK2,E1GEK2_LOALO,1.0,1,,,,,,,,,
D7MH25,D7MH25_ARALL,1.0,1,,,,,,,,,
E3K4G0,E3K4G0_PUCGT,1.0,1,,,,,,,,,
D8PX68,D8PX68_SCHCM,1.0,1,,,,,,,,,
D7SZG6,D7SZG6_VITVI,1.0,1,,,,,,,,,
E1ZAK0,E1ZAK0_CHLVA,1.0,1,,,,,,,,,
W6ZLH9,W6ZLH9_COCMI,1.0,1,,,,,,,,,
D0N7L3,D0N7L3_PHYIT,1.0,1,,,,,,,,,
C9SII4,C9SII4_VERA1,1.0,1,,,,,,,,,
A8NRC7,A8NRC7_COPC7,1.0,1,,,,,,,,,
A8IHH3,A8IHH3_CHLRE,1.0,1,,,,,,,,,
A7TM97,A7TM97_VANPO,1.0,1,,,,,,,,,
A7EGL5,A7EGL5_SCLS1,1.0,1,,,,,,,,,
A6R3R8,A6R3R8_AJECN,1.0,1,,,,,,,,,
A5JZT4,A5JZT4_PLAVS,1.0,1,,,,,,,,,
A5DM89,A5DM89_PICGU,1.0,1,,,,,,,,,
A4S2F5,A4S2F5_OSTLU,1.0,1,,,,,,,,,
A3LQD5,A3LQD5_PICST,1.0,1,,,,,,,,,
A3CGM1,A3CGM1_ORYSJ,1.0,,,,,,1,,,,
A2WMG9,A2WMG9_ORYSI,1.0,,,,,,1,,,,
A1D7N0,A1D7N0_NEOFI,1.0,1,,,,,,,,,
A1CJT8,A1CJT8_ASPCL,1.0,1,,,,,,,,,
A0CHQ3,A0CHQ3_PARTE,1.0,1,,,,,,,,,
A0CAI6,A0CAI6_PARTE,1.0,1,,,,,,,,,
A0C657,A0C657_PARTE,1.0,1,,,,,,,,,
A0C4K9,A0C4K9_PARTE,1.0,1,,,,,,,,,
A0A096MU84,A0A096MU84_PAPAN,1.0,,1,,,,,,,,
A0A096M133,A0A096M133_POEFO,1.0,,1,,,,,,,,
A0A088A9J1,A0A088A9J1_APIME,1.0,1,,,,,,,,,
