,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10624,ENSGT00610000086096,EREYFNR,TF350543,EOG74BJR8,COG5222,NA,HBG061131,NA,Q7Z6E9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q7Z6E9,RBBP6_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q7Z6E9,RBBP6_HUMAN,8.0,1,1,1,1,1,1,,1,,1
P97868,RBBP6_MOUSE,7.0,1,1,1,1,1,1,,,,1
P97868,RBBP6_MOUSE,7.0,1,1,1,1,1,1,,,,1
F7A5F7,F7A5F7_MONDO,5.0,1,1,1,1,1,,,,,
G3V953,G3V953_RAT,5.0,1,1,1,1,1,,,,,
A8E5F7,A8E5F7_DANRE,5.0,,1,,1,1,1,,1,,
H2NQF7,H2NQF7_PONAB,5.0,1,1,1,1,1,,,,,
I3MQR4,I3MQR4_SPETR,4.0,,1,1,1,1,,,,,
G1LRW2,G1LRW2_AILME,4.0,,1,1,1,1,,,,,
Q9XZ21,Q9XZ21_DROME,4.0,1,1,,,1,1,,,,
J9P0A5,J9P0A5_CANFA,4.0,1,1,1,,1,,,,,
K7F8K5,K7F8K5_PELSI,4.0,,1,1,1,1,,,,,
A7E2N7,A7E2N7_DANRE,4.0,,1,,1,,1,,1,,
G1PGC1,G1PGC1_MYOLU,4.0,,1,1,1,1,,,,,
F1RFD8,F1RFD8_PIG,4.0,,1,1,1,1,,,,,
G1N3W8,G1N3W8_MELGA,4.0,,1,1,1,1,,,,,
H0Z715,H0Z715_TAEGU,4.0,,1,1,1,1,,,,,
G1SLL7,G1SLL7_RABIT,4.0,,1,1,1,1,,,,,
G3T3W5,G3T3W5_LOXAF,4.0,,1,1,1,1,,,,,
E1BCZ2,E1BCZ2_BOVIN,4.0,,1,1,1,1,,,,,
H2QAS9,H2QAS9_PANTR,4.0,,1,1,1,1,,,,,
F7AMM9,F7AMM9_MACMU,4.0,1,1,1,1,,,,,,
G3VQF5,G3VQF5_SARHA,4.0,,1,1,1,1,,,,,
G3QW38,G3QW38_GORGO,4.0,1,1,1,1,,,,,,
H0XXM4,H0XXM4_OTOGA,4.0,,1,1,1,1,,,,,
B4J6F7,B4J6F7_DROGR,3.0,1,,,,1,1,,,,
M3WEG2,M3WEG2_FELCA,3.0,,1,1,,1,,,,,
F7HQ53,F7HQ53_CALJA,3.0,,1,1,1,,,,,,
F7DNQ4,F7DNQ4_HORSE,3.0,,1,,1,1,,,,,
F7E4Q8,F7E4Q8_MONDO,3.0,,1,,1,1,,,,,
B3MDW6,B3MDW6_DROAN,3.0,1,,,,1,1,,,,
M3YLL5,M3YLL5_MUSPF,3.0,,1,1,,1,,,,,
F7E4B3,F7E4B3_MONDO,3.0,,1,,1,1,,,,,
F7E4A7,F7E4A7_MONDO,3.0,,1,,1,1,,,,,
B0WN42,B0WN42_CULQU,3.0,1,,,,1,1,,,,
F7FCQ8,F7FCQ8_MONDO,3.0,,1,,1,1,,,,,
H2TGJ6,H2TGJ6_TAKRU,3.0,,1,,1,1,,,,,
G1PYZ7,G1PYZ7_MYOLU,3.0,,1,,1,1,,,,,
G1Q8C1,G1Q8C1_MYOLU,3.0,,1,,1,1,,,,,
G3VGF5,G3VGF5_SARHA,3.0,,1,,1,1,,,,,
G3PX13,G3PX13_GASAC,3.0,,1,,1,1,,,,,
H2LXG6,H2LXG6_ORYLA,3.0,,1,,1,1,,,,,
H2MBQ8,H2MBQ8_ORYLA,3.0,,1,,1,1,,,,,
H2TKH7,H2TKH7_TAKRU,3.0,,1,,1,1,,,,,
G1QGD0,G1QGD0_MYOLU,3.0,,1,,1,1,,,,,
G1QG90,G1QG90_MYOLU,3.0,,1,,1,1,,,,,
H3AWJ0,H3AWJ0_LATCH,3.0,,1,1,1,,,,,,
G1QDE2,G1QDE2_MYOLU,3.0,,1,,1,1,,,,,
H3CIR3,H3CIR3_TETNG,3.0,,1,,1,1,,,,,
I3IS00,I3IS00_DANRE,3.0,,1,,1,1,,,,,
G1Q4I1,G1Q4I1_MYOLU,3.0,,1,,1,1,,,,,
H3D226,H3D226_TETNG,3.0,,1,,1,1,,,,,
H3D7C7,H3D7C7_TETNG,3.0,,1,,1,1,,,,,
H9GY02,H9GY02_DANRE,3.0,,1,,1,1,,,,,
G1PZW3,G1PZW3_MYOLU,3.0,,1,,1,1,,,,,
G1PZ66,G1PZ66_MYOLU,3.0,,1,,1,1,,,,,
F7A631,F7A631_CIOIN,3.0,,1,,1,1,,,,,
B4MQQ4,B4MQQ4_DROWI,3.0,1,,,,1,1,,,,
B4LPE7,B4LPE7_DROVI,3.0,1,,,,1,1,,,,
B4PAU2,B4PAU2_DROYA,3.0,1,,,,1,1,,,,
F6W8L1,F6W8L1_ORNAN,3.0,,1,,1,1,,,,,
