,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K09228,ENSGT00390000002599,LLDVNHA,TF337947,EOG7KM5S9,NOG267305,HOG000155778,HBG108764,NA,Q9NU63
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NU63,ZFP57_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9NU63,ZFP57_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8C6P8,ZFP57_MOUSE,8.0,1,1,1,1,,1,1,1,,1
A0JPK3,ZFP57_RAT,8.0,1,1,1,1,,1,1,1,,1
Q8C6P8,ZFP57_MOUSE,8.0,1,1,1,1,,1,1,1,,1
A0JPK3,ZFP57_RAT,8.0,1,1,1,1,,1,1,1,,1
H2QSL6,H2QSL6_PANTR,5.0,1,1,1,1,1,,,,,
G1QXP8,G1QXP8_NOMLE,5.0,1,1,1,1,1,,,,,
G3RL69,G3RL69_GORGO,5.0,1,1,1,1,1,,,,,
H0XMT6,H0XMT6_OTOGA,4.0,,1,1,1,1,,,,,
B7ZW61,B7ZW61_HUMAN,4.0,1,,,,,1,1,1,,
G1MC87,G1MC87_AILME,4.0,,1,1,1,1,,,,,
F1P7D7,F1P7D7_CANFA,4.0,,1,1,1,1,,,,,
F6ZVD2,F6ZVD2_HORSE,4.0,,1,1,1,1,,,,,
E1BIN7,E1BIN7_BOVIN,4.0,,1,1,1,1,,,,,
H2PID5,H2PID5_PONAB,4.0,,1,1,1,1,,,,,
F1RYG1,F1RYG1_PIG,3.0,,1,,1,1,,,,,
G1T9U8,G1T9U8_RABIT,3.0,,1,,1,1,,,,,
H0V6K1,H0V6K1_CAVPO,3.0,,1,,1,1,,,,,
I3N6D4,I3N6D4_SPETR,3.0,,1,,1,1,,,,,
F7GXZ5,F7GXZ5_MACMU,3.0,,1,,1,1,,,,,
M3Y7U6,M3Y7U6_MUSPF,3.0,,1,1,,1,,,,,
F7BQI4,F7BQI4_CALJA,3.0,,1,,1,1,,,,,
H9KY15,H9KY15_CALJA,2.0,,1,,,1,,,,,
G3U8M1,G3U8M1_LOXAF,2.0,,1,,,1,,,,,
W5Q521,W5Q521_SHEEP,2.0,,1,1,,,,,,,
A8WWX2,A8WWX2_CAEBR,2.0,,,,,1,1,,,,
M3WJ43,M3WJ43_FELCA,2.0,,1,,,1,,,,,
H9KX39,H9KX39_CALJA,2.0,,1,,1,,,,,,
O02273,O02273_CAEEL,2.0,,,,,1,1,,,,
F7FDN7,F7FDN7_MACMU,1.0,1,,,,,,,,,
F7FNY8,F7FNY8_CALJA,1.0,1,,,,,,,,,
F7FN41,F7FN41_CALJA,1.0,1,,,,,,,,,
F7FR26,F7FR26_MACMU,1.0,1,,,,,,,,,
F7F4M6,F7F4M6_MACMU,1.0,1,,,,,,,,,
F7FD11,F7FD11_CALJA,1.0,1,,,,,,,,,
F7F6K3,F7F6K3_CALJA,1.0,1,,,,,,,,,
F7F5X6,F7F5X6_MONDO,1.0,1,,,,,,,,,
F7F4Q2,F7F4Q2_CALJA,1.0,1,,,,,,,,,
F7F5T9,F7F5T9_MACMU,1.0,1,,,,,,,,,
X1XDY9,X1XDY9_ACYPI,1.0,1,,,,,,,,,
F7G180,F7G180_MACMU,1.0,1,,,,,,,,,
F7FT27,F7FT27_MACMU,1.0,1,,,,,,,,,
F7FWV3,F7FWV3_MACMU,1.0,1,,,,,,,,,
F7GJI3,F7GJI3_MACMU,1.0,1,,,,,,,,,
F7GH61,F7GH61_MACMU,1.0,1,,,,,,,,,
F7GH58,F7GH58_MACMU,1.0,1,,,,,,,,,
F7GF85,F7GF85_MACMU,1.0,1,,,,,,,,,
F7GDG2,F7GDG2_MACMU,1.0,1,,,,,,,,,
F7GDE2,F7GDE2_CALJA,1.0,1,,,,,,,,,
F7G9A0,F7G9A0_CALJA,1.0,1,,,,,,,,,
F7G6K9,F7G6K9_MACMU,1.0,1,,,,,,,,,
F7G3F3,F7G3F3_CALJA,1.0,1,,,,,,,,,
F7F0K0,F7F0K0_CALJA,1.0,1,,,,,,,,,
F7FZE6,F7FZE6_MACMU,1.0,1,,,,,,,,,
F7FXM7,F7FXM7_MACMU,1.0,1,,,,,,,,,
F7FX24,F7FX24_MACMU,1.0,1,,,,,,,,,
F7FX09,F7FX09_MACMU,1.0,1,,,,,,,,,
F7FX00,F7FX00_MACMU,1.0,1,,,,,,,,,
F7F0Q2,F7F0Q2_CALJA,1.0,1,,,,,,,,,
F7EPC4,F7EPC4_MACMU,1.0,1,,,,,,,,,
F7EZZ8,F7EZZ8_CALJA,1.0,1,,,,,,,,,
F7D7E4,F7D7E4_MONDO,1.0,1,,,,,,,,,
F7DJC6,F7DJC6_MACMU,1.0,1,,,,,,,,,
F7DH93,F7DH93_MONDO,1.0,1,,,,,,,,,
F7DGC0,F7DGC0_HORSE,1.0,1,,,,,,,,,
F7DG37,F7DG37_CALJA,1.0,1,,,,,,,,,
F7DFP9,F7DFP9_MACMU,1.0,1,,,,,,,,,
F7DCB7,F7DCB7_HORSE,1.0,1,,,,,,,,,
F7DC02,F7DC02_MONDO,1.0,1,,,,,,,,,
F7D6X5,F7D6X5_CALJA,1.0,1,,,,,,,,,
F7EZQ5,F7EZQ5_CALJA,1.0,1,,,,,,,,,
F7D3D2,F7D3D2_MACMU,1.0,1,,,,,,,,,
F7D328,F7D328_MACMU,1.0,1,,,,,,,,,
F7D2E1,F7D2E1_MACMU,1.0,1,,,,,,,,,
F7CZR5,F7CZR5_CALJA,1.0,1,,,,,,,,,
F7CVC5,F7CVC5_MACMU,1.0,1,,,,,,,,,
F7CU74,F7CU74_CALJA,1.0,1,,,,,,,,,
F7CTR7,F7CTR7_CALJA,1.0,1,,,,,,,,,
F7DJD1,F7DJD1_MACMU,1.0,1,,,,,,,,,
F7DNR0,F7DNR0_HORSE,1.0,1,,,,,,,,,
F7DP29,F7DP29_MACMU,1.0,1,,,,,,,,,
F7DTD0,F7DTD0_MACMU,1.0,1,,,,,,,,,
F7EYG2,F7EYG2_MACMU,1.0,1,,,,,,,,,
F7EY44,F7EY44_ORNAN,1.0,1,,,,,,,,,
F7EV38,F7EV38_MACMU,1.0,1,,,,,,,,,
F7EQB9,F7EQB9_MACMU,1.0,1,,,,,,,,,
F7GLZ3,F7GLZ3_MONDO,1.0,1,,,,,,,,,
F7EMS5,F7EMS5_MACMU,1.0,1,,,,,,,,,
F7EJ27,F7EJ27_CALJA,1.0,1,,,,,,,,,
F7ED14,F7ED14_CALJA,1.0,1,,,,,,,,,
F7E636,F7E636_MACMU,1.0,1,,,,,,,,,
F7E624,F7E624_MACMU,1.0,1,,,,,,,,,
F7E3U9,F7E3U9_HORSE,1.0,1,,,,,,,,,
F7E0S0,F7E0S0_MACMU,1.0,1,,,,,,,,,
F7DXV7,F7DXV7_CALJA,1.0,1,,,,,,,,,
F7DXQ6,F7DXQ6_CALJA,1.0,1,,,,,,,,,
F7DWQ1,F7DWQ1_MACMU,1.0,1,,,,,,,,,
F7GLK7,F7GLK7_MACMU,1.0,1,,,,,,,,,
F7GVC2,F7GVC2_CALJA,1.0,1,,,,,,,,,
F7GND0,F7GND0_CALJA,1.0,1,,,,,,,,,
F7ICF3,F7ICF3_CALJA,1.0,1,,,,,,,,,
F7IH91,F7IH91_CALJA,1.0,1,,,,,,,,,
F7IG41,F7IG41_CALJA,1.0,1,,,,,,,,,
F7IG11,F7IG11_CALJA,1.0,1,,,,,,,,,
F7IEV0,F7IEV0_CALJA,1.0,1,,,,,,,,,
F7IDI3,F7IDI3_CALJA,1.0,1,,,,,,,,,
F7ICS9,F7ICS9_CALJA,1.0,1,,,,,,,,,
F7ICH6,F7ICH6_CALJA,1.0,1,,,,,,,,,
F7I865,F7I865_CALJA,1.0,,1,,,,,,,,
F7IJM9,F7IJM9_CALJA,1.0,1,,,,,,,,,
F7I6D3,F7I6D3_CALJA,1.0,1,,,,,,,,,
F7I4P9,F7I4P9_CALJA,1.0,1,,,,,,,,,
F7I4P3,F7I4P3_CALJA,1.0,1,,,,,,,,,
F7I1T6,F7I1T6_CALJA,1.0,1,,,,,,,,,
F7I132,F7I132_CALJA,1.0,1,,,,,,,,,
F7HVX2,F7HVX2_CALJA,1.0,1,,,,,,,,,
F7HUE6,F7HUE6_CALJA,1.0,1,,,,,,,,,
F7IHR7,F7IHR7_CALJA,1.0,1,,,,,,,,,
F7ILM2,F7ILM2_CALJA,1.0,1,,,,,,,,,
F7HS86,F7HS86_MACMU,1.0,1,,,,,,,,,
G1ME62,G1ME62_AILME,1.0,1,,,,,,,,,
G1QL70,G1QL70_NOMLE,1.0,1,,,,,,,,,
G1QL33,G1QL33_NOMLE,1.0,1,,,,,,,,,
G1QGW2,G1QGW2_NOMLE,1.0,1,,,,,,,,,
G1QGW0,G1QGW0_NOMLE,1.0,1,,,,,,,,,
G1QGV2,G1QGV2_NOMLE,1.0,1,,,,,,,,,
G1QGT2,G1QGT2_NOMLE,1.0,1,,,,,,,,,
G1QGH6,G1QGH6_NOMLE,1.0,1,,,,,,,,,
G1M2F8,G1M2F8_AILME,1.0,1,,,,,,,,,
F7ILN1,F7ILN1_CALJA,1.0,1,,,,,,,,,
G1M162,G1M162_AILME,1.0,1,,,,,,,,,
G1L356,G1L356_AILME,1.0,1,,,,,,,,,
