,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000013443,NMDAISK,TF101059,NA,NOG313452,HOG000018180,HBG056343,NA,Q7L3B6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5XIC3,CD37L_RAT,7.0,,1,1,1,,1,1,1,,1
Q5XIC3,CD37L_RAT,7.0,,1,1,1,,1,1,1,,1
Q7L3B6,CD37L_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q9CZP7,CD37L_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q9CZP7,CD37L_MOUSE,7.0,,1,1,1,,1,1,1,,1
A6H754,CD37L_BOVIN,5.0,,1,1,1,,,1,1,,
A7YY97,CD37L_DANRE,4.0,,,,,,1,1,1,,1
Q28CE8,Q28CE8_XENTR,4.0,,1,,1,,,1,1,,
Q61081,CDC37_MOUSE,4.0,,1,,1,,,1,1,,
Q16543,CDC37_HUMAN,4.0,,1,,1,,,1,1,,
Q684M6,Q684M6_PIG,4.0,,1,,1,,,1,1,,
D2HPJ9,D2HPJ9_AILME,4.0,,1,1,1,,,1,,,
H0Z449,H0Z449_TAEGU,3.0,,1,1,1,,,,,,
G3WJW0,G3WJW0_SARHA,3.0,,1,1,1,,,,,,
H0VML1,H0VML1_CAVPO,3.0,,1,1,1,,,,,,
H0WWD3,H0WWD3_OTOGA,3.0,,1,1,1,,,,,,
F7FWY6,F7FWY6_CALJA,3.0,,1,1,1,,,,,,
F7DU75,F7DU75_HORSE,3.0,,1,1,1,,,,,,
E2RAH6,E2RAH6_CANFA,3.0,,1,1,1,,,,,,
K7FUD4,K7FUD4_PELSI,3.0,,1,1,1,,,,,,
H2PS86,H2PS86_PONAB,3.0,,1,1,1,,,,,,
F1NH83,F1NH83_CHICK,3.0,,1,1,1,,,,,,
F1SK44,F1SK44_PIG,3.0,,1,1,1,,,,,,
H2R6U4,H2R6U4_PANTR,3.0,,1,1,1,,,,,,
I3LVU5,I3LVU5_SPETR,3.0,,1,1,1,,,,,,
F6TL51,F6TL51_MONDO,3.0,,1,1,1,,,,,,
F7BDY8,F7BDY8_MACMU,3.0,,1,1,1,,,,,,
Q336L8,Q336L8_CAEEL,3.0,,1,,,,,1,,,1
Q28HY7,CD37L_XENTR,3.0,,,,,,1,1,1,,
B1AL69,B1AL69_HUMAN,3.0,,1,,,,,1,1,,
Q63692,CDC37_RAT,3.0,,1,,,,,1,1,,
G1N161,G1N161_MELGA,3.0,,1,1,1,,,,,,
G1PWH3,G1PWH3_MYOLU,3.0,,1,1,1,,,,,,
G1RC75,G1RC75_NOMLE,3.0,,1,1,1,,,,,,
F7DUP7,F7DUP7_XENTR,3.0,,1,1,1,,,,,,
G1SJS4,G1SJS4_RABIT,3.0,,1,1,1,,,,,,
G3QVG9,G3QVG9_GORGO,3.0,,1,1,1,,,,,,
F7DRC7,F7DRC7_MACMU,2.0,,1,,1,,,,,,
G3U9M4,G3U9M4_LOXAF,2.0,,1,,1,,,,,,
G1KC11,G1KC11_ANOCA,2.0,,1,,1,,,,,,
F7DC58,F7DC58_ORNAN,2.0,,1,,1,,,,,,
H2US06,H2US06_TAKRU,2.0,,1,,1,,,,,,
G1KI32,G1KI32_ANOCA,2.0,,1,,1,,,,,,
G1LYI8,G1LYI8_AILME,2.0,,1,,1,,,,,,
H2TCN9,H2TCN9_TAKRU,2.0,,1,,1,,,,,,
G3SN05,G3SN05_LOXAF,2.0,,1,,1,,,,,,
F7DES9,F7DES9_ORNAN,2.0,,1,,1,,,,,,
G1PKD5,G1PKD5_MYOLU,2.0,,1,,1,,,,,,
H2QFB7,H2QFB7_PANTR,2.0,,1,,1,,,,,,
G1QVX5,G1QVX5_NOMLE,2.0,,1,,1,,,,,,
H3A883,H3A883_LATCH,2.0,,1,,1,,,,,,
H2NXJ2,H2NXJ2_PONAB,2.0,,1,,1,,,,,,
H2NQI7,H2NQI7_PONAB,2.0,,1,,1,,,,,,
W5PVC2,W5PVC2_SHEEP,2.0,,1,1,,,,,,,
G1RNK0,G1RNK0_NOMLE,2.0,,1,,1,,,,,,
G3S245,G3S245_GORGO,2.0,,1,,1,,,,,,
H2M257,H2M257_ORYLA,2.0,,1,,1,,,,,,
H2LLR4,H2LLR4_ORYLA,2.0,,1,,1,,,,,,
G1TPN2,G1TPN2_RABIT,2.0,,1,,1,,,,,,
H0X429,H0X429_OTOGA,2.0,,1,,1,,,,,,
G3QGD8,G3QGD8_GORGO,2.0,,1,,1,,,,,,
