,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K14015,ENSGT00390000018731,ECITAGM,TF314173,EOG71RXJG,COG5100,HOG000008139,HBG052659,NA,Q8TAT6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8TAT6,NPL4_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
P60670,NPL4_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
P60670,NPL4_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q7ZVI8,Q7ZVI8_DANRE,8.0,1,1,,1,1,1,1,1,,1
Q95QZ9,Q95QZ9_CAEEL,6.0,1,1,1,,1,,1,,,1
Q177R9,Q177R9_AEDAE,5.0,1,,1,,1,1,1,,,
Q9VBP9,NPL4_DROME,5.0,1,1,,,1,1,,,,1
B3RMF9,B3RMF9_TRIAD,5.0,1,,1,,1,1,1,,,
G1RU45,G1RU45_NOMLE,5.0,1,1,1,1,1,,,,,
A8X418,A8X418_CAEBR,5.0,1,,1,,1,1,1,,,
Q9ES54,NPL4_RAT,5.0,1,,,,,1,1,1,,1
Q380R2,Q380R2_ANOGA,5.0,1,,,,1,1,1,,,1
A7T2C7,A7T2C7_NEMVE,5.0,1,,,,1,1,1,,,1
E1BZJ3,E1BZJ3_CHICK,5.0,1,1,,1,1,,,,,1
P33755,NPL4_YEAST,5.0,1,1,,,,1,1,,,1
A7SZA1,A7SZA1_NEMVE,5.0,1,,,,1,1,1,,,1
Q9VBP9,NPL4_DROME,5.0,1,1,,,1,1,,,,1
Q95QZ7,Q95QZ7_CAEEL,4.0,,1,,,1,1,1,,,
G3WJK6,G3WJK6_SARHA,4.0,,1,1,1,1,,,,,
H0YXL7,H0YXL7_TAEGU,4.0,,1,1,1,1,,,,,
B0WJW8,B0WJW8_CULQU,4.0,1,,,,1,1,1,,,
Q6CLY1,NPL4_KLULA,4.0,1,,1,,,1,1,,,
Q9P780,NPL4_SCHPO,4.0,1,,,,,1,1,,,1
Q6C619,NPL4_YARLI,4.0,1,,,,,1,1,,,1
O01894,O01894_CAEEL,4.0,1,1,,,,1,1,,,
H2QE26,H2QE26_PANTR,4.0,,1,1,1,1,,,,,
K7ETY3,K7ETY3_PONAB,4.0,,1,1,1,1,,,,,
G1NT23,G1NT23_MYOLU,4.0,,1,1,1,1,,,,,
F6SFE1,F6SFE1_HORSE,4.0,,1,1,1,1,,,,,
G1KQR1,G1KQR1_ANOCA,4.0,1,1,,1,1,,,,,
F1LQX9,F1LQX9_RAT,4.0,,1,1,1,1,,,,,
H2SHH1,H2SHH1_TAKRU,4.0,1,1,,1,1,,,,,
F1N7U2,F1N7U2_BOVIN,4.0,1,1,,1,1,,,,,
B5DFQ1,B5DFQ1_XENTR,4.0,1,,,,,1,1,1,,
F7A5L4,F7A5L4_CIOIN,4.0,,1,1,1,1,,,,,
F1PNX1,F1PNX1_CANFA,4.0,,1,1,1,1,,,,,
F7IBG3,F7IBG3_CALJA,4.0,1,1,,1,1,,,,,
H2Z4W5,H2Z4W5_CIOSA,4.0,,1,1,1,1,,,,,
F7CYE0,F7CYE0_MONDO,4.0,,1,1,1,1,,,,,
C5DIM3,C5DIM3_LACTC,3.0,1,,,,,1,1,,,
I3MYM8,I3MYM8_SPETR,3.0,,1,,1,1,,,,,
A9UQM7,A9UQM7_MONBE,3.0,1,,,,,1,,,,1
C3YJD0,C3YJD0_BRAFL,3.0,1,,,,,1,,,,1
I3LVX9,I3LVX9_SPETR,3.0,,1,,1,1,,,,,
I3L829,I3L829_PIG,3.0,,1,,1,1,,,,,
B3LZ22,B3LZ22_DROAN,3.0,1,,,,1,1,,,,
B9W822,B9W822_CANDC,3.0,1,,,,,1,1,,,
B6HS44,B6HS44_PENCW,3.0,1,,,,,1,1,,,
K7E0R3,K7E0R3_MONDO,3.0,,1,,1,1,,,,,
M4AJF3,M4AJF3_XIPMA,3.0,1,1,,,1,,,,,
M3YJ86,M3YJ86_MUSPF,3.0,,1,1,,1,,,,,
M3WHV8,M3WHV8_FELCA,3.0,,1,1,,1,,,,,
K7FWP9,K7FWP9_PELSI,3.0,,1,,1,1,,,,,
F6U6B1,F6U6B1_ORNAN,3.0,,1,1,1,,,,,,
B4NJD8,B4NJD8_DROWI,3.0,1,,,,1,1,,,,
B4M4M3,B4M4M3_DROVI,3.0,1,,,,1,1,,,,
C5DYR1,C5DYR1_ZYGRC,3.0,1,,,,,1,1,,,
B4PTI6,B4PTI6_DROYA,3.0,1,,,,1,1,,,,
B4JHL2,B4JHL2_DROGR,3.0,1,,,,1,1,,,,
G1SKM5,G1SKM5_RABIT,3.0,,1,,1,1,,,,,
G3PN45,G3PN45_GASAC,3.0,,1,,1,1,,,,,
G1MGU8,G1MGU8_AILME,3.0,,1,,1,1,,,,,
G3SGZ9,G3SGZ9_GORGO,3.0,,1,,1,1,,,,,
G3UDP2,G3UDP2_LOXAF,3.0,,1,,1,1,,,,,
A3GFS1,NPL4_PICST,3.0,1,,,,,1,1,,,
A1D4X8,NPL4_NEOFI,3.0,1,,,,,1,1,,,
A1CS06,NPL4_ASPCL,3.0,1,,,,,1,1,,,
H0VAW6,H0VAW6_CAVPO,3.0,,1,,1,1,,,,,
H0XCQ9,H0XCQ9_OTOGA,3.0,,1,,1,1,,,,,
Q74ZJ1,NPL4_ASHGO,3.0,1,,,,,1,1,,,
H2MFA4,H2MFA4_ORYLA,3.0,,1,,1,1,,,,,
A7EGK5,NPL4_SCLS1,3.0,1,,,,,1,,,,1
Q5BGN5,NPL4_EMENI,3.0,1,,,,,1,1,,,
Q5AA50,NPL4_CANAL,3.0,1,,,,,1,,,,1
Q5AA50,NPL4_CANAL,3.0,1,,,,,1,,,,1
Q54GD3,NPL4_DICDI,3.0,1,,,,,1,,,,1
H3BGJ8,H3BGJ8_LATCH,3.0,,1,,1,1,,,,,
F7DM09,F7DM09_XENTR,3.0,,1,,1,1,,,,,
Q4WKD7,NPL4_ASPFU,3.0,1,,,,,1,1,,,
H3D2U9,H3D2U9_TETNG,3.0,,1,,1,1,,,,,
G1N3T3,G1N3T3_MELGA,3.0,,1,,1,1,,,,,
B4QVC0,B4QVC0_DROSI,2.0,1,,,,1,,,,,
F7IBF0,F7IBF0_CALJA,2.0,,1,1,,,,,,,
F7GV67,F7GV67_MACMU,2.0,,1,,,1,,,,,
C5P135,C5P135_COCP7,2.0,1,,,,,1,,,,
G3AGF9,G3AGF9_SPAPN,2.0,1,,1,,,,,,,
E3K0K8,E3K0K8_PUCGT,2.0,1,,1,,,,,,,
B8BUA2,B8BUA2_THAPS,2.0,1,,,,,1,,,,
B8MYC5,B8MYC5_ASPFN,2.0,1,,,,,,1,,,
I3KNQ4,I3KNQ4_ORENI,2.0,,,,1,1,,,,,
J9JVA1,J9JVA1_ACYPI,2.0,1,,,,1,,,,,
B4K4W5,B4K4W5_DROMO,2.0,1,,,,1,,,,,
I5APC1,I5APC1_DROPS,2.0,1,,,,1,,,,,
C4YE43,C4YE43_CANAW,2.0,,,1,,,,1,,,
E0VEH8,E0VEH8_PEDHC,2.0,1,,,,1,,,,,
F6U6C4,F6U6C4_ORNAN,2.0,,1,,,1,,,,,
B4ICB1,B4ICB1_DROSE,2.0,1,,,,1,,,,,
