,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K08876,ENSGT00760000119345,MPPAKIP,TF313435,EOG7RJPQX,NOG293900,NA,HBG082065,NA,Q96KG9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96KG9,NTKL_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q96KG9,NTKL_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q9EQC5,NTKL_MOUSE,8.0,1,1,1,1,1,1,,1,,1
Q5M9F8,NTKL_RAT,7.0,1,1,1,,1,1,,1,,1
Q9VAH7,Q9VAH7_DROME,6.0,1,1,1,,1,1,,,,1
Q9VAH7,Q9VAH7_DROME,6.0,1,1,1,,1,1,,,,1
F1RRK0,F1RRK0_PIG,5.0,1,1,1,1,1,,,,,
A7SRT0,A7SRT0_NEMVE,5.0,1,,1,,1,1,,,,1
G3QEK5,G3QEK5_GORGO,5.0,1,1,1,1,1,,,,,
Q23215,Q23215_CAEEL,5.0,1,1,,,1,1,,,,1
E7F3D6,E7F3D6_DANRE,4.0,1,1,,1,1,,,,,
Q12453,CEX1_YEAST,4.0,1,1,,,,1,,,,1
G1PBK1,G1PBK1_MYOLU,4.0,,1,1,1,1,,,,,
B4M5T3,B4M5T3_DROVI,4.0,1,,1,,1,1,,,,
B4NBL3,B4NBL3_DROWI,4.0,1,,1,,1,1,,,,
F1MVK2,F1MVK2_BOVIN,4.0,,1,1,1,1,,,,,
B4PPK6,B4PPK6_DROYA,4.0,1,,1,,1,1,,,,
G3Q033,G3Q033_GASAC,4.0,,1,1,1,1,,,,,
G1MGM6,G1MGM6_AILME,4.0,,1,1,1,1,,,,,
Q16X96,Q16X96_AEDAE,4.0,1,,1,,1,1,,,,
M3WE11,M3WE11_FELCA,4.0,1,1,1,,1,,,,,
F7E7P1,F7E7P1_MACMU,4.0,,1,1,1,1,,,,,
H9GX56,H9GX56_DANRE,4.0,,1,1,1,1,,,,,
H2LBJ8,H2LBJ8_ORYLA,4.0,,1,1,1,1,,,,,
H2Q432,H2Q432_PANTR,4.0,,1,1,1,1,,,,,
G8JLU4,G8JLU4_XENTR,4.0,,1,1,1,1,,,,,
H2XS37,H2XS37_CIOIN,4.0,,1,1,1,1,,,,,
H2ZAN3,H2ZAN3_CIOSA,4.0,,1,1,1,1,,,,,
E2QUV4,E2QUV4_CANFA,4.0,,1,1,1,1,,,,,
G3VVH7,G3VVH7_SARHA,4.0,,1,1,1,1,,,,,
G3UN84,G3UN84_LOXAF,4.0,,1,1,1,1,,,,,
M3ZLJ3,M3ZLJ3_XIPMA,3.0,,1,1,,1,,,,,
Q59UZ6,Q59UZ6_CANAL,3.0,1,,,,,1,,,,1
E0VSL3,E0VSL3_PEDHC,3.0,1,,1,,1,,,,,
Q59UZ6,Q59UZ6_CANAL,3.0,1,,,,,1,,,,1
Q55GS2,SCY1_DICDI,3.0,1,,,,,1,,,,1
C3ZKP4,C3ZKP4_BRAFL,3.0,1,,,,,1,,,,1
B3MTI5,B3MTI5_DROAN,3.0,1,,,,1,1,,,,
B3S6J2,B3S6J2_TRIAD,3.0,1,,,,1,1,,,,
Q38CA8,Q38CA8_TRYB2,3.0,1,,1,,,1,,,,
Q28FH2,NTKL_XENTR,3.0,1,,,,,1,,1,,
H2NCV8,H2NCV8_PONAB,3.0,,1,,1,1,,,,,
H0VP26,H0VP26_CAVPO,3.0,,1,,1,1,,,,,
B4JYM8,B4JYM8_DROGR,3.0,1,,,,1,1,,,,
H2UHD2,H2UHD2_TAKRU,3.0,,1,,1,1,,,,,
B8C7X9,B8C7X9_THAPS,3.0,1,,,,,1,,,,1
K7G232,K7G232_PELSI,3.0,,1,,1,1,,,,,
I3N263,I3N263_SPETR,3.0,,1,,1,1,,,,,
H0XCH0,H0XCH0_OTOGA,3.0,,1,,1,1,,,,,
Q5RI03,Q5RI03_DANRE,3.0,,1,,1,,1,,,,
Q00WN8,Q00WN8_OSTTA,3.0,1,,1,,,1,,,,
H3BFN8,H3BFN8_LATCH,3.0,,1,,1,1,,,,,
O13733,PPK3_SCHPO,3.0,1,,,,,1,,,,1
H3DHB7,H3DHB7_TETNG,3.0,,1,,1,1,,,,,
F6WBQ2,F6WBQ2_CALJA,3.0,,1,1,1,,,,,,
B4K614,B4K614_DROMO,3.0,1,,1,,1,,,,,
A9UUQ8,A9UUQ8_MONBE,3.0,1,,,,,1,,,,1
A9S4I2,A9S4I2_PHYPA,3.0,1,,1,,,,,,,1
Q7RVT8,Q7RVT8_NEUCR,3.0,1,,,,,1,,,,1
F6Z9I3,F6Z9I3_ORNAN,3.0,,1,,1,1,,,,,
F7E3W0,F7E3W0_HORSE,3.0,,1,,1,1,,,,,
Q8IZE3,PACE1_HUMAN,3.0,,1,,1,,1,,,,
Q7Q2E3,Q7Q2E3_ANOGA,3.0,1,,,,,1,,,,1
F6WTT9,F6WTT9_MONDO,3.0,,1,,1,1,,,,,
A6QLH6,NTKL_BOVIN,3.0,1,,,,,1,,1,,
Q9DBQ7,PACE1_MOUSE,3.0,,1,,1,,1,,,,
B0W9F7,B0W9F7_CULQU,3.0,1,,,,1,1,,,,
G3UQI1,G3UQI1_MELGA,2.0,,1,,1,,,,,,
I3M1L0,I3M1L0_SPETR,2.0,,1,,1,,,,,,
I3JCU0,I3JCU0_ORENI,2.0,,,,1,1,,,,,
C5P5W3,C5P5W3_COCP7,2.0,1,,,,,1,,,,
C5XN97,C5XN97_SORBI,2.0,1,,,,,1,,,,
A1Z6G6,A1Z6G6_DROME,2.0,,1,,,,1,,,,
Q5QLZ5,Q5QLZ5_ORYSJ,2.0,1,,1,,,,,,,
J3L5A6,J3L5A6_ORYBR,2.0,1,,1,,,,,,,
C5DRN3,C5DRN3_ZYGRC,2.0,1,,,,,1,,,,
C5DGY6,C5DGY6_LACTC,2.0,1,,,,,1,,,,
D2H4Q1,D2H4Q1_AILME,2.0,1,1,,,,,,,,
J9JRP5,J9JRP5_ACYPI,2.0,1,,,,1,,,,,
C4R750,C4R750_PICPG,2.0,1,,,,,1,,,,
J9PB35,J9PB35_CANFA,2.0,,1,,1,,,,,,
F6VPH8,F6VPH8_MACMU,2.0,,1,,1,,,,,,
F4II29,F4II29_ARATH,2.0,1,,1,,,,,,,
F7EQ48,F7EQ48_CALJA,2.0,,1,,1,,,,,,
G3TK43,G3TK43_LOXAF,2.0,,1,,1,,,,,,
G3R7M1,G3R7M1_GORGO,2.0,,1,,1,,,,,,
G3WCV6,G3WCV6_SARHA,2.0,,1,,1,,,,,,
H9GJC2,H9GJC2_ANOCA,2.0,,1,,1,,,,,,
I1HSV4,I1HSV4_BRADI,2.0,1,,1,,,,,,,
F6WW21,F6WW21_CALJA,2.0,,1,,,1,,,,,
H1A3X1,H1A3X1_TAEGU,2.0,,1,,1,,,,,,
F6WQN9,F6WQN9_ORNAN,2.0,,1,,1,,,,,,
W5PZT8,W5PZT8_SHEEP,2.0,,1,1,,,,,,,
H0W377,H0W377_CAVPO,2.0,,1,,1,,,,,,
H2MQD9,H2MQD9_ORYLA,2.0,,1,,1,,,,,,
H2N4S0,H2N4S0_PONAB,2.0,,1,,1,,,,,,
