,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000015191,QQYFDSN,TF324883,EOG7X3QSV,NOG70351,HOG000230683,HBG104687,NA,Q96B42
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3TUD9,TMM18_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q96B42,TMM18_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q641M3,TMM18_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q6DGF8,TMM18_RAT,7.0,,1,,1,1,1,1,1,,1
Q6DGF8,TMM18_RAT,7.0,,1,,1,1,1,1,1,,1
Q3SZ36,TMM18_BOVIN,6.0,,1,,1,1,1,1,1,,
Q5F410,TMM18_CHICK,5.0,,,,1,,1,1,1,,1
Q7PQ38,Q7PQ38_ANOGA,5.0,,,1,,1,1,1,,,1
A1Z903,A1Z903_DROME,5.0,,1,1,,1,1,,,,1
G3QTR2,G3QTR2_GORGO,4.0,,1,1,1,1,,,,,
H0VLM5,H0VLM5_CAVPO,4.0,,1,1,1,1,,,,,
B0W5F7,B0W5F7_CULQU,4.0,,,1,,1,1,1,,,
H0ZRU4,H0ZRU4_TAEGU,4.0,,1,1,1,1,,,,,
G3PC19,G3PC19_GASAC,4.0,,1,1,1,1,,,,,
G1PVR6,G1PVR6_MYOLU,4.0,,1,1,1,1,,,,,
H2MFN1,H2MFN1_ORYLA,4.0,,1,1,1,1,,,,,
G1NMG5,G1NMG5_MELGA,4.0,,1,1,1,1,,,,,
Q1HQG4,Q1HQG4_AEDAE,4.0,,,1,,1,1,1,,,
H2P729,H2P729_PONAB,4.0,,1,1,1,1,,,,,
H2RBH9,H2RBH9_PANTR,4.0,,1,1,1,1,,,,,
B7P618,B7P618_IXOSC,4.0,,,1,,1,1,,,,1
F6UK29,F6UK29_HORSE,4.0,,1,1,1,1,,,,,
F6SW79,F6SW79_CALJA,4.0,,1,1,1,1,,,,,
G3UF62,G3UF62_LOXAF,3.0,,1,,1,1,,,,,
B4P599,B4P599_DROYA,3.0,,,1,,1,1,,,,
H0WTM0,H0WTM0_OTOGA,3.0,,1,,1,1,,,,,
B4MRI3,B4MRI3_DROWI,3.0,,,1,,1,1,,,,
B4MFH0,B4MFH0_DROVI,3.0,,,1,,1,1,,,,
G3VV66,G3VV66_SARHA,3.0,,1,,1,1,,,,,
B4J8V1,B4J8V1_DROGR,3.0,,,1,,1,1,,,,
F6X0K8,F6X0K8_MONDO,3.0,,1,,1,1,,,,,
F1S9J1,F1S9J1_PIG,3.0,,1,,1,1,,,,,
G1SWY9,G1SWY9_RABIT,3.0,,1,,1,1,,,,,
F6T0M6,F6T0M6_XENTR,3.0,,1,,1,1,,,,,
G1LSK0,G1LSK0_AILME,3.0,,1,,1,1,,,,,
B3SD27,B3SD27_TRIAD,3.0,,,,,1,1,1,,,
B5MBX8,B5MBX8_HUMAN,3.0,,1,,,,,1,1,,
G1RAG6,G1RAG6_NOMLE,3.0,,1,,1,1,,,,,
H3A0D7,H3A0D7_LATCH,3.0,,1,,1,1,,,,,
H3C0H8,H3C0H8_TETNG,3.0,,1,,1,1,,,,,
H9H4B4,H9H4B4_MACMU,3.0,,1,,1,1,,,,,
Q67Y14,Q67Y14_ARATH,3.0,,,,,,1,1,,,1
I3N7I7,I3N7I7_SPETR,3.0,,1,,1,1,,,,,
K7F2Z1,K7F2Z1_PELSI,3.0,,1,,1,1,,,,,
M3ZZ80,M3ZZ80_XIPMA,3.0,,1,1,,1,,,,,
C5YLE6,C5YLE6_SORBI,2.0,,,,,,1,1,,,
A4RXH3,A4RXH3_OSTLU,2.0,,,,,,1,1,,,
D6WLC5,D6WLC5_TRICA,2.0,,,1,,1,,,,,
A2YQD4,A2YQD4_ORYSI,2.0,,,,,,1,1,,,
C5YYM9,C5YYM9_SORBI,2.0,,,,,,1,1,,,
H2UMM6,H2UMM6_TAKRU,2.0,,1,,,1,,,,,
B4KR84,B4KR84_DROMO,2.0,,,1,,1,,,,,
F6TT23,F6TT23_ORNAN,2.0,,1,,,1,,,,,
B9IQK9,B9IQK9_POPTR,2.0,,,,,,1,1,,,
B8BZI4,B8BZI4_THAPS,2.0,,,,,,1,,,,1
U3IXA2,U3IXA2_ANAPL,2.0,,1,1,,,,,,,
U3JH30,U3JH30_FICAL,2.0,,1,1,,,,,,,
R4GLU5,R4GLU5_CHICK,2.0,,1,1,,,,,,,
A7SVN3,A7SVN3_NEMVE,2.0,,,,,1,1,,,,
Q28Y36,Q28Y36_DROPS,2.0,,,1,,1,,,,,
Q019C7,Q019C7_OSTTA,2.0,,,,,,1,1,,,
B3MEM5,B3MEM5_DROAN,2.0,,,,,1,1,,,,
A9URT5,A9URT5_MONBE,2.0,,,,,,1,,,,1
M3VY02,M3VY02_FELCA,2.0,,1,,,1,,,,,
M3YMZ7,M3YMZ7_MUSPF,2.0,,1,,,1,,,,,
W5NL06,W5NL06_LEPOC,2.0,,1,1,,,,,,,
Q28GF5,TMM18_XENTR,2.0,,,,,,1,,1,,
A8J0Q1,A8J0Q1_CHLRE,1.0,,,,,,1,,,,
B4FBV9,B4FBV9_MAIZE,1.0,,,,,,,1,,,
B4HPJ0,B4HPJ0_DROSE,1.0,,,,,1,,,,,
A9S8J3,A9S8J3_PHYPA,1.0,,,,,,,,,,1
B3NS06,B3NS06_DROER,1.0,,,,,1,,,,,
B4GGI1,B4GGI1_DROPE,1.0,,,,,1,,,,,
A2YQD5,A2YQD5_ORYSI,1.0,,,,,,1,,,,
A0A096NIH6,A0A096NIH6_PAPAN,1.0,,1,,,,,,,,
B4QCW6,B4QCW6_DROSI,1.0,,,,,1,,,,,
W5P598,W5P598_SHEEP,1.0,,1,,,,,,,,
B6TMF2,B6TMF2_MAIZE,1.0,,,,,,,1,,,
B6U2M3,B6U2M3_MAIZE,1.0,,,,,,,1,,,
W5L3W7,W5L3W7_ASTMX,1.0,,1,,,,,,,,
V4AZU5,V4AZU5_LOTGI,1.0,,,1,,,,,,,
R4GCR6,R4GCR6_ANOCA,1.0,,1,,,,,,,,
Q69U50,Q69U50_ORYSJ,1.0,,,,,,1,,,,
Q5DBE4,Q5DBE4_SCHJA,1.0,,,,,,1,,,,
Q4V7N7,TMM18_XENLA,1.0,,,,,,,,1,,
Q0DHX7,Q0DHX7_ORYSJ,1.0,,,,,,1,,,,
M0TNL5,M0TNL5_MUSAM,1.0,,,1,,,,,,,
I1FF39,I1FF39_AMPQE,1.0,,,1,,,,,,,
H9J900,H9J900_BOMMO,1.0,,,,,1,,,,,
H0W6M9,H0W6M9_CAVPO,1.0,,1,,,,,,,,
G6CZF5,G6CZF5_DANPL,1.0,,,1,,,,,,,
F8WEA7,F8WEA7_HUMAN,1.0,,1,,,,,,,,
F8WBA6,F8WBA6_HUMAN,1.0,,1,,,,,,,,
E0VR95,E0VR95_PEDHC,1.0,,,,,1,,,,,
D7TGU9,D7TGU9_VITVI,1.0,,,,,,,1,,,
D2HQV7,D2HQV7_AILME,1.0,,,,,,,1,,,
C3XYA5,C3XYA5_BRAFL,1.0,,,,,,1,,,,
C1E6F1,C1E6F1_MICSR,1.0,,,,,,,1,,,
B8AYJ6,B8AYJ6_ORYSI,1.0,,,,,,,1,,,
B7ZT19,B7ZT19_XENTR,1.0,,,,,,,,1,,
A0A087X5C3,A0A087X5C3_POEFO,1.0,,1,,,,,,,,
