,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063787,GELCDLQ,TF333465,EOG71K634,NOG68189,HOG000155526,HBG094844,NA,A6NMK8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6GQV1,F196B_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q6GQV1,F196B_MOUSE,8.0,,1,1,1,1,1,1,1,,1
A6NMK8,F196B_HUMAN,8.0,,1,1,1,1,1,1,1,,1
D3ZZH5,D3ZZH5_RAT,5.0,,1,1,1,1,,,,,1
D3ZZH5,D3ZZH5_RAT,5.0,,1,1,1,1,,,,,1
D2I105,D2I105_AILME,5.0,,1,1,1,1,,1,,,
G3X1V2,G3X1V2_SARHA,4.0,,1,1,1,1,,,,,
F6UF09,F6UF09_MONDO,4.0,,1,1,1,1,,,,,
I3MRQ3,I3MRQ3_SPETR,4.0,,1,1,1,1,,,,,
F6T6K6,F6T6K6_CALJA,4.0,,1,1,1,1,,,,,
G3QXT6,G3QXT6_GORGO,4.0,,1,1,1,1,,,,,
G3SU21,G3SU21_LOXAF,4.0,,1,1,1,1,,,,,
E2R4X8,E2R4X8_CANFA,4.0,,1,1,1,1,,,,,
H3BE40,H3BE40_LATCH,4.0,,1,1,1,1,,,,,
H0VHV1,H0VHV1_CAVPO,4.0,,1,1,1,1,,,,,
H2R567,H2R567_PANTR,4.0,,1,1,1,1,,,,,
H0WLI4,H0WLI4_OTOGA,4.0,,1,1,1,1,,,,,
H2PHB7,H2PHB7_PONAB,4.0,,1,1,1,1,,,,,
H0YTK0,H0YTK0_TAEGU,4.0,,1,1,1,1,,,,,
K7FR18,K7FR18_PELSI,4.0,,1,1,1,1,,,,,
F1RR94,F1RR94_PIG,4.0,,1,1,1,1,,,,,
G1PFP7,G1PFP7_MYOLU,4.0,,1,1,1,1,,,,,
F7CUI9,F7CUI9_HORSE,4.0,,1,1,1,1,,,,,
G1SE66,G1SE66_RABIT,4.0,,1,1,1,1,,,,,
F6Y0I7,F6Y0I7_ORNAN,4.0,,1,1,1,1,,,,,
G1QZ12,G1QZ12_NOMLE,4.0,,1,1,1,1,,,,,
G1MT93,G1MT93_MELGA,4.0,,1,1,1,1,,,,,
E1BNY7,E1BNY7_BOVIN,4.0,,1,1,1,1,,,,,
M3YNJ9,M3YNJ9_MUSPF,3.0,,1,1,,1,,,,,
G1KS38,G1KS38_ANOCA,3.0,,1,,1,1,,,,,
M3W0I4,M3W0I4_FELCA,3.0,,1,1,,1,,,,,
F6XT92,F6XT92_XENTR,3.0,,1,,1,1,,,,,
G3QUE9,G3QUE9_GORGO,2.0,,1,,1,,,,,,
G1LL49,G1LL49_AILME,2.0,,1,,1,,,,,,
H0XLA8,H0XLA8_OTOGA,2.0,,1,,1,,,,,,
F7I4V3,F7I4V3_CALJA,2.0,,1,,1,,,,,,
H0ZMS1,H0ZMS1_TAEGU,2.0,,1,,1,,,,,,
G3NDS2,G3NDS2_GASAC,2.0,,1,,1,,,,,,
H0VTI0,H0VTI0_CAVPO,2.0,,1,,1,,,,,,
F1SDL8,F1SDL8_PIG,2.0,,1,,1,,,,,,
G1QIB6,G1QIB6_NOMLE,2.0,,1,,1,,,,,,
F6PXJ7,F6PXJ7_HORSE,2.0,,1,,1,,,,,,
G3P500,G3P500_GASAC,2.0,,1,,1,,,,,,
G3WS61,G3WS61_SARHA,2.0,,1,,1,,,,,,
G3UUS4,G3UUS4_MELGA,2.0,,1,,1,,,,,,
G1SFH2,G1SFH2_RABIT,2.0,,1,,1,,,,,,
G3SS02,G3SS02_LOXAF,2.0,,1,,1,,,,,,
G1NWY4,G1NWY4_MYOLU,2.0,,1,,1,,,,,,
H2T983,H2T983_TAKRU,2.0,,1,,1,,,,,,
H2LMH3,H2LMH3_ORYLA,2.0,,1,,1,,,,,,
E7F9L0,E7F9L0_DANRE,2.0,,1,,1,,,,,,
W5NYR8,W5NYR8_SHEEP,2.0,,1,1,,,,,,,
U3K4Y7,U3K4Y7_FICAL,2.0,,1,1,,,,,,,
U3J071,U3J071_ANAPL,2.0,,1,1,,,,,,,
D4A4J1,D4A4J1_RAT,2.0,,1,,1,,,,,,
Q6ZSG2,F196A_HUMAN,2.0,,1,,1,,,,,,
E1BSE8,E1BSE8_CHICK,2.0,,1,,1,,,,,,
E2REJ4,E2REJ4_CANFA,2.0,,1,,1,,,,,,
K7FEG0,K7FEG0_PELSI,2.0,,1,,1,,,,,,
H2M1Y5,H2M1Y5_ORYLA,2.0,,1,,1,,,,,,
E7F934,E7F934_DANRE,2.0,,1,,1,,,,,,
I3MB21,I3MB21_SPETR,2.0,,1,,1,,,,,,
E7F591,E7F591_DANRE,2.0,,1,,1,,,,,,
E7FG78,E7FG78_DANRE,2.0,,1,,,1,,,,,
F1MBD8,F1MBD8_BOVIN,2.0,,1,,1,,,,,,
H2NBZ1,H2NBZ1_PONAB,2.0,,1,,1,,,,,,
H2Q2R8,H2Q2R8_PANTR,2.0,,1,,1,,,,,,
E9PZW7,E9PZW7_MOUSE,2.0,,1,,1,,,,,,
F6YN51,F6YN51_MACMU,2.0,,1,,1,,,,,,
H2SDL7,H2SDL7_TAKRU,2.0,,1,,1,,,,,,
H3AV78,H3AV78_LATCH,2.0,,1,,1,,,,,,
H3D738,H3D738_TETNG,2.0,,1,,1,,,,,,
H9GQF2,H9GQF2_ANOCA,2.0,,1,,,1,,,,,
H9H6J6,H9H6J6_MONDO,2.0,,1,,1,,,,,,
F7B2N7,F7B2N7_XENTR,2.0,,1,,1,,,,,,
E1BWR5,E1BWR5_CHICK,1.0,,1,,,,,,,,
A0A096NSS4,A0A096NSS4_PAPAN,1.0,,1,,,,,,,,
A0A096MLC7,A0A096MLC7_PAPAN,1.0,,1,,,,,,,,
A0A096LWY5,A0A096LWY5_POEFO,1.0,,1,,,,,,,,
A0A087YMN9,A0A087YMN9_POEFO,1.0,,1,,,,,,,,
A0A087YHN6,A0A087YHN6_POEFO,1.0,,1,,,,,,,,
X1WGX7,X1WGX7_DANRE,1.0,,1,,,,,,,,
G1KVE8,G1KVE8_ANOCA,1.0,,1,,,,,,,,
M4ADZ6,M4ADZ6_XIPMA,1.0,,1,,,,,,,,
W5MU46,W5MU46_LEPOC,1.0,,1,,,,,,,,
W5MM31,W5MM31_LEPOC,1.0,,1,,,,,,,,
W5LYC3,W5LYC3_LEPOC,1.0,,1,,,,,,,,
W5LTX4,W5LTX4_ASTMX,1.0,,1,,,,,,,,
W5LA09,W5LA09_ASTMX,1.0,,1,,,,,,,,
W5KWS7,W5KWS7_ASTMX,1.0,,1,,,,,,,,
W5KRX2,W5KRX2_ASTMX,1.0,,1,,,,,,,,
U3JEP2,U3JEP2_FICAL,1.0,,1,,,,,,,,
U3ISU4,U3ISU4_ANAPL,1.0,,1,,,,,,,,
U3ISU3,U3ISU3_ANAPL,1.0,,1,,,,,,,,
R4GKM5,R4GKM5_CHICK,1.0,,1,,,,,,,,
M4APV3,M4APV3_XIPMA,1.0,,1,,,,,,,,
M3XTU3,M3XTU3_MUSPF,1.0,,1,,,,,,,,
G3N329,G3N329_BOVIN,1.0,,1,,,,,,,,
M3W7K9,M3W7K9_FELCA,1.0,,1,,,,,,,,
K7EUY6,K7EUY6_PONAB,1.0,,1,,,,,,,,
J9P2E0,J9P2E0_CANFA,1.0,,1,,,,,,,,
I3LTG6,I3LTG6_PIG,1.0,,1,,,,,,,,
I3KGA2,I3KGA2_ORENI,1.0,,,,1,,,,,,
I3IVH7,I3IVH7_ORENI,1.0,,,,1,,,,,,
H2T984,H2T984_TAKRU,1.0,,1,,,,,,,,
H0ZMR9,H0ZMR9_TAEGU,1.0,,1,,,,,,,,
W5PWU9,W5PWU9_SHEEP,1.0,,1,,,,,,,,
G3WS62,G3WS62_SARHA,1.0,,1,,,,,,,,
G3QAC6,G3QAC6_GASAC,1.0,,1,,,,,,,,
G3NDS4,G3NDS4_GASAC,1.0,,1,,,,,,,,
A0A087XHY8,A0A087XHY8_POEFO,1.0,,1,,,,,,,,
