,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11583,ENSGT00530000063265,QESNWFS,TF318412,NA,NOG279493,NA,HBG055242,NA,Q969Q6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q969Q6,P2R3C_HUMAN,7.0,1,1,1,1,,1,,1,,1
Q969Q6,P2R3C_HUMAN,7.0,1,1,1,1,,1,,1,,1
Q9JK24,P2R3C_MOUSE,7.0,1,1,1,1,,1,,1,,1
Q6AXZ3,P2R3C_RAT,7.0,1,1,1,1,,1,,1,,1
Q5E9G1,P2R3C_BOVIN,6.0,1,1,1,1,,1,,1,,
F7GTB0,F7GTB0_MACMU,4.0,1,1,1,1,,,,,,
F1N899,F1N899_CHICK,4.0,1,1,1,1,,,,,,
H2SCK5,H2SCK5_TAKRU,4.0,1,1,1,1,,,,,,
C3Y1J5,C3Y1J5_BRAFL,4.0,1,,1,,,1,,,,1
G1SPL9,G1SPL9_RABIT,4.0,1,1,1,1,,,,,,
E2RNM2,E2RNM2_CANFA,4.0,1,1,1,1,,,,,,
F7EHK2,F7EHK2_CALJA,4.0,1,1,1,1,,,,,,
Q803V3,P2R3C_DANRE,4.0,1,,,,,1,,1,,1
H3BEJ2,H3BEJ2_LATCH,4.0,1,1,1,1,,,,,,
F7GKQ5,F7GKQ5_MONDO,4.0,1,1,1,1,,,,,,
G1MAT2,G1MAT2_AILME,4.0,1,1,1,1,,,,,,
G1QU15,G1QU15_NOMLE,4.0,1,1,1,1,,,,,,
Q9FEE2,TON2_ARATH,4.0,1,,1,,,1,,,,1
B7PWM0,B7PWM0_IXOSC,4.0,1,,1,,,1,,,,1
G2HGB5,G2HGB5_PANTR,4.0,1,1,1,1,,,,,,
A9UVB3,A9UVB3_MONBE,4.0,1,,1,,,1,,,,1
K7FKL5,K7FKL5_PELSI,4.0,1,1,1,1,,,,,,
A7RNX9,A7RNX9_NEMVE,4.0,1,,1,,,1,,,,1
B3S0R5,B3S0R5_TRIAD,3.0,1,,1,,,1,,,,
G1K3F2,G1K3F2_XENTR,3.0,,1,1,1,,,,,,
Q6DJ05,P2R3C_XENTR,3.0,1,,,,,1,,1,,
H3CE57,H3CE57_TETNG,3.0,,1,1,1,,,,,,
F6UYZ0,F6UYZ0_HORSE,3.0,,1,1,1,,,,,,
W5PBL2,W5PBL2_SHEEP,3.0,1,1,1,,,,,,,
G3T4I2,G3T4I2_LOXAF,3.0,,1,1,1,,,,,,
G1KA76,G1KA76_ANOCA,3.0,1,1,,1,,,,,,
I3MD47,I3MD47_SPETR,3.0,,1,1,1,,,,,,
G3PGA5,G3PGA5_GASAC,3.0,,1,1,1,,,,,,
G1NIP9,G1NIP9_MELGA,3.0,,1,1,1,,,,,,
G1Q0Y6,G1Q0Y6_MYOLU,3.0,,1,1,1,,,,,,
A2EAQ1,A2EAQ1_TRIVA,3.0,1,,,,,1,,,,1
A2E6X6,A2E6X6_TRIVA,3.0,1,,,,,1,,,,1
Q17H02,Q17H02_AEDAE,3.0,1,,1,,,1,,,,
M4A4K4,M4A4K4_XIPMA,3.0,1,1,1,,,,,,,
F1QSR6,F1QSR6_DANRE,3.0,,1,1,1,,,,,,
F6T283,F6T283_CIOIN,3.0,,1,1,1,,,,,,
H0WYL2,H0WYL2_OTOGA,3.0,,1,1,1,,,,,,
B4LVR7,B4LVR7_DROVI,3.0,1,,1,,,1,,,,
Q65XE2,Q65XE2_ORYSJ,3.0,1,,1,,,1,,,,
H0V3Y1,H0V3Y1_CAVPO,3.0,,1,1,1,,,,,,
B4NFX9,B4NFX9_DROWI,3.0,1,,1,,,1,,,,
H2ZK94,H2ZK94_CIOSA,3.0,,1,1,1,,,,,,
H0ZNZ7,H0ZNZ7_TAEGU,3.0,,1,1,1,,,,,,
B0W7B4,B0W7B4_CULQU,3.0,1,,1,,,1,,,,
H2MTP5,H2MTP5_ORYLA,3.0,,1,1,1,,,,,,
H2NL09,H2NL09_PONAB,3.0,1,1,,1,,,,,,
G3QE64,G3QE64_GORGO,2.0,1,1,,,,,,,,
H8W3X6,H8W3X6_CAEEL,2.0,1,1,,,,,,,,
H3B0X1,H3B0X1_LATCH,2.0,1,1,,,,,,,,
M3XCK4,M3XCK4_FELCA,2.0,,1,1,,,,,,,
I1GJI3,I1GJI3_AMPQE,2.0,1,,1,,,,,,,
H2QNF3,H2QNF3_PANTR,2.0,1,1,,,,,,,,
G9KI91,G9KI91_MUSPF,2.0,,1,1,,,,,,,
I3KTV3,I3KTV3_ORENI,2.0,,,1,1,,,,,,
K4AWZ8,K4AWZ8_SOLLC,2.0,1,,1,,,,,,,
J9NVL2,J9NVL2_CANFA,2.0,1,1,,,,,,,,
G3RC59,G3RC59_GORGO,2.0,1,1,,,,,,,,
I1HLT5,I1HLT5_BRADI,2.0,1,,1,,,,,,,
I1KN20,I1KN20_SOYBN,2.0,1,,1,,,,,,,
G3WY26,G3WY26_SARHA,2.0,1,1,,,,,,,,
G3X9E8,G3X9E8_MOUSE,2.0,1,1,,,,,,,,
G7JK96,G7JK96_MEDTR,2.0,1,,1,,,,,,,
G3R954,G3R954_GORGO,2.0,,1,,1,,,,,,
W5PDW2,W5PDW2_SHEEP,2.0,1,1,,,,,,,,
G1QUV1,G1QUV1_NOMLE,2.0,1,1,,,,,,,,
G1L562,G1L562_AILME,2.0,1,1,,,,,,,,
B9HSD9,B9HSD9_POPTR,2.0,1,,,,,1,,,,
B8CBR2,B8CBR2_THAPS,2.0,1,,,,,,,,,1
B8AY44,B8AY44_ORYSI,2.0,,,1,,,1,,,,
B4K7S4,B4K7S4_DROMO,2.0,1,,1,,,,,,,
B3MSP1,B3MSP1_DROAN,2.0,1,,,,,1,,,,
B2RXC8,B2RXC8_MOUSE,2.0,1,1,,,,,,,,
B1WBU2,B1WBU2_RAT,2.0,1,1,,,,,,,,
B0S5T6,B0S5T6_DANRE,2.0,1,1,,,,,,,,
B0S5Q0,B0S5Q0_DANRE,2.0,1,1,,,,,,,,
A9T7W9,A9T7W9_PHYPA,2.0,1,,,,,,,,,1
A8QG09,A8QG09_BRUMA,2.0,1,,1,,,,,,,
A8HN56,A8HN56_CHLRE,2.0,1,,,,,1,,,,
A8BSD2,A8BSD2_GIAIC,2.0,1,,,,,,,,,1
A5Z2U4,A5Z2U4_CAEEL,2.0,1,,,,,1,,,,
A4I4Q1,A4I4Q1_LEIIN,2.0,1,,,,,1,,,,
A2E4E5,A2E4E5_TRIVA,2.0,,,,,,1,,,,1
A2DXY2,A2DXY2_TRIVA,2.0,,,,,,1,,,,1
B9N4Z8,B9N4Z8_POPTR,2.0,1,,1,,,,,,,
C5Z042,C5Z042_SORBI,2.0,1,,,,,1,,,,
D3ZLD7,D3ZLD7_RAT,2.0,1,1,,,,,,,,
F6Y031,F6Y031_CALJA,2.0,1,1,,,,,,,,
G1KGE7,G1KGE7_ANOCA,2.0,1,1,,,,,,,,
Q08D09,Q08D09_XENTR,2.0,1,1,,,,,,,,
F7D7G4,F7D7G4_HORSE,2.0,1,1,,,,,,,,
F7CXE3,F7CXE3_HORSE,2.0,1,1,,,,,,,,
F7AG35,F7AG35_MONDO,2.0,1,1,,,,,,,,
F6YB10,F6YB10_MONDO,2.0,1,1,,,,,,,,
F6Y0D1,F6Y0D1_CALJA,2.0,1,1,,,,,,,,
F6R6T0,F6R6T0_MACMU,2.0,1,1,,,,,,,,
D6WSC1,D6WSC1_TRICA,2.0,1,,1,,,,,,,
F6PG73,F6PG73_ORNAN,2.0,,1,,1,,,,,,
E9AE54,E9AE54_LEIMA,2.0,1,,,,,,,,,1
E5SX39,E5SX39_TRISP,2.0,1,,1,,,,,,,
E2RAA7,E2RAA7_CANFA,2.0,1,1,,,,,,,,
E1BWQ8,E1BWQ8_CHICK,2.0,1,1,,,,,,,,
E0VNT7,E0VNT7_PEDHC,2.0,1,,1,,,,,,,
D8T2X3,D8T2X3_SELML,2.0,1,,1,,,,,,,
Q06190,P2R3A_HUMAN,2.0,1,1,,,,,,,,
G3VP59,G3VP59_SARHA,2.0,,1,,1,,,,,,
Q580J5,Q580J5_TRYB2,2.0,1,,,,,1,,,,
U3ISV4,U3ISV4_ANAPL,2.0,,1,1,,,,,,,
Q4T6E3,Q4T6E3_TETNG,2.0,,,,,,1,,1,,
Q9I7J1,Q9I7J1_DROME,2.0,1,1,,,,,,,,
Q6PB24,Q6PB24_XENLA,2.0,1,,,,,,,1,,
W5MS39,W5MS39_LEPOC,2.0,,1,1,,,,,,,
Q9Y5P8,P2R3B_HUMAN,2.0,1,1,,,,,,,,
U3JNG1,U3JNG1_FICAL,2.0,1,1,,,,,,,,
