,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000004161,IPPPYGS,TF335512,EOG7RBZ98,NOG40520,HOG000059655,HBG095684,NA,Q8WUU8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9DCX7,TM174_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8WUU8,TM174_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8WUU8,TM174_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q68FU0,TM174_RAT,8.0,,1,1,1,1,1,1,1,,1
D2HGU1,D2HGU1_AILME,5.0,,1,1,1,1,,1,,,
Q5R8E0,TM174_PONAB,5.0,,1,1,1,1,,,1,,
G3R019,G3R019_GORGO,4.0,,1,1,1,1,,,,,
G1PSZ7,G1PSZ7_MYOLU,4.0,,1,1,1,1,,,,,
G3W9Y4,G3W9Y4_SARHA,4.0,,1,1,1,1,,,,,
G3T811,G3T811_LOXAF,4.0,,1,1,1,1,,,,,
G1T2R4,G1T2R4_RABIT,4.0,,1,1,1,1,,,,,
G1QXN4,G1QXN4_NOMLE,4.0,,1,1,1,1,,,,,
F7GWA7,F7GWA7_MACMU,4.0,,1,1,1,1,,,,,
G1KJ10,G1KJ10_ANOCA,4.0,,1,1,1,1,,,,,
H0WWC1,H0WWC1_OTOGA,4.0,,1,1,1,1,,,,,
F7F8Q4,F7F8Q4_CALJA,4.0,,1,1,1,1,,,,,
F7CV82,F7CV82_HORSE,4.0,,1,1,1,1,,,,,
H0VXD9,H0VXD9_CAVPO,4.0,,1,1,1,1,,,,,
F1S2L3,F1S2L3_PIG,4.0,,1,1,1,1,,,,,
H0Z604,H0Z604_TAEGU,4.0,,1,1,1,1,,,,,
F6WZJ6,F6WZJ6_MONDO,4.0,,1,1,1,1,,,,,
H2QR24,H2QR24_PANTR,4.0,,1,1,1,1,,,,,
I3MDI2,I3MDI2_SPETR,4.0,,1,1,1,1,,,,,
E2R032,E2R032_CANFA,4.0,,1,1,1,1,,,,,
E1C1L3,E1C1L3_CHICK,4.0,,1,,1,1,,,,,1
E1BEH5,E1BEH5_BOVIN,4.0,,1,1,1,1,,,,,
A4IGY2,A4IGY2_XENTR,4.0,,1,,1,1,,,1,,
F1RDQ4,F1RDQ4_DANRE,3.0,,1,,1,1,,,,,
M3VY08,M3VY08_FELCA,3.0,,1,1,,1,,,,,
M3Y3J7,M3Y3J7_MUSPF,3.0,,1,1,,1,,,,,
G1N0D3,G1N0D3_MELGA,3.0,,1,,1,1,,,,,
H2LDM7,H2LDM7_ORYLA,3.0,,1,,1,1,,,,,
W5P4H1,W5P4H1_SHEEP,2.0,,1,1,,,,,,,
M3ZTG5,M3ZTG5_XIPMA,2.0,,1,,,1,,,,,
U3K6L7,U3K6L7_FICAL,2.0,,1,1,,,,,,,
F6ZEM1,F6ZEM1_XENTR,1.0,,1,,,,,,,,
F7C8A8,F7C8A8_XENTR,1.0,,1,,,,,,,,
W5MYZ2,W5MYZ2_LEPOC,1.0,,1,,,,,,,,
Q5U4L1,Q5U4L1_XENLA,1.0,,,,,,,,1,,
U3ING5,U3ING5_ANAPL,1.0,,1,,,,,,,,
W5KRF2,W5KRF2_ASTMX,1.0,,1,,,,,,,,
A0A096MRR6,A0A096MRR6_PAPAN,1.0,,1,,,,,,,,
A0A087Y1M6,A0A087Y1M6_POEFO,1.0,,1,,,,,,,,
A0A024RAN0,A0A024RAN0_HUMAN,1.0,,,1,,,,,,,
